Metric,Mean (SD),LESS Total,IES-R Total,Strongest IES-R Subscale
Feedback Sensitivity,0.534 (0.069),"β = 0.118, p = 0.463","β = 0.162, p = 0.486","Hyperarousal (ρ = 0.129, p = 0.381)"
Perseveration Index,0.406 (0.118),"β = -0.003, p = 0.985","β = -0.127, p = 0.210","Hyperarousal (ρ = -0.215, p = 0.141)"
