participant_id,alpha_pos,alpha_neg,phi,rho,capacity,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds
10000,0.01015342865139246,0.0010000000474974513,0.2967141568660736,0.7900205254554749,3.000000238418579,0.07400529831647873,900.5368041992188,1813.0736083984375,1843.2054669368704,1813.1490123481683,0.2687743762682422,0.13227465748786926,1121,False,50,9,"['alpha_pos', 'alpha_neg']"
9187,0.014173205010592937,0.0010000000474974513,0.11991292238235474,0.21150539815425873,2.3534553050994873,0.058252327144145966,1161.9091796875,2335.818359375,2366.4284152047167,2335.887953409797,0.12881769923445396,5.4955133236944675e-05,1214,True,50,9,['alpha_neg']
10002,0.9990000128746033,0.027761636301875114,0.18108701705932617,0.9195918440818787,5.768436908721924,0.22638963162899017,959.5885620117188,1931.1771240234375,1962.4287260511987,1931.2396240234375,0.3534750921054731,7.939346687635407e-06,1351,True,49,35,['alpha_pos']
10003,0.008121935650706291,0.0010000000474974513,0.3330852687358856,0.887694239616394,2.7236850261688232,0.03656937554478645,1020.3216552734375,2052.643310546875,2083.836897991004,2052.706420990151,0.30587683527151854,9.434702405997086e-06,1338,True,48,7,"['alpha_pos', 'alpha_neg']"
10004,0.04280491918325424,0.01000992488116026,0.09759213030338287,0.9600991010665894,2.999999761581421,0.08195414394140244,706.8633422851562,1425.7266845703125,1456.307012841281,1425.7966262855498,0.46737190230753145,0.4286152720451355,1208,False,50,14,['alpha_neg']
10005,0.01298530213534832,0.004197601228952408,0.016507143154740334,0.9648833274841309,2.80026912689209,0.005625270307064056,852.6471557617188,1717.2943115234375,1748.4519168507322,1717.3578035869295,0.4164564754540456,3.701125933730509e-06,1330,True,50,2,"['alpha_neg', 'epsilon']"
10006,0.9946572780609131,0.9990000128746033,0.1931358128786087,0.737760603427887,7.0,0.17553769052028656,916.47509765625,1844.9501953125,1876.2151060333333,1845.0125561142818,0.3838910013933676,3.215113338228548e-06,1354,True,49,19,"['alpha_pos', 'alpha_neg', 'capacity']"
10007,0.01942647434771061,0.0010000000474974513,0.5454034805297852,0.2731493413448334,2.7596936225891113,0.3312116861343384,1223.8675537109375,2459.735107421875,2490.250516208069,2459.805814492582,0.06777217105981337,3.807997018157039e-06,1195,True,50,6,['alpha_neg']
10016,0.006057803053408861,0.0010000000474974513,0.1598682552576065,0.8266346454620361,4.469754695892334,0.0010000716429203749,863.7941284179688,1739.5882568359375,1770.897317866358,1739.650158088701,0.42356356347802426,8.342681212525349e-06,1364,True,50,2,"['alpha_pos', 'alpha_neg', 'epsilon']"
10017,0.005768651608377695,0.0010000000474974513,0.1183481216430664,0.9990000128746033,5.173801898956299,0.13941320776939392,708.3295288085938,1428.6590576171875,1459.477956868729,1428.7262576171875,0.48707293357224624,9.830368981056381e-06,1257,True,49,7,"['alpha_pos', 'alpha_neg', 'rho']"
10018,0.013092677108943462,0.0010000000474974513,0.19456280767917633,0.9695838689804077,2.416532278060913,0.10165837407112122,953.298828125,1918.59765625,1949.6414061685407,1918.6623711960708,0.33507280608676604,0.08386442810297012,1305,False,48,12,['alpha_neg']
10024,0.012502213940024376,0.0010000000474974513,0.1812763810157776,0.9198696613311768,3.162046194076538,0.059398237615823746,806.8091430664062,1625.6182861328125,1656.037530903564,1625.6901424202376,0.3755192768535486,9.578106073604431e-06,1176,True,48,6,['alpha_neg']
10025,0.09240014851093292,0.0010000000474974513,0.7229136824607849,0.18102678656578064,6.57344913482666,0.08817148953676224,829.782958984375,1671.56591796875,1702.2496546261461,1671.6346577396175,0.3854345005255767,8.319836524606217e-06,1229,True,50,12,['alpha_neg']
10027,0.03130180016160011,0.0010000000474974513,0.1744476556777954,0.867741584777832,3.401118755340576,0.07746517658233643,735.693115234375,1483.38623046875,1513.3388090332453,1483.463936296687,0.3845066799212995,9.044336366059724e-06,1088,True,50,3,['alpha_neg']
10028,0.017677094787359238,0.0010000000474974513,0.8726174831390381,0.5811497569084167,4.808606147766113,0.0010000000474974513,1211.510498046875,2435.02099609375,2465.8159814037103,2435.0884659732683,0.11919778051718688,0.06097114831209183,1252,False,50,3,"['alpha_neg', 'epsilon']"
10029,0.05598903074860573,0.0010000000474974513,0.20890839397907257,0.7774749994277954,2.756624937057495,0.10282263159751892,759.3408813476562,1530.6817626953125,1560.4835655269965,1530.7614590899993,0.3485562143411577,6.028111602063291e-05,1061,True,50,25,['alpha_neg']
10030,0.024134092032909393,0.017629552632570267,0.0014389869756996632,0.9226593375205994,2.781428337097168,0.031023835763335228,820.2119140625,1652.423828125,1683.0190385863186,1652.4935955668604,0.38349375860745827,3.4020471503026783e-05,1211,True,49,1,['phi']
10031,0.02030344493687153,0.0010000000474974513,0.16660176217556,0.8453303575515747,3.7541465759277344,0.12238112837076187,903.6656494140625,1819.331298828125,1850.1262841380853,1819.398768707643,0.34300964708315096,8.279498615593184e-06,1252,True,50,11,['alpha_neg']
10035,0.03553100302815437,0.0010000000474974513,0.18518096208572388,0.9294158220291138,3.0990734100341797,0.09145520627498627,775.0156860351562,1562.0313720703125,1592.4301738911342,1562.1034750746044,0.3980804789417164,2.131021574314218e-05,1172,True,50,4,['alpha_neg']
10036,0.01757257804274559,0.001758131431415677,0.3763246536254883,0.7757788896560669,2.588047742843628,0.04534657672047615,959.9923095703125,1931.984619140625,1962.454668617971,1932.0558659599635,0.2632186699570045,3.591106360545382e-05,1186,True,50,1,['alpha_neg']
10039,0.008869347162544727,0.0010000000474974513,0.19774529337882996,0.9099593758583069,2.9042577743530273,0.05178167670965195,799.478515625,1610.95703125,1641.131556634898,1611.0318975601604,0.3554325015347459,9.53061771724606e-06,1129,True,49,4,"['alpha_pos', 'alpha_neg']"
10041,0.015508451499044895,0.0010000000474974513,0.5305195450782776,0.9990000128746033,1.7874796390533447,0.17436625063419342,1212.790283203125,2437.58056640625,2468.517626231134,2437.646448759191,0.1389007102625932,9.213761586579494e-06,1282,True,50,3,"['alpha_neg', 'rho']"
10043,0.013100437819957733,0.0010000000474974513,0.35182034969329834,0.9237260818481445,2.3840577602386475,0.14362509548664093,939.8231811523438,1891.6463623046875,1921.7995921925187,1891.7214964728448,0.23958762170837034,8.233661901613232e-06,1125,True,50,2,['alpha_neg']
10047,0.016466548666357994,0.0014566404279321432,0.28400522470474243,0.8859997987747192,2.46984601020813,0.07283074408769608,1023.3880004882812,2058.7760009765625,2089.9381158869332,2058.839445085324,0.3001292996967404,0.002187048550695181,1331,False,50,8,['alpha_neg']
10048,0.9462137818336487,0.006661904510110617,0.4202435612678528,0.7616252303123474,1.2535529136657715,0.2800666391849518,1065.737060546875,2143.47412109375,2174.138297831623,2143.5430866109914,0.20810148752673763,8.745023478695657e-06,1225,True,50,12,['alpha_neg']
10050,0.0146515853703022,0.0010000000474974513,0.14782914519309998,0.7681853771209717,1.7855762243270874,0.021366938948631287,1114.0108642578125,2240.021728515625,2271.295495326627,2240.0839968625487,0.25220030417704586,9.13169151317561e-06,1356,True,50,2,['alpha_neg']
10051,0.016336539760231972,0.0010000000474974513,0.1820327788591385,0.7589679956436157,4.373073101043701,0.07848670333623886,840.4766235351562,1692.9532470703125,1723.2695733657065,1693.0263541199208,0.3382051974008856,8.512087333656382e-06,1156,True,50,1,['alpha_neg']
10052,0.010293754749000072,0.0010000000474974513,0.23534013330936432,0.6062793135643005,3.000000238418579,0.0010000000474974513,1058.333251953125,2128.66650390625,2159.181912692444,2128.737210976957,0.1938607190198508,0.6883190274238586,1195,False,50,9,"['alpha_pos', 'alpha_neg', 'epsilon']"
10055,0.9990000128746033,0.013590916991233826,0.1771613508462906,0.8968511819839478,5.586779594421387,0.20728570222854614,860.994384765625,1733.98876953125,1764.5988253609667,1734.058363566047,0.354439157397766,3.0368317311513238e-05,1214,True,50,6,['alpha_pos']
10057,0.020977552980184555,0.0010000000474974513,0.3104386627674103,0.8414113521575928,2.952838897705078,0.16432881355285645,1074.8529052734375,2161.705810546875,2192.7999232181864,2161.7699816698696,0.256555260460712,0.04372219368815422,1316,False,50,30,['alpha_neg']
10058,0.017407061532139778,0.004663631785660982,0.227280393242836,0.9990000128746033,2.325517177581787,0.14760832488536835,1047.2371826171875,2106.474365234375,2137.7966082547186,2106.5361299402575,0.3026800561811728,6.399276117008412e-06,1367,True,50,17,"['alpha_neg', 'rho']"
