participant_id,alpha,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10000,0.025270767509937286,0.29774653911590576,798.5254516601562,1601.0509033203125,1610.8422687158081,1601.0630860614292,0.26432268263058045,9.361991033074446e-06,988,True,50,25,[],v4.0-phiapprox
9187,0.022960415109992027,0.3573620617389679,863.59326171875,1731.1865234375,1740.9819333237572,1731.1986814922113,0.20598337104341113,8.377294761885423e-06,990,True,50,34,[],v4.0-phiapprox
10002,0.05832841619849205,0.12731081247329712,486.6903381347656,977.3806762695312,987.1679889787365,977.3928837975068,0.5507052363179077,7.27233782527037e-06,986,True,50,35,[],v4.0-phiapprox
10003,0.0394219234585762,0.27828970551490784,714.7471923828125,1433.494384765625,1443.255152929997,1433.5067558996457,0.33135567150232825,5.009356755181216e-06,973,True,50,31,[],v4.0-phiapprox
10004,0.09509838372468948,0.10369361937046051,408.68182373046875,821.3636474609375,831.1590573471948,821.3758055156487,0.6242442149809421,7.433411155943759e-06,990,True,50,13,[],v4.0-phiapprox
10005,0.5170281529426575,0.15464019775390625,466.1511535644531,936.3023071289062,946.0875904112504,936.314527088173,0.5692293751150093,2.1301912056514993e-06,985,True,50,41,[],v4.0-phiapprox
10006,0.9990000128746033,0.11892552673816681,403.5201110839844,811.0402221679688,820.8295622468357,811.05241728992,0.6278623770603228,9.557957127981354e-06,987,True,50,25,['alpha'],v4.0-phiapprox
10016,0.4817936420440674,0.1397416889667511,444.3288269042969,892.6576538085938,902.4469938874607,892.669848930545,0.590227428805089,8.950369192461949e-06,987,True,50,19,[],v4.0-phiapprox
10017,0.9989988207817078,0.12263095378875732,411.6437072753906,827.2874145507812,837.0747272599865,827.2996220787568,0.6199855479146493,9.063654033525381e-06,986,True,50,27,['alpha'],v4.0-phiapprox
10018,0.025902505964040756,0.13668182492256165,624.4131469726562,1252.8262939453125,1262.6136066545178,1252.838501473288,0.42356456389855945,8.258301022578962e-06,986,True,50,26,[],v4.0-phiapprox
10024,0.049270324409008026,0.08259842544794083,314.42486572265625,632.8497314453125,642.002670583409,632.8665146620957,0.6013901857832342,9.401429451827426e-06,718,True,50,14,[],v4.0-phiapprox
10025,0.04616820812225342,0.2804228365421295,298.8531799316406,601.7063598632812,609.7580918109319,601.7355569435732,0.34292780827065794,6.363445208990015e-06,414,True,50,32,[],v4.0-phiapprox
10027,0.03475406765937805,0.050114527344703674,318.66058349609375,641.3211669921875,650.474106130284,641.3379502089707,0.5960203856853188,1.4107718925515655e-05,718,True,50,13,[],v4.0-phiapprox
10028,0.020828640088438988,0.67561936378479,732.0463256835938,1468.0926513671875,1477.191952851655,1468.1098927464977,0.046727780621956816,3.3669416552584153e-06,699,True,50,17,[],v4.0-phiapprox
10029,0.04730568081140518,0.06264999508857727,291.7188720703125,587.437744140625,596.5962465646452,587.4544805422986,0.6312028326309242,1.7254860722459853e-05,720,True,50,12,[],v4.0-phiapprox
10030,0.052965711802244186,0.050652049481868744,260.1708679199219,524.3417358398438,533.489096173765,524.3585661343739,0.6692489809968398,5.4761176215833984e-06,716,True,50,12,[],v4.0-phiapprox
10031,0.045427970588207245,0.13642248511314392,388.5313720703125,781.062744140625,790.218466856067,781.0795039171613,0.5081272661564045,9.688967111287639e-06,719,True,50,21,[],v4.0-phiapprox
10035,0.0373203381896019,0.10442710667848587,367.46539306640625,738.9307861328125,748.0809378140117,738.9475928555016,0.5334987235747666,9.452072845306247e-06,717,True,50,14,[],v4.0-phiapprox
10036,0.020465990528464317,0.2558702528476715,576.9828491210938,1157.9656982421875,1167.104661083016,1157.9825996506381,0.2634047372216921,3.5530396417016163e-05,713,True,50,39,[],v4.0-phiapprox
