participant_id,alpha,phi,rho,capacity,kappa,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10000,0.005914894863963127,0.22580726444721222,0.23264440894126892,2.6312503814697266,-0.39293771982192993,0.10832475125789642,729.350341796875,1470.70068359375,1500.0747797802371,1470.7863105050649,0.3280533491323817,9.712856808619108e-06,988,True,50,35,['alpha'],"v4.0-K[2,6]-phiapprox"
9187,0.011927247978746891,0.24687504768371582,0.13135714828968048,3.0,-0.2738415598869324,0.28997352719306946,849.4014282226562,1710.8028564453125,1740.1890861040843,1710.8883091411417,0.21903181906957403,0.3717842400074005,990,False,50,34,[],"v4.0-K[2,6]-phiapprox"
10002,0.02809748612344265,0.1309158205986023,0.25041770935058594,2.330024003982544,1.0,0.11511410027742386,460.2167053222656,932.4334106445312,961.795348772147,932.519212483142,0.5751447282623832,6.153097274363972e-06,986,True,50,33,['kappa'],"v4.0-K[2,6]-phiapprox"
10003,0.003579766023904085,0.14954905211925507,0.1820785254240036,2.46333646774292,0.27274227142333984,0.006117245648056269,619.399169921875,1250.79833984375,1280.080644336866,1250.8852963654892,0.42055352373793164,1.3252027201815508e-05,973,True,50,41,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox"
10004,0.01677210070192814,0.06884106248617172,0.39588090777397156,2.3971214294433594,1.0,0.09224885702133179,369.70635986328125,751.4127197265625,780.7989493853343,751.4981724223916,0.6600795645646704,7.926552825665567e-06,990,True,49,26,['kappa'],"v4.0-K[2,6]-phiapprox"
10005,0.008150801062583923,0.11120349913835526,0.2405889332294464,2.6761460304260254,0.2888268232345581,0.03805997967720032,421.41851806640625,854.8370361328125,884.1928859798451,854.9229257033646,0.6105668365776715,0.00037385153700597584,985,False,49,35,['alpha'],"v4.0-K[2,6]-phiapprox"
10006,0.008052762597799301,0.08037064224481583,0.3646204173564911,2.0,0.5085830688476562,0.03468567132949829,348.3047790527344,708.6095581054688,737.9775783420696,708.695272391183,0.6787835129529967,9.349168976768851e-06,987,True,48,14,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10016,0.006922291591763496,0.089820496737957,0.15592005848884583,5.0,0.8365837335586548,0.042081136256456375,398.2102355957031,808.4204711914062,837.7884914280071,808.5061854771205,0.6327592939376662,0.07917466759681702,987,False,47,16,['alpha'],"v4.0-K[2,6]-phiapprox"
10017,0.0010000000474974513,0.018270650878548622,0.5369415283203125,2.0,1.0,0.10728220641613007,381.4546813964844,774.9093627929688,804.2713009205845,774.9951646315795,0.6478549551850683,9.518441402178723e-06,986,True,50,3,"['alpha', 'capacity', 'kappa']","v4.0-K[2,6]-phiapprox"
10018,0.009910359047353268,0.182602196931839,0.19861602783203125,2.0,0.29512524604797363,0.03702979534864426,575.1862182617188,1162.3724365234375,1191.7343746510533,1162.4582383620484,0.4690090684817828,0.0001523794635431841,986,False,50,31,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10024,0.009704381227493286,0.10965819656848907,0.17301307618618011,3.261404514312744,1.0,0.0010000000474974513,262.1939392089844,536.3878784179688,563.8466958322581,536.5060218778843,0.6676055592592898,3.28751525557891e-06,718,True,50,36,"['alpha', 'kappa', 'epsilon']","v4.0-K[2,6]-phiapprox"
10025,0.0010000000474974513,0.0010000000474974513,0.1026475578546524,2.0,0.7414559125900269,0.0469023734331131,259.1103515625,530.220703125,554.3758989679519,530.4270913313882,0.430308198025947,5.799021437269403e-06,414,True,49,25,"['alpha', 'phi', 'capacity']","v4.0-K[2,6]-phiapprox"
10027,0.01474920567125082,0.09459222108125687,0.1946813017129898,2.0,0.3855752944946289,0.03005054034292698,296.03997802734375,604.0799560546875,631.5387734689768,604.1980995146031,0.6246974921305914,9.75273724179715e-06,718,True,50,31,['capacity'],"v4.0-K[2,6]-phiapprox"
10028,0.001290488406084478,0.40854257345199585,0.1196245551109314,5.000000476837158,0.09471273422241211,0.0010000000474974513,704.0914306640625,1420.182861328125,1447.480765781528,1420.304248611362,0.08313070197104488,0.03537439554929733,699,False,50,18,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox"
10029,0.016629166901111603,0.12370394915342331,0.1224052906036377,5.999951362609863,-0.437594473361969,0.03866495564579964,277.4591979980469,566.9183959960938,594.3939032681544,567.0362080578049,0.6492302141579934,8.389722097490449e-06,720,True,49,25,['capacity'],"v4.0-K[2,6]-phiapprox"
10030,0.010921814478933811,0.0010000000474974513,0.18488416075706482,2.0,1.0,0.031276799738407135,226.7686309814453,465.5372619628906,492.9793429646545,465.65573869067623,0.7117127049053388,7.72236853663344e-06,716,True,50,13,"['alpha', 'phi', 'capacity', 'kappa']","v4.0-K[2,6]-phiapprox"
10031,0.014234494417905807,0.12179622799158096,0.17929969727993011,2.829314708709717,0.0521770715713501,0.0952078253030777,374.77056884765625,761.5411376953125,789.0083058416387,761.6591152234024,0.5255481602915292,7.54921939005726e-06,719,True,50,41,[],"v4.0-K[2,6]-phiapprox"
