parameter,mean,sd,se,ci_lower,ci_upper,n
alpha_pos,0.2605666099116206,0.34179102308616216,0.24168275017291307,-2.8103038950493824,3.3314371148726236,2
alpha_neg,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,2
phi,0.6525465846061707,0.19772839945358445,0.139815092086792,-1.1239726006917152,2.4290657699040565,2
rho,0.34630057215690613,0.25385472541281434,0.17950239777565,-1.934493644660976,2.627094788974788,2
capacity,6.804504871368408,0.2764718622886699,0.19549512863159177,4.320503742000275,9.288506000736541,2
kappa,0.0,0.0,0.0,0.0,0.0,2
epsilon,0.09216746687889099,0.09237008686768813,0.06531551480293274,-0.7377448366726336,0.9220797704304156,2
nll,786.959716796875,47.69915160209635,33.7283935546875,,,2
aic,1587.91943359375,95.3983032041927,67.456787109375,,,2
bic,1622.1962903368178,95.40831280814638,67.46386496820763,,,2
