participant_id,n_trials,n_blocks,fit_time_s,is_first_fit,memory_before_mb,memory_after_mb,nll,converged
10000,988,17,15.623061180114746,True,441.6015625,496.00390625,716.275634765625,True
9187,990,17,18.385863304138184,False,496.00390625,513.37890625,810.89111328125,True
10002,986,17,20.02636957168579,False,513.37890625,533.41796875,445.4014587402344,True
10003,973,17,12.709898233413696,False,533.41796875,547.5078125,595.218017578125,True
10004,990,17,13.222300052642822,False,547.5078125,563.48046875,388.8218688964844,True
10005,985,17,16.300381660461426,False,563.48046875,582.5390625,392.56781005859375,True
10006,987,17,17.23902416229248,False,582.5390625,518.93359375,337.7204895019531,True
10007,987,17,13.196686506271362,False,518.93359375,532.484375,793.0416870117188,True
10016,987,17,12.910853624343872,False,532.484375,552.13671875,381.4587707519531,True
10017,986,17,9.695726156234741,False,552.13671875,568.08984375,399.4420166015625,True
10018,986,17,15.114119291305542,False,568.08984375,581.5546875,549.7607421875,True
10024,718,17,16.2043354511261,False,581.5546875,596.4453125,264.9828796386719,True
10025,414,17,17.394186973571777,False,596.4453125,612.83984375,249.47100830078125,True
10027,718,17,13.95000696182251,False,612.83984375,628.578125,283.2693176269531,True
10028,699,17,14.831165313720703,False,628.578125,541.66015625,685.9957885742188,True
10029,720,17,19.207963466644287,False,541.66015625,554.39453125,275.9512939453125,False
10030,716,17,16.664499521255493,False,554.39453125,570.02734375,229.40130615234375,True
10031,719,17,23.663037300109863,False,570.02734375,584.87890625,358.6158447265625,True
10035,717,17,22.401244640350342,False,584.87890625,598.10546875,310.96875,True
10036,713,17,14.707889556884766,False,598.10546875,611.43359375,489.16644287109375,True
10039,711,17,9.953023195266724,False,611.43359375,623.171875,354.1280822753906,True
10041,696,17,14.62371015548706,False,623.171875,638.76953125,628.608154296875,True
10043,716,17,21.480793476104736,False,638.76953125,551.4609375,483.3760986328125,True
10047,717,17,18.65339422225952,False,551.4609375,563.2421875,423.8243408203125,True
10048,702,17,11.890435218811035,False,563.2421875,575.046875,417.35955810546875,True
10050,717,17,15.404565334320068,False,575.046875,586.9609375,419.3801574707031,True
10051,709,17,15.521562099456787,False,586.9609375,601.50390625,320.673828125,True
10052,709,17,14.968116044998169,False,601.50390625,614.828125,461.29998779296875,True
10055,719,17,11.26596450805664,False,614.828125,627.34765625,351.8786926269531,True
10057,712,17,14.193348169326782,False,627.34765625,639.66796875,484.4989929199219,True
10058,697,17,15.6954026222229,False,639.66796875,554.82421875,470.1782531738281,True
10059,718,17,8.165297508239746,False,554.82421875,565.27734375,302.8267517089844,True
10062,718,17,8.230026483535767,False,565.27734375,575.33203125,182.03079223632812,True
10063,713,17,13.306827545166016,False,575.33203125,588.8046875,575.6176147460938,True
10064,712,17,15.43481731414795,False,588.8046875,602.50390625,443.2680969238281,True
10065,719,17,11.900657176971436,False,602.50390625,615.01953125,251.75852966308594,True
10066,706,17,6.871373891830444,False,615.01953125,629.01953125,275.8953857421875,True
10067,716,17,9.813673973083496,False,629.0234375,642.71875,595.8416748046875,True
10071,720,17,15.022913455963135,False,642.71875,557.21484375,296.1862487792969,True
10072,718,17,10.939449310302734,False,557.21484375,571.05078125,303.7286071777344,True
10074,717,17,10.779667377471924,False,571.05078125,579.77734375,379.09912109375,True
10075,717,17,10.566444873809814,False,579.77734375,591.82421875,381.4267272949219,True
10076,710,17,19.68115544319153,False,591.82421875,605.7734375,473.56805419921875,True
10077,719,17,12.993881940841675,False,605.7734375,619.03125,330.375,True
10078,719,17,12.001327753067017,False,619.03125,630.71484375,366.5347900390625,True
10079,719,17,9.427464962005615,False,630.71484375,645.3203125,291.8248291015625,True
