participant_id,alpha,phi,rho,capacity,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10000,0.008444834500551224,0.3573628067970276,0.9079369902610779,2.999999761581421,0.09421864151954651,744.0191040039062,1498.0382080078125,1522.5166214965518,1498.0993078041465,0.3145390953197287,0.3514198958873749,988,False,50,14,['alpha'],"v4.0-K[2,6]-phiapprox"
9187,0.02219690941274166,0.737434446811676,0.2924588918685913,6.0,0.1884143203496933,856.0576171875,1722.115234375,1746.6037590906433,1722.176209984756,0.212911895538623,6.471389497164637e-06,990,True,50,23,['capacity'],"v4.0-K[2,6]-phiapprox"
10002,0.03047286532819271,0.17697791755199432,0.955223798751831,2.289126396179199,0.10591193288564682,477.62469482421875,965.2493896484375,989.7176714214506,965.3106141382334,0.5590743074699025,0.006385320331901312,986,False,49,18,[],"v4.0-K[2,6]-phiapprox"
10003,0.007321360055357218,0.323168009519577,0.9394947290420532,2.774425506591797,0.0010000000474974513,632.6416015625,1275.283203125,1299.68512353593,1275.3452506948036,0.4081652598785058,0.007250924129039049,973,False,50,20,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox"
10004,0.03808524087071419,0.10879706591367722,0.9877116680145264,2.898966073989868,0.0849309116601944,398.1574401855469,806.3148803710938,830.8034050867369,806.3758559808498,0.6339206864341278,7.464292593795108e-06,990,True,50,15,[],"v4.0-K[2,6]-phiapprox"
10005,0.014257259666919708,0.21872596442699432,0.9468432068824768,3.464359998703003,0.032106004655361176,427.783935546875,865.56787109375,890.0310792996105,865.6291581213292,0.6046845495882514,0.0004987046122550964,985,False,50,14,[],"v4.0-K[2,6]-phiapprox"
10006,0.023760689422488213,0.20106594264507294,0.9540607929229736,3.5038957595825195,0.03217102214694023,354.63739013671875,719.2747802734375,743.7481304706049,719.3359423529482,0.6729434004751704,9.988385500037111e-06,987,True,47,12,[],"v4.0-K[2,6]-phiapprox"
10016,0.009480657987296581,0.20695455372333527,0.8418070673942566,5.278375625610352,0.01387727353721857,411.3296203613281,832.6592407226562,857.1325909198237,832.720402802167,0.6206602274301865,0.00016149284783750772,987,False,50,9,['alpha'],"v4.0-K[2,6]-phiapprox"
10017,0.9990000128746033,0.17743785679340363,0.5730587840080261,6.0,0.1141587421298027,408.60516357421875,827.2103271484375,851.6786089214506,827.2715516382334,0.6227906206008831,7.342744538618717e-06,986,True,50,23,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10018,0.01368560642004013,0.2940123379230499,0.9780579805374146,2.0521469116210938,0.037615396082401276,583.073486328125,1176.14697265625,1200.6152544292631,1176.208197146046,0.4617278303631579,0.00046052379184402525,986,False,50,34,[],"v4.0-K[2,6]-phiapprox"
10024,0.02936919778585434,0.247987300157547,0.9990000128746033,2.6021416187286377,0.03665521368384361,288.44854736328125,586.8970947265625,609.7794425718037,586.9813643894838,0.6343214725994599,0.0006242400268092752,718,False,43,18,['rho'],"v4.0-K[2,6]-phiapprox"
10025,0.0605006143450737,0.6059126853942871,0.4817936420440674,5.000000476837158,0.07930885255336761,282.2885437011719,574.5770874023438,594.7064172714703,574.7241462258731,0.3793475707628723,0.5292469263076782,414,False,50,42,[],"v4.0-K[2,6]-phiapprox"
10027,0.019363543018698692,0.19955599308013916,0.8765854835510254,2.9735586643218994,0.026749156415462494,302.32342529296875,614.6468505859375,637.5291984311787,614.7311202488588,0.6167316980085678,9.488588148087729e-06,718,True,49,15,[],"v4.0-K[2,6]-phiapprox"
10028,0.01832648180425167,0.8031218647956848,0.75728839635849,6.0,0.1296227127313614,706.0565185546875,1422.113037109375,1444.8612908205441,1422.1996171959552,0.08057176050921899,9.248364222003147e-06,699,True,50,12,['capacity'],"v4.0-K[2,6]-phiapprox"
10029,0.03709065169095993,0.24196964502334595,0.5235168933868408,3.868300437927246,0.03864022344350815,281.7564392089844,573.5128784179688,596.4091344780193,573.5969120314141,0.6437975509406701,4.806937795365229e-06,720,True,48,14,[],"v4.0-K[2,6]-phiapprox"
10030,0.03170064464211464,0.19769397377967834,0.8169859051704407,2.977778673171997,0.028152983635663986,247.2393341064453,504.4786682128906,527.3470690476938,504.56317525514413,0.685688630909518,7.050185558910016e-06,716,True,50,18,[],"v4.0-K[2,6]-phiapprox"
10031,0.028772598132491112,0.26626676321029663,0.7932940721511841,2.7348411083221436,0.0901341512799263,377.38671875,764.7734375,787.6627442886053,764.8575889726508,0.5222361682694857,7.67279834690271e-06,719,True,50,34,[],"v4.0-K[2,6]-phiapprox"
10035,0.010987667366862297,0.19252221286296844,0.9990000128746033,2.6997036933898926,0.0010000000474974513,330.67852783203125,671.3570556640625,694.2324348670606,671.4414438497165,0.5802000454171141,9.271592716686428e-06,717,True,48,4,"['alpha', 'rho', 'epsilon']","v4.0-K[2,6]-phiapprox"
10036,0.009334624744951725,0.4211388826370239,0.8854398727416992,2.664367914199829,0.0010000000474974513,522.2150268554688,1054.4300537109375,1077.277460813009,1054.5149193403577,0.333323138600512,9.750760909810197e-06,713,True,50,35,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox"
10039,0.01065053977072239,0.23267419636249542,0.9121523499488831,3.0,0.0028572746086865664,364.71112060546875,739.4222412109375,762.2556033599537,739.5073475939163,0.5330880895047412,0.3320365250110626,711,False,50,11,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox"
10041,0.006010116543620825,0.525205671787262,0.9990000128746033,2.0,0.18741106986999512,665.524169921875,1341.04833984375,1363.7750881454222,1341.1352963654892,0.12961752050121356,9.674258762970567e-06,696,True,50,30,"['alpha', 'rho', 'capacity']","v4.0-K[2,6]-phiapprox"
10043,0.06616590917110443,0.5648982524871826,0.5787829756736755,4.999999523162842,0.07369518280029297,511.10870361328125,1032.2174072265625,1055.0858080613657,1032.301914268816,0.350235766621231,0.6111657023429871,716,False,50,34,[],"v4.0-K[2,6]-phiapprox"
10044,0.06616590917110443,0.5648982524871826,0.5787829756736755,4.999999523162842,0.07369518280029297,511.10870361328125,1032.2174072265625,1055.0858080613657,1032.301914268816,0.350235766621231,0.6111657023429871,716,False,50,34,[],"v4.0-K[2,6]-phiapprox"
10047,0.011364167556166649,0.32163143157958984,0.9990000128746033,2.6866114139556885,0.03670984506607056,449.6939697265625,909.387939453125,932.2633186561231,909.472327638779,0.4291086593826239,9.855461939878296e-06,717,True,47,12,['rho'],"v4.0-K[2,6]-phiapprox"
