participant_id,alpha,phi,rho,capacity,kappa,v_scale,A,delta,t0,nll,aic,bic,aicc,pseudo_r2,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10000,0.001519676942267807,0.15083460833523515,0.06489792718403263,3.0000000385658656,-0.09830175589642014,0.5733666870887878,0.22009814629293728,0.09948552431707837,0.05,662.5937328074485,1343.187465614897,1387.1937873900872,1343.3726508000823,0.38582606220118,982,True,50,2,"['alpha', 't0']","v4.0-K[2,6]-phiapprox-lba"
9187,0.0023760414246165227,0.22271008379465457,0.0321853169067354,3.000000159388746,-0.0683627949392788,0.6727700638706798,0.18196552016030834,0.0671661370715671,0.05,454.48502931837766,926.9700586367553,970.9027603695381,927.1567806284565,0.5752668361393886,974,True,50,1,"['alpha', 't0']","v4.0-K[2,6]-phiapprox-lba"
10002,0.005241276926345554,0.07161701418510506,0.09092116941658757,2.0,0.41285394711224854,0.48580294082037023,0.21656210437181306,0.06476852106260671,0.05,337.0068886253282,692.0137772506564,735.6362655069248,692.2071177447488,0.6740096815406638,941,True,50,7,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10003,0.002353792828512501,0.15124322060288123,0.13632899174863075,2.0,0.26094850132074754,0.4817233635903845,0.31147334336239707,0.0712187415130587,0.05,889.6224311608969,1797.2448623217938,1841.0566320025264,1797.4341367697434,0.1573681230699463,961,True,50,5,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10004,0.0015564103145978728,0.02061670209966371,0.028293353501564915,3.6430524232570978,0.25630470837199304,0.7256496278896074,0.17075042622519943,0.11056549648121415,0.05,-69.21259280750532,-120.42518561501063,-76.43721247002908,-120.23961860470135,1.0642857315815732,980,True,50,4,"['alpha', 't0']","v4.0-K[2,6]-phiapprox-lba"
10005,0.0037276637754779817,0.09561128867456264,0.15380791694338064,2.0,0.24624986824899003,0.4464987772077759,0.25358271327261356,0.08994779553392014,0.05,541.260302011999,1100.520604023998,1144.0855227875961,1100.7151986185925,0.4730734131473686,935,True,50,4,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10006,0.00217005877205961,0.04496947323754946,0.10259713350329458,2.0,0.22676738619611703,0.48813542030935647,0.14640453324372146,0.1045248393461391,0.05,92.58385301442557,203.16770602885114,247.17402780404134,203.35289121403633,0.914181817957247,982,True,50,9,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10016,0.0030895633906305765,0.04627666052416316,0.0778098427972614,2.0,0.3064781829300211,0.5251699745453923,0.15844175458928506,0.09680969544835637,0.05,129.7705978008669,277.5411956017338,321.40898206081346,277.7292833760285,0.8778466508984866,967,True,50,4,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10017,0.001,0.03471210648835037,0.22402290503989988,2.3998685704304967,1.0,0.3204611774266928,0.16178436080641403,0.049499324416222415,0.16139012737337308,318.2819943365953,654.5639886731906,698.5977634437394,654.748604057806,0.705875374239401,985,True,50,1,"['alpha', 'kappa']","v4.0-K[2,6]-phiapprox-lba"
10018,0.003288290776447898,0.15073459941606895,0.10352056820349526,2.0,0.1252464451940835,0.4477193065294749,0.15510407050595995,0.10620132514844567,0.0537578833514581,568.1872424340025,1154.374484868005,1198.4173920594287,1154.5589110975134,0.4754702676142375,986,True,50,3,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10024,0.0026712082102480187,0.08513278392240133,0.09528545777843292,2.0,0.35245972737905745,0.5687393896060151,0.1646010915791409,0.1136857374758305,0.05,76.39122889121468,170.78245778242936,211.95814034782595,171.03705467068963,0.9030205117057002,717,True,50,14,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10025,0.001,0.004770102822752659,0.0696336504354659,2.0,0.5184255354569288,0.4443424034984525,0.25034022708730624,0.0201850340280303,0.10652290717576884,256.4366958802592,530.8733917605184,566.1434364489767,531.3706293295792,0.37253026952476176,372,True,50,7,"['alpha', 'phi', 'capacity']","v4.0-K[2,6]-phiapprox-lba"
10027,0.005522324328203365,0.047511301469307786,0.04701456858560432,2.0203640078679252,0.179602850766063,0.5392341920264935,0.10985419451192201,0.1341703375196361,0.06881616217410834,8.813852859701644,35.62770571940329,76.8159318408373,35.88194300753888,0.9888263027707276,718,True,50,9,['alpha'],"v4.0-K[2,6]-phiapprox-lba"
10028,0.001,0.37304330393916296,0.06288273904231521,5.000032698175215,0.02137102908641999,0.560230372686449,0.2579640952166893,0.02505692712412665,0.11422008494812137,685.2648928783923,1388.5297857567846,1429.2418465121302,1388.7980420906147,0.08406022594985263,681,True,50,2,['alpha'],"v4.0-K[2,6]-phiapprox-lba"
10029,0.0037517136445012283,0.06117095686067374,0.06455654073259,2.0,-0.03451609603591277,0.5453630279662937,0.1366949034503909,0.10301043605376399,0.05,16.19911534235402,50.39823068470804,91.59898290419747,50.65210938710578,0.9794922528216088,719,True,50,8,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10030,0.004171805565059266,0.01818605585177982,0.06326320962418,2.0,0.3794638744148401,0.512848880554906,0.14023685980077563,0.1494847150138035,0.06159968512333377,104.87677343402113,227.75354686804226,268.8914935290985,228.00922868622408,0.8662983849556002,714,True,50,3,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox-lba"
10031,0.004028387594326282,0.03629933360947205,0.06924750707230942,2.0,0.11884448659809223,0.5146512105435025,0.22332852337167433,0.07258696900876051,0.05,283.53216434412,585.06432868824,625.920602288799,585.3282583070084,0.6270489913346458,692,True,50,5,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10035,0.00445934819934992,0.09554520355994185,0.1135368033198663,2.0,0.017441073338756437,0.4298744373885406,0.1293054705643906,0.06913325442717576,0.18904655639072246,74.81712189447188,167.63424378894376,208.80992635434035,167.88884067720403,0.9050188575011577,717,True,50,3,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox-lba"
10036,0.0022335681673046454,0.2297001554601915,0.046541731193763064,3.4731941151814976,-0.0149273317866218,0.6676751984638597,0.2711894870595804,0.16121028186047043,0.05,611.0715339524048,1240.1430679048096,1281.2177676435988,1240.4005786344235,0.21548479481168958,709,True,50,4,"['alpha', 't0']","v4.0-K[2,6]-phiapprox-lba"
10039,0.003873194751890365,0.10042150210247167,0.07994057823580901,2.5480451092350656,0.21457770477857854,0.4713938726027107,0.2206165747917631,0.09273596890103371,0.05,398.59217644131706,815.1843528826341,856.2463497258776,815.4422325387945,0.48755051635105606,708,True,50,3,"['alpha', 't0']","v4.0-K[2,6]-phiapprox-lba"
10041,0.0011168126790782181,0.19785932940046233,0.061813257807634116,2.0,0.29014194731861237,0.5086160581763627,0.24736403860617234,0.042492046715859676,0.05,703.58231705864,1425.16463411728,1465.7970483351328,1425.4353108090093,0.051217445707000375,675,True,50,1,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10043,0.0027657279919015842,0.19164645967452534,0.08944712424876748,2.0000000075950197,0.07726530819198929,0.5261963690426618,0.19635635290600642,0.11572619596562678,0.05,526.8677535954615,1071.735507190923,1112.8734538519793,1071.9911890091048,0.3283253549476862,714,True,50,2,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10044,0.002734437347876713,0.1878668540805589,0.08753686061269718,2.000408203482385,0.078908868013141,0.5298574789814235,0.19739773703760619,0.11615016289072749,0.05,526.8683208990648,1071.7366417981295,1112.8745884591858,1071.9923236163113,0.32832463172360626,714,True,50,2,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
10047,0.002887584650917099,0.16550866647920798,0.0652146028404873,2.9259129012982066,0.09107138270639853,0.5056328668219005,0.14327491681246313,0.15723032040757726,0.051176542664095194,449.9120914381285,917.824182876257,958.9998654416536,918.0787797645173,0.4288317515192399,717,True,50,1,"['alpha', 't0']","v4.0-K[2,6]-phiapprox-lba"
10048,0.001,0.11306906980175391,0.12622262848455681,2.0,1.0,0.4605417074580388,0.2708395347267364,0.001,0.15093624296313826,385.7936677329993,789.5873354659986,828.8545883978628,789.9031249396828,0.3945439142158338,580,True,50,3,"['alpha', 'capacity', 'kappa', 'delta']","v4.0-K[2,6]-phiapprox-lba"
10050,0.0049692412259444655,0.22850766232074118,0.1461011387552764,2.0,-0.06841729202966329,0.46845469933059347,0.23916452315170292,0.05992802335471108,0.05,472.7357804468828,963.4715608937656,1004.5589456240839,963.7287037509085,0.3939399278974578,710,True,50,4,"['alpha', 'capacity', 't0']","v4.0-K[2,6]-phiapprox-lba"
