participant_id,alpha,phi,rho,capacity,kappa_s,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10000,0.005548303015530109,0.32579877972602844,0.36166343092918396,2.3146800994873047,0.8486077785491943,0.10714399069547653,709.7127075195312,1431.4254150390625,1460.7995112255496,1431.5110419503774,0.34614539876536754,8.338051884493325e-06,988,True,50,37,['alpha'],"v4.0-K[2,6]-phiapprox"
9187,0.01028107013553381,0.375021368265152,0.17149196565151215,3.0000293254852295,1.0,0.2567690908908844,828.5855712890625,1669.171142578125,1698.5573722368968,1669.2565952739542,0.23817061656130056,0.575767993927002,990,False,46,30,"['alpha', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10002,0.029176926240324974,0.2996273934841156,0.3955104947090149,2.0,0.8915834426879883,0.10289248079061508,466.2793884277344,944.5587768554688,973.9207149830845,944.6445786940795,0.569547880411262,6.5839681155921426e-06,986,True,50,38,['capacity'],"v4.0-K[2,6]-phiapprox"
10003,0.003117264248430729,0.16404207050800323,0.19910846650600433,2.1411948204040527,0.5957859754562378,0.009982540272176266,608.2581176757812,1228.5162353515625,1257.7985398446785,1228.6031918733017,0.4309759520835571,9.660271643952001e-06,973,True,50,30,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox"
10004,0.011262798681855202,0.06759895384311676,0.425353467464447,2.6171183586120605,1.0,0.09644979983568192,397.3370666503906,806.6741333007812,836.060362959553,806.7595859966103,0.6346749653959316,7.481338343495736e-06,990,True,49,7,['kappa_s'],"v4.0-K[2,6]-phiapprox"
10005,0.004963229410350323,0.1231493204832077,0.2764648497104645,2.0822415351867676,1.0,0.025816893205046654,396.0182800292969,804.0365600585938,833.3924099056263,804.1224496291459,0.6340392152853223,9.778175808605738e-06,985,True,49,23,"['alpha', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10006,0.004563500173389912,0.10388673841953278,0.4338342845439911,2.0,1.0,0.03565242514014244,340.8195495605469,693.6390991210938,723.0071193576946,693.724813406808,0.6856866026227971,9.168793440039735e-06,987,True,47,18,"['alpha', 'capacity', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10016,0.003874223679304123,0.12540973722934723,0.23696479201316833,4.999999523162842,1.0,0.06546183675527573,402.2706604003906,816.5413208007812,845.9093410373821,816.6270350864955,0.629014655706668,0.23581691086292267,987,False,48,8,"['alpha', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10017,0.0010000000474974513,0.04863635450601578,0.6815392374992371,2.0,1.0,0.10948491841554642,404.7412414550781,821.4824829101562,850.844421037772,821.568284748767,0.6263576525293546,4.759761395689566e-06,986,True,45,15,"['alpha', 'capacity', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10018,0.008790670894086361,0.2075057178735733,0.22077122330665588,2.0,0.5216974020004272,0.047588784247636795,570.6873168945312,1153.3746337890625,1182.7365719166783,1153.4604356276734,0.47316229008537225,0.0008848649449646473,986,False,49,33,"['alpha', 'capacity']","v4.0-K[2,6]-phiapprox"
10024,0.013179517351090908,0.1984861046075821,0.43955564498901367,2.0,0.6581088304519653,0.03236702084541321,281.4261169433594,574.8522338867188,602.3110513010081,574.9703773466343,0.6432241071878588,9.463647984375712e-06,718,True,50,26,['capacity'],"v4.0-K[2,6]-phiapprox"
10025,0.0010000000474974513,0.0010000000474974513,0.08255797624588013,2.0,1.0,0.03663551062345505,248.08399963378906,508.1679992675781,532.32319511053,508.37438747396635,0.454551236799148,2.653466026458773e-06,414,True,49,14,"['alpha', 'phi', 'capacity', 'kappa_s']","v4.0-K[2,6]-phiapprox"
10027,0.012969320639967918,0.12709400057792664,0.22995351254940033,2.0,0.9004478454589844,0.03460830822587013,288.6136474609375,589.227294921875,616.6861123361643,589.3454383817906,0.6341121681632389,9.509853953204583e-06,718,True,50,26,['capacity'],"v4.0-K[2,6]-phiapprox"
10028,0.001501342630945146,0.4932214617729187,0.14157982170581818,5.1687493324279785,0.3117513656616211,0.0010000000474974513,698.6350708007812,1409.2701416015625,1436.5680460549654,1409.3915288847995,0.09023598492118912,7.13942245056387e-06,699,True,50,15,"['alpha', 'epsilon']","v4.0-K[2,6]-phiapprox"
10029,0.020477350801229477,0.24952994287014008,0.3237884044647217,4.143603324890137,0.7298831939697266,0.048801667988300323,276.5080261230469,565.0160522460938,592.4915595181544,565.1338643078049,0.6504327057578395,4.198155238555046e-06,720,True,49,30,[],"v4.0-K[2,6]-phiapprox"
10030,0.007765478454530239,0.0010000000474974513,0.1602405607700348,2.0,0.5336717367172241,0.027070915326476097,245.0454864501953,502.0909729003906,529.5330539021545,502.20944962817623,0.688477633973711,9.793536264623981e-06,716,True,50,21,"['alpha', 'phi', 'capacity']","v4.0-K[2,6]-phiapprox"
10031,0.010085166431963444,0.12535008788108826,0.18200522661209106,3.0,0.8295613527297974,0.08866289258003235,367.9416198730469,747.8832397460938,775.35040789242,748.0012172741837,0.5341934693782087,0.03719159588217735,719,False,49,33,['alpha'],"v4.0-K[2,6]-phiapprox"
10035,0.006160787306725979,0.15341949462890625,0.26187846064567566,2.0,0.6962825059890747,0.0010000000474974513,316.35626220703125,644.7125244140625,672.1629794576602,644.8308342732174,0.5983823159694769,8.121199243760202e-06,717,True,49,19,"['alpha', 'capacity', 'epsilon']","v4.0-K[2,6]-phiapprox"
