parameter,mean,sd,se,ci_lower,ci_upper,n
alpha_pos,0.16214745410814368,0.28334780947136234,0.023530754803055373,0.1156371508842545,0.20865775733203287,145
alpha_neg,0.10197139991415215,0.24199576343793142,0.020096654297275158,0.06224885412354384,0.14169394570476046,145
epsilon,0.19107538156917897,0.12111847540118109,0.010058341908844484,0.1711943137485596,0.21095644938979835,145
nll,487.65670344911774,126.14625559091608,10.475876327300155,,,145
aic,981.3134068982355,252.29251118183217,20.95175265460031,,,145
bic,995.0644967347937,252.38050724195762,20.959060329638664,,,145
