participant_id,alpha,phi,rho,capacity,kappa,phi_rl,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10000,0.022888820618391037,0.31132251024246216,0.2704646587371826,2.1590280532836914,-0.4251512885093689,0.04665801301598549,0.10731377452611923,723.3748168945312,1460.7496337890625,1495.0194126732977,1460.8639195033481,0.3335585689358217,8.626053386251442e-06,988,True,48,15,[],"v4.0-K[2,6]-phiapprox"
9187,0.027993464842438698,0.4032968282699585,0.10509753972291946,3.0,-0.32138681411743164,0.03810758888721466,0.252695769071579,842.70703125,1699.4140625,1733.6979971019005,1699.5281154531567,0.22518687232525447,0.03614825755357742,990,False,50,22,[],"v4.0-K[2,6]-phiapprox"
10002,0.11217967420816422,0.49542590975761414,0.5364380478858948,3.0,1.0,0.05716175585985184,0.09844764322042465,458.18621826171875,930.3724365234375,964.628031005656,930.4869559508404,0.577019199836083,0.09714636951684952,986,False,48,11,['kappa'],"v4.0-K[2,6]-phiapprox"
10003,0.03089643083512783,0.2000613808631897,0.12638713419437408,2.0,0.24107277393341064,0.07381889224052429,0.007301049306988716,609.9462890625,1233.892578125,1268.0552667003021,1234.0086403011658,0.42939667169562246,7.997368084033951e-05,973,True,47,10,"['capacity', 'epsilon']","v4.0-K[2,6]-phiapprox"
10004,0.01720748282968998,0.06903456896543503,0.3967406749725342,2.3852765560150146,1.0,0.0010000001639127731,0.09222562611103058,369.70770263671875,753.4154052734375,787.699339875338,753.5294582265943,0.6600783299737054,6.3874072111502755e-06,990,True,50,9,"['kappa', 'phi_rl']","v4.0-K[2,6]-phiapprox"
10005,0.029124589636921883,0.11829543113708496,0.19689731299877167,2.287130117416382,0.26241254806518555,0.048449575901031494,0.02938983589410782,417.8436279296875,849.687255859375,883.9357473475796,849.801892502159,0.613870395190182,8.205486665247008e-06,985,True,50,12,[],"v4.0-K[2,6]-phiapprox"
10006,0.02203863114118576,0.09051065146923065,0.3347453773021698,2.0,0.49563300609588623,0.03506920486688614,0.0346841998398304,346.7196044921875,707.439208984375,741.7018992604094,707.553611435856,0.6802454056237774,8.208825420297217e-06,987,True,48,6,['capacity'],"v4.0-K[2,6]-phiapprox"
10016,0.09277774393558502,0.09906219691038132,0.07367436587810516,3.590566635131836,0.795734167098999,0.08878010511398315,0.0495607852935791,388.8260192871094,791.6520385742188,825.9147288502531,791.7664410256998,0.6414136827879533,7.837116754672024e-06,987,True,48,10,[],"v4.0-K[2,6]-phiapprox"
10017,0.05420467630028725,0.01389877125620842,0.49774113297462463,2.0,1.0,0.2776862382888794,0.10696573555469513,381.2803649902344,776.5607299804688,810.8163244626872,776.6752494078717,0.6480158777315322,9.550341019348707e-06,986,True,49,8,"['capacity', 'kappa']","v4.0-K[2,6]-phiapprox"
10018,0.0383589044213295,0.3404105603694916,0.15853647887706757,2.0,0.28633785247802734,0.05336139723658562,0.03531642630696297,564.2642211914062,1142.5284423828125,1176.7840368650309,1142.6429618102154,0.4790918576973019,6.766319984308211e-06,986,True,50,11,['capacity'],"v4.0-K[2,6]-phiapprox"
10024,0.04469010978937149,0.1729927510023117,0.26938194036483765,2.0,1.0,0.050034426152706146,0.019348572939634323,258.9333801269531,531.8667602539062,563.9020472372438,532.0245067327795,0.6717391090882581,9.193003279506229e-06,718,True,49,11,"['capacity', 'kappa']","v4.0-K[2,6]-phiapprox"
10025,0.3653363287448883,0.0010000000474974513,0.09417793154716492,2.0921177864074707,0.7960481643676758,0.6734026670455933,0.0640266016125679,254.8342742919922,523.6685485839844,551.8496104007615,523.9444106529498,0.43970977596726013,6.979115369176725e-06,414,True,49,22,['phi'],"v4.0-K[2,6]-phiapprox"
10027,0.0209896769374609,0.09586086869239807,0.1713550090789795,2.0,0.38172054290771484,0.014803747646510601,0.02925126627087593,295.6531982421875,605.306396484375,637.3416834677125,605.4641429632483,0.6251878293625073,7.410468697344186e-06,718,True,49,9,['capacity'],"v4.0-K[2,6]-phiapprox"
10028,0.03993520140647888,0.8566256165504456,0.6447329521179199,3.000000238418579,0.08044326305389404,0.10716748982667923,0.0775030329823494,697.1837768554688,1408.3675537109375,1440.2151089065742,1408.5296376472618,0.0921258628587992,0.2353738248348236,699,False,49,13,[],"v4.0-K[2,6]-phiapprox"
10029,0.05795469135046005,0.26291200518608093,0.37972593307495117,2.0,-0.41713839769363403,0.041968002915382385,0.04801866039633751,276.4243469238281,566.8486938476562,598.903452331727,567.0059972184428,0.6505384947711473,6.4683185883041006e-06,720,True,49,7,['capacity'],"v4.0-K[2,6]-phiapprox"
10030,0.014918707311153412,0.0010000000474974513,0.17217887938022614,2.0,1.0,0.011949983425438404,0.029658038169145584,226.67535400390625,467.3507080078125,499.366469176537,467.50890009820796,0.7118312864191617,8.961898856796324e-06,716,True,49,3,"['phi', 'capacity', 'kappa']","v4.0-K[2,6]-phiapprox"
10031,0.03235538676381111,0.13081812858581543,0.18073917925357819,2.0,0.054574012756347656,0.04018667712807655,0.07948713004589081,372.49462890625,758.9892578125,791.0342873165473,759.1467824257209,0.5284294534933578,8.516996786056552e-06,719,True,50,20,['capacity'],"v4.0-K[2,6]-phiapprox"
10035,0.021904747933149338,0.1750103384256363,0.24289152026176453,2.0,0.12061595916748047,0.03564878925681114,0.0010000000474974513,320.8623352050781,655.7246704101562,687.7502012943536,655.8826393805371,0.5926618077395378,7.6599690146395e-06,717,True,50,15,"['capacity', 'epsilon']","v4.0-K[2,6]-phiapprox"
10036,0.029878797009587288,0.29873713850975037,0.10192715376615524,2.87347412109375,-0.0324249267578125,0.06808056682348251,0.010517601855099201,509.9043884277344,1033.8087768554688,1065.795146798369,1033.9676421036957,0.3490393041008536,5.4061442824604455e-06,713,True,48,27,['epsilon'],"v4.0-K[2,6]-phiapprox"
10039,0.22530972957611084,0.9987165927886963,0.7125198841094971,4.999999046325684,0.19548678398132324,0.08533582836389542,0.001000128104351461,355.80523681640625,725.6104736328125,757.5771806414352,725.7697908447612,0.5444896152045791,8.212121963500977,711,False,48,12,"['phi', 'epsilon']","v4.0-K[2,6]-phiapprox"
10041,0.013205118477344513,0.4672870337963104,0.22630305588245392,2.0,0.6041358709335327,0.05196430906653404,0.13299764692783356,642.6585083007812,1299.3170166015625,1331.1344642239035,1299.4798072992369,0.15952157531485622,6.172768735268619e-06,696,True,50,22,['capacity'],"v4.0-K[2,6]-phiapprox"
10043,0.21699729561805725,0.7183163166046143,0.8231997489929199,5.0,0.14709937572479248,0.08173311501741409,0.06011154502630234,489.4073486328125,992.814697265625,1024.8304584343496,992.9728893560205,0.3778243484287399,1.4815802574157715,716,False,50,43,[],"v4.0-K[2,6]-phiapprox"
10044,0.21699729561805725,0.7183163166046143,0.8231997489929199,5.0,0.14709937572479248,0.08173311501741409,0.06011154502630234,489.4073486328125,992.814697265625,1024.8304584343496,992.9728893560205,0.3778243484287399,1.4815802574157715,716,False,50,43,[],"v4.0-K[2,6]-phiapprox"
10047,0.03686267137527466,0.3168383836746216,0.29988226294517517,2.0,-0.0003383159637451172,0.05976920947432518,0.04929736256599426,441.897705078125,897.79541015625,929.8209410404473,897.9533791266308,0.4390061013689167,8.33565354696475e-06,717,True,49,11,"['capacity', 'kappa']","v4.0-K[2,6]-phiapprox"
10048,0.0010416887234896421,0.07824467867612839,0.11839326471090317,2.0,1.0,0.9989998936653137,0.0010000000474974513,451.0214538574219,916.0429077148438,947.9204415430245,916.2042910001463,0.41518886132294663,8.97526024346007e-06,702,True,44,20,"['alpha', 'capacity', 'kappa', 'phi_rl', 'epsilon']","v4.0-K[2,6]-phiapprox"
10050,0.03751254081726074,0.3904651403427124,0.16248366236686707,2.999999761581421,-0.055610716342926025,0.05627049133181572,0.041978538036346436,443.3630676269531,900.7261352539062,932.7516661381036,900.8841042242871,0.43714580782195256,0.10318152606487274,717,False,49,24,[],"v4.0-K[2,6]-phiapprox"
10051,0.07059554010629654,0.42867329716682434,0.44366246461868286,2.0,0.235434889793396,0.06923482567071915,0.04375185817480087,334.8139343261719,683.6278686523438,715.5748573380687,683.78764040698,0.5701540526869628,9.354650501336437e-06,709,True,50,11,['capacity'],"v4.0-K[2,6]-phiapprox"
10052,0.0730825737118721,0.8978879451751709,0.5950118899345398,2.0,0.2288445234298706,0.09422316402196884,0.0010000000474974513,484.9862976074219,983.9725952148438,1015.9195839005687,984.13236696948,0.3773574718493754,3.4143595257773995e-05,709,True,49,13,"['capacity', 'epsilon']","v4.0-K[2,6]-phiapprox"
10055,0.03818906471133232,0.10604759305715561,0.21073342859745026,2.999999761581421,0.46923673152923584,0.04056002199649811,0.12999235093593597,357.01776123046875,728.0355224609375,760.0805519649848,728.1930470741584,0.5480228499659712,0.015703577548265457,719,False,49,23,[],"v4.0-K[2,6]-phiapprox"
10057,0.07498728483915329,0.8386023044586182,0.1039341613650322,6.0,-0.7771387100219727,0.09220597892999649,0.08788733929395676,487.3909606933594,988.7819213867188,1020.7584667666026,988.9410122958096,0.376906782125794,9.998099812946748e-06,712,True,50,22,['capacity'],"v4.0-K[2,6]-phiapprox"
10058,0.012630029581487179,0.14923757314682007,0.1543826162815094,2.0,0.14427292346954346,0.03673000633716583,0.015416612848639488,476.19586181640625,966.3917236328125,998.2192215081361,966.5542780595179,0.3781174275714979,7.584500417578965e-05,697,True,50,17,['capacity'],"v4.0-K[2,6]-phiapprox"
10059,0.07111618667840958,0.14062611758708954,0.29194143414497375,3.0,1.0,0.09119915217161179,0.07175049930810928,300.4014587402344,614.8029174804688,646.8382044638063,614.960663959342,0.6191682569898541,0.02425350807607174,718,False,49,10,['kappa'],"v4.0-K[2,6]-phiapprox"
10062,0.01096324622631073,0.0010000000474974513,0.3768053948879242,2.0,1.0,0.0010000000474974513,0.03514673933386803,160.63926696777344,335.2785339355469,367.31382091888446,335.43628041442014,0.7963507491216599,8.752046596782748e-06,718,True,49,4,"['alpha', 'phi', 'capacity', 'kappa', 'phi_rl']","v4.0-K[2,6]-phiapprox"
10063,0.06149328127503395,0.9636081457138062,0.6193006038665771,2.0,0.40780317783355713,0.08713112771511078,0.09767375886440277,591.8257446289062,1197.6514892578125,1229.6378592007127,1197.8103545060394,0.2444558091320228,8.609875294496305e-06,713,True,50,8,['capacity'],"v4.0-K[2,6]-phiapprox"
10064,0.17847278714179993,0.9774270057678223,0.7281938195228577,5.0,0.09383702278137207,0.07622751593589783,0.042622409760951996,457.524658203125,929.04931640625,961.0258617861339,929.2084073153409,0.41508863617202163,2.8020451068878174,712,False,50,11,[],"v4.0-K[2,6]-phiapprox"
10065,0.9990000128746033,0.03041601926088333,0.11139943450689316,6.0,0.7672797441482544,0.9249461889266968,0.0010000000474974513,247.55935668945312,509.11871337890625,541.1637428829536,509.27623799212705,0.6865949410608552,9.144922842097003e-06,719,True,48,3,"['alpha', 'capacity', 'epsilon']","v4.0-K[2,6]-phiapprox"
10066,0.2485215663909912,0.8675200343132019,0.7214114665985107,5.0,0.6762375831604004,0.07182838767766953,0.0010000006295740604,270.02386474609375,554.0477294921875,585.9650361546402,554.2081879449096,0.6518607453013114,1.982347846031189,706,False,49,2,['epsilon'],"v4.0-K[2,6]-phiapprox"
10067,0.016154741868376732,0.2916092872619629,0.10914379358291626,2.999999761581421,-0.2675604224205017,0.06246744468808174,0.0010000000474974513,596.6705932617188,1207.3411865234375,1239.356947692162,1207.499378613833,0.24146231932748163,0.08020853996276855,716,False,46,8,['epsilon'],"v4.0-K[2,6]-phiapprox"
10071,0.01649947464466095,0.1319420486688614,0.4770374596118927,2.0,0.43977928161621094,0.008019288070499897,0.0859357938170433,311.85516357421875,637.7103271484375,669.7650856325082,637.867630519224,0.605746107067524,7.77829518483486e-06,720,True,50,14,"['capacity', 'phi_rl']","v4.0-K[2,6]-phiapprox"
