parameter,pearson_r,p_value,rmse,bias,pass_fail
alpha_pos,0.21033891679196487,0.009779378487679492,0.4127413312057233,0.00591524772959114,FAIL
alpha_neg,0.2639510130158307,0.0010994314511061354,0.4072446165505288,-0.01982613599132943,FAIL
phi,0.34207742636686156,1.831428225447369e-05,0.36659060079392997,0.08697694046050013,FAIL
rho,0.16795720863854077,0.03993145898332041,0.4410224065548269,0.13592386836747003,FAIL
capacity,0.16945637714702724,0.03816634465506524,2.4130994828493915,-0.6161474507889231,FAIL
kappa,0.997948287794047,1.434849583429021e-178,0.01872901023764024,-0.0026148661000299296,PASS
phi_rl,0.31145375913844014,0.00010464979968531068,0.3773155504379109,-0.1447998133589966,FAIL
epsilon,0.42184717570140096,7.598138510074913e-08,0.3459150994672937,-0.18118998316636425,FAIL
