dataset,subject,nll,converged,true_alpha_pos,recovered_alpha_pos,true_alpha_neg,recovered_alpha_neg,true_phi,recovered_phi,true_rho,recovered_rho,true_capacity,recovered_capacity,true_kappa,recovered_kappa,true_phi_rl,recovered_phi_rl,true_epsilon,recovered_epsilon
0,0,133.49246215820312,True,0.7734081364588514,0.6693074107170105,0.43900068287254823,0.0010000000474974513,0.8578807240715597,0.2170153111219406,0.6969732930012452,0.9990000128746033,1.5650640873258972,3.0956671237945557,0.9756223516367559,0.9743395447731018,0.7606174225863722,0.15038327872753143,0.7854921766663999,0.6869242191314697
0,1,523.4024658203125,True,0.12885740541019478,0.33521926403045654,0.450485166019776,0.43420910835266113,0.37105642818411605,0.3808324635028839,0.9259114588709046,0.9989535212516785,4.8631907204839875,4.239570140838623,0.82276161327083,0.8303256630897522,0.4435273704296765,0.9990000128746033,0.22778424434120734,0.1406441330909729
0,2,1264.4678955078125,True,0.5544756174418032,0.9990000128746033,0.06468962159196698,0.247277170419693,0.8269759096485969,0.9990000128746033,0.6314010703238208,0.885094940662384,5.5485264405122425,5.00241756439209,0.35452596812986836,0.3694925606250763,0.9697566283461134,0.7578588724136353,0.8923348790795533,0.11093113571405411
0,3,780.4067993164062,True,0.7778267300796143,0.09859330207109451,0.19524943043626364,0.9990000128746033,0.46678756171958014,0.9990000128746033,0.04471615825565432,0.8576804995536804,1.925736952405287,4.594390869140625,0.6830489532424546,0.6925365328788757,0.7442726315960015,0.1109866127371788,0.9665747129693416,0.22098767757415771
0,4,1147.27783203125,True,0.3261737074218756,0.6139343976974487,0.37071878662279917,0.5160475969314575,0.4696166996532563,0.9777582287788391,0.19009241636611712,0.8029850125312805,1.7795290320128299,5.880560398101807,0.47570492622593374,0.441920667886734,0.22745553035278235,0.13564538955688477,0.6694743666931453,0.0010000000474974513
0,5,470.0288391113281,True,0.43727761503458606,0.9269442558288574,0.8320128396657218,0.0010000000474974513,0.6998645717982446,0.4488370716571808,0.312741908099277,0.84394371509552,5.993558808371207,7.0,0.8047643574968019,0.8223057389259338,0.38770342227211413,0.0010000000474974513,0.2887514477223836,0.26895779371261597
0,6,749.6512451171875,True,0.6821305129670255,0.09883928298950195,0.14047297864209118,0.0010000000474974513,0.2005083860701581,0.863885760307312,0.0083475452115035,0.0010000000474974513,5.72154626501283,1.0436490774154663,0.6648508565920321,0.6650784015655518,0.7047550478690824,0.37884747982025146,0.780167572959924,0.4783022701740265
0,7,1188.1373291015625,True,0.4589979439872633,0.31298816204071045,0.5686037135609879,0.9990000128746033,0.14051740413140212,0.9990000128746033,0.1153010133889015,0.8645163774490356,5.01041777074283,4.546350955963135,0.4710962061431325,0.4779094457626343,0.5651056342682265,0.5050232410430908,0.7644688597011935,0.1736363023519516
0,8,1121.639892578125,True,0.6344488833605896,0.7220215797424316,0.5534722418566799,0.04154982790350914,0.5590887464239227,0.25590088963508606,0.304342197866487,0.8090532422065735,1.1849070074076364,7.0,0.43671738923236236,0.4032578468322754,0.21515550347389015,0.03355446457862854,0.40871158643718686,0.36781540513038635
0,9,861.3981323242188,True,0.8526962671216298,0.74683678150177,0.23447160689361007,0.0010000000474974513,0.059186136205687884,0.3148408532142639,0.2818211242379525,0.9990000128746033,2.7615625466001017,2.6245038509368896,0.6619165147268951,0.637790858745575,0.5569180880365958,0.01962818205356598,0.7833304126882007,0.777511715888977
0,10,1076.9212646484375,True,0.6639849132467328,0.8769599199295044,0.4065740877171904,0.10777883976697922,0.8133923438967026,0.5679177045822144,0.1676389740678885,0.2918839156627655,1.1362724388031629,4.722901344299316,0.09004786077564175,0.06822475790977478,0.7219146318952574,0.7871056199073792,0.4619534757908846,0.3924778699874878
0,11,1214.1923828125,True,0.16194923547553458,0.09436994045972824,0.5010426855531568,0.9990000128746033,0.15300747850774207,0.07302320003509521,0.6959277343275806,0.5929470658302307,3.676937653444184,4.891936302185059,0.3810212260964825,0.3908035159111023,0.30190906496958075,0.30019110441207886,0.6300220279326507,0.6271306872367859
0,12,950.7398071289062,True,0.3620889853322836,0.6627299785614014,0.0884746194774688,0.7054067254066467,0.11876989031627429,0.1448024958372116,0.9609738692204155,0.8336647748947144,6.451484144245642,1.4894577264785767,0.6997071338107496,0.6758999824523926,0.26633822153660053,0.9990000128746033,0.9682380245930284,0.8883355259895325
0,13,367.132568359375,True,0.778193402157863,0.9990000128746033,0.7164564087806776,0.2854052186012268,0.4494627791395011,0.4357243478298187,0.2726970787214687,0.9990000128746033,1.5783457729209958,2.0237114429473877,0.9026023965438417,0.8873879909515381,0.45586473725394383,0.603238046169281,0.20295863806563985,0.16489601135253906
0,14,775.0143432617188,True,0.3063447109023512,0.12862996757030487,0.5790611298040121,0.9990000128746033,0.17741923737335324,0.026701904833316803,0.8559010555241907,0.8771157264709473,5.551117179011261,1.6456719636917114,0.7194629559509368,0.7399855256080627,0.4322288536955535,0.35834556818008423,0.6270542230210383,0.5616118311882019
0,15,733.1615600585938,True,0.5839297729749101,0.6081691980361938,0.6495469083517104,0.5572640895843506,0.08527543249760931,0.03242071345448494,0.4159757873662684,0.3282034695148468,1.2496850431713549,3.0030765533447266,0.49399081924451893,0.5022136569023132,0.33020148990811976,0.3208925724029541,0.14523514048831482,0.14695075154304504
0,16,876.0204467773438,True,0.10419616178710654,0.9184091687202454,0.5874692830333567,0.45718392729759216,0.17125178259981233,0.1754496693611145,0.9242698781400436,0.9990000128746033,4.48636683820237,4.664431095123291,0.34686980453483707,0.35099682211875916,0.5907336604984539,0.8763896822929382,0.023758263287638103,0.09617748111486435
0,17,1148.1812744140625,True,0.9576420948149624,0.1414867490530014,0.48233883006901446,0.9990000128746033,0.7821697567957856,0.9605908989906311,0.08356453992259369,0.810851514339447,3.9199499850289623,6.813527584075928,0.4907069943545209,0.4600905179977417,0.9369508020650329,0.0751662328839302,0.5715845962713232,0.38679036498069763
0,18,1334.14111328125,True,0.4735424222548399,0.9783583879470825,0.2674417117657098,0.0010000000474974513,0.3319058593478671,0.9968611598014832,0.5206310576665947,0.7396753430366516,3.6334687618302803,4.274061679840088,0.021612079880330426,0.04486255720257759,0.8256393403459691,0.9319543242454529,0.8953684502960871,0.45254966616630554
0,19,882.251953125,True,0.14096859082061355,0.7080206871032715,0.5539280712519713,0.39651012420654297,0.10935858965317266,0.970181405544281,0.6718956128537321,0.9793996214866638,2.68740270303405,3.000371217727661,0.6594226346919018,0.6665555834770203,0.7265406250583089,0.1184110939502716,0.7681101969338217,0.6001805663108826
0,20,1255.6060791015625,True,0.10852546406398476,0.6813474893569946,0.9151798214473327,0.9611268043518066,0.23075356291309104,0.9111031293869019,0.03833773106382742,0.6081938743591309,4.3291148163489,6.733264923095703,0.37092228386243875,0.3431759476661682,0.8291301636461483,0.2802733778953552,0.8076349691201732,0.8196874856948853
0,21,208.72047424316406,True,0.3175046150370699,0.3071895241737366,0.9519935962796054,0.9263437390327454,0.2913360024638384,0.32838597893714905,0.5150270149732511,0.0010000000474974513,2.5357905434056165,2.304202079772949,0.9360435700489633,0.9495044946670532,0.16527860194685412,0.29798799753189087,0.04582079815354433,0.0010000000474974513
0,22,334.7863464355469,True,0.4352268658830319,0.1812150627374649,0.9913908129277254,0.8263716101646423,0.8908939117224041,0.8781678676605225,0.7481108034180353,0.5573247671127319,6.344754945271149,6.062184810638428,0.8934466396978632,0.9114242792129517,0.5188206436656762,0.17344364523887634,0.31629719372713144,0.0010000000474974513
0,23,1263.5411376953125,True,0.771468407246766,0.44843775033950806,0.6613379406414256,0.9990000128746033,0.37391041341596265,0.8896157741546631,0.09527773472539224,0.9694881439208984,5.4807376680941555,4.090917110443115,0.2624605159228647,0.27878236770629883,0.9359395242327117,0.00542305875569582,0.24148863385567337,0.3876749277114868
0,24,418.809326171875,True,0.12351241654666305,0.0010000000474974513,0.8304504467806563,0.3109961748123169,0.15397774799124506,0.6751826405525208,0.1799097715414236,0.6040245890617371,4.596296749125061,3.3588547706604004,0.8745620408374645,0.8835278749465942,0.1970417963831441,0.09445377439260483,0.3107030255542946,0.0010000000474974513
0,25,1315.2147216796875,True,0.7768500285646952,0.9990000128746033,0.9708827732088454,0.31954067945480347,0.5007397038299376,0.1554962396621704,0.14460970754614827,0.6230264902114868,1.0836177262492093,6.366607189178467,0.22965602999885526,0.20790694653987885,0.132558573350948,0.35829588770866394,0.6773033562656318,0.6170415282249451
0,26,638.1390380859375,True,0.12258883961927407,0.9399576783180237,0.5063172717573917,0.17771156132221222,0.6938739107716007,0.8106632828712463,0.5809543760024606,0.3212384879589081,2.1986539099603455,6.847239017486572,0.8041245261822627,0.8111599683761597,0.71497631535657,0.010619772598147392,0.7385060359077107,0.764488697052002
0,27,1260.537841796875,True,0.1317956360541986,0.5075206756591797,0.12450629604304392,0.224727064371109,0.9267074259044946,0.9757962822914124,0.39778303743729077,0.9990000128746033,2.8056921506856387,3.6900343894958496,0.4885840453515333,0.4589763283729553,0.6625384843380553,0.0010000000474974513,0.954712010532876,0.7299982905387878
0,28,1254.0079345703125,True,0.2868733344282909,0.9990000128746033,0.9239588124534031,0.9838351011276245,0.025809772403483804,0.25680848956108093,0.555087646242171,0.991972804069519,4.8038506700865105,1.9883067607879639,0.1058974037507533,0.09743794798851013,0.1410589178697848,0.010602430440485477,0.41927609067767124,0.4399336874485016
0,29,620.7863159179688,True,0.9652994483188954,0.9990000128746033,0.5958504681279041,0.6465317010879517,0.9321571751570108,0.8294174075126648,0.8037521937817448,0.9990000128746033,3.8042896093317493,1.9727535247802734,0.7847634492521874,0.781204342842102,0.01880111040903376,0.011313678696751595,0.10992570877220346,0.3044224679470062
0,30,344.1806335449219,True,0.8287697576529709,0.16437922418117523,0.7962234541485114,0.9990000128746033,0.23317546048250082,0.12089371681213379,0.5307080514178554,0.9473146200180054,4.636094924200066,1.8440455198287964,0.8677389537760112,0.9039568901062012,0.6029009430240482,0.20599254965782166,0.41274642613513296,0.3537783622741699
0,31,1259.3182373046875,True,0.3744356753203683,0.6035987734794617,0.42603032220076287,0.9990000128746033,0.6516271635288142,0.6514531373977661,0.8667556504888202,0.9990000128746033,3.7233812924577983,2.0002312660217285,0.24783956295135812,0.2556641101837158,0.237189038271586,0.2670738697052002,0.7455222516829595,0.7190962433815002
0,32,372.27728271484375,True,0.8159356258970626,0.9990000128746033,0.10606752369441672,0.10664839297533035,0.06742573924126781,0.4588856101036072,0.5942447964289389,0.5461447238922119,1.8770394651561897,2.999361038208008,0.8246641904563413,0.8428308367729187,0.3107140045762263,0.05192889645695686,0.14458418910520035,0.14407415688037872
0,33,758.9390869140625,True,0.9201285315424753,0.9100318551063538,0.1662006592898076,0.15751095116138458,0.2851506421732597,0.6296084523200989,0.15430616840167452,0.19746439158916473,1.6929403819921298,1.9980419874191284,0.021148016336440034,0.023882100358605385,0.05628461834593159,0.06205635890364647,0.175292187993981,0.13793320953845978
0,34,1015.0228271484375,True,0.05427516876192104,0.0010000000474974513,0.5909615284787493,0.7061738967895508,0.6803530977459074,0.9918319582939148,0.3938431959183642,0.31506115198135376,2.9079465817122965,2.997649908065796,0.5045262370222301,0.4929908215999603,0.8742549323501393,0.9256917238235474,0.8504293635685616,0.2562292218208313
0,35,1128.7274169921875,True,0.04438811188876636,0.04953225702047348,0.18213541277733103,0.21361568570137024,0.23727138136218723,0.32857075333595276,0.2498888006805474,0.3495751917362213,4.427395910456636,6.5599493980407715,0.4162624257031923,0.45159482955932617,0.0501556116877388,0.05315718799829483,0.37386691018265245,0.31609758734703064
0,36,1371.2490234375,True,0.5237054428202019,0.4739334285259247,0.10246855909790854,0.0010000000474974513,0.8327916366809825,0.32498499751091003,0.05285794273217405,0.0010000000474974513,6.549051214108372,6.519320487976074,0.0991131415798755,0.06201328709721565,0.8428878016945572,0.6440737247467041,0.9018478376397618,0.8187989592552185
