alpha_pos,alpha_neg,beta,set_size,accuracy_mean,accuracy_std,num_trials,num_reps
0.499996616136798,0.7582342954533831,0.5351814462790401,2,0.4444444444444444,0.022222222222222227,45,2
0.499996616136798,0.7582342954533831,0.5351814462790401,3,0.3666666666666667,0.033333333333333354,45,2
0.499996616136798,0.7582342954533831,0.5351814462790401,5,0.4444444444444444,0.022222222222222227,45,2
0.499996616136798,0.7582342954533831,0.5351814462790401,6,0.4222222222222222,0.04444444444444445,45,2
0.6156354589595345,0.2416794010866928,2.970060094213139,2,0.6555555555555556,0.011111111111111072,45,2
0.6156354589595345,0.2416794010866928,2.970060094213139,3,0.6777777777777778,0.011111111111111127,45,2
0.6156354589595345,0.2416794010866928,2.970060094213139,5,0.611111111111111,0.1222222222222222,45,2
0.6156354589595345,0.2416794010866928,2.970060094213139,6,0.5555555555555556,0.022222222222222202,45,2
0.618607530492636,0.36838946817435975,0.47279344383467337,2,0.34444444444444444,0.011111111111111127,45,2
0.618607530492636,0.36838946817435975,0.47279344383467337,3,0.25555555555555554,0.05555555555555555,45,2
0.618607530492636,0.36838946817435975,0.47279344383467337,5,0.4111111111111111,0.05555555555555555,45,2
0.618607530492636,0.36838946817435975,0.47279344383467337,6,0.37777777777777777,0.0888888888888889,45,2
0.3141104627643281,0.4327478644229819,1.9339504178881348,2,0.6888888888888889,0.0888888888888889,45,2
0.3141104627643281,0.4327478644229819,1.9339504178881348,3,0.5888888888888889,0.05555555555555558,45,2
0.3141104627643281,0.4327478644229819,1.9339504178881348,5,0.5444444444444445,0.011111111111111127,45,2
0.3141104627643281,0.4327478644229819,1.9339504178881348,6,0.5222222222222223,0.033333333333333354,45,2
0.9025159779864478,0.720395657759638,2.8133538079790505,2,0.7444444444444445,0.033333333333333326,45,2
0.9025159779864478,0.720395657759638,2.8133538079790505,3,0.7333333333333333,0.0,45,2
0.9025159779864478,0.720395657759638,2.8133538079790505,5,0.6555555555555556,0.033333333333333326,45,2
0.9025159779864478,0.720395657759638,2.8133538079790505,6,0.6444444444444444,0.1111111111111111,45,2
