parameter,pearson_r,p_value,rmse,bias,pass_fail
alpha_pos,0.6610467692605532,3.39461158102116e-20,0.25181715284747896,-0.018430170801874604,FAIL
alpha_neg,0.749788196501971,2.4809197964361647e-28,0.2217410398836036,-0.0046177704138034474,FAIL
phi,0.6158303641874843,4.9887045252184346e-17,0.26308324443165443,0.01816156148590133,FAIL
rho,0.7631703479809708,7.335811073345668e-30,0.19210813578740651,0.030067889054557775,FAIL
capacity,0.35086710202168614,1.0723131336958523e-05,1.9621319381109241,0.07924510368047526,FAIL
epsilon,0.9270795588912534,6.052118750178236e-65,0.11225839753240842,-0.037302239176984504,PASS
