Section,Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r,p_fdr,sig_fdr,shapiro_w,shapiro_p,residuals_normal,bp_stat,bp_p,homoscedastic
K (WM Capacity) ~ IES-R Avoidance,wm_capacity_mean,ies_avoidance,154,-0.016,0.014,-1.15,0.250,0.009,"[-0.044, 0.012]",-0.093,0.617,False,0.913,0.0000,False,0.642,0.4231,True
K (WM Capacity) ~ IES-R Hyperarousal,wm_capacity_mean,ies_hyperarousal,154,0.004,0.016,0.23,0.821,0.000,"[-0.028, 0.036]",0.018,0.917,False,0.909,0.0000,False,4.500,0.0339,False
K (WM Capacity) ~ IES-R Intrusion,wm_capacity_mean,ies_intrusion,154,-0.011,0.016,-0.65,0.514,0.003,"[-0.042, 0.021]",-0.053,0.820,False,0.907,0.0000,False,1.936,0.1641,True
K (WM Capacity) ~ IES-R Total Score,wm_capacity_mean,ies_total,154,-0.003,0.006,-0.60,0.546,0.002,"[-0.014, 0.008]",-0.049,0.820,False,0.907,0.0000,False,2.378,0.1231,True
K (WM Capacity) ~ LEC-5 Personal Events,wm_capacity_mean,lec_personal_events,154,-0.054,0.045,-1.18,0.239,0.009,"[-0.144, 0.036]",-0.095,0.617,False,0.916,0.0000,False,0.373,0.5412,True
K (WM Capacity) ~ LEC-5 Total Events,wm_capacity_mean,lec_total_events,154,-0.024,0.031,-0.78,0.436,0.004,"[-0.086, 0.037]",-0.063,0.768,False,0.913,0.0000,False,0.006,0.9372,True
alpha+ (Positive Learning Rate) ~ IES-R Avoidance,alpha_pos_mean,ies_avoidance,154,-0.000,0.001,-0.30,0.768,0.001,"[-0.003, 0.002]",-0.024,0.917,False,0.303,0.0000,False,0.096,0.7562,True
alpha+ (Positive Learning Rate) ~ IES-R Hyperarousal,alpha_pos_mean,ies_hyperarousal,154,0.001,0.002,0.63,0.531,0.003,"[-0.002, 0.004]",0.051,0.820,False,0.310,0.0000,False,0.411,0.5216,True
alpha+ (Positive Learning Rate) ~ IES-R Intrusion,alpha_pos_mean,ies_intrusion,154,0.001,0.002,0.37,0.711,0.001,"[-0.003, 0.004]",0.030,0.917,False,0.304,0.0000,False,0.091,0.7624,True
alpha+ (Positive Learning Rate) ~ IES-R Total Score,alpha_pos_mean,ies_total,154,0.000,0.001,0.23,0.821,0.000,"[-0.001, 0.001]",0.018,0.917,False,0.302,0.0000,False,0.042,0.8381,True
alpha+ (Positive Learning Rate) ~ LEC-5 Personal Events,alpha_pos_mean,lec_personal_events,154,0.001,0.005,0.28,0.782,0.001,"[-0.008, 0.010]",0.022,0.917,False,0.304,0.0000,False,0.187,0.6654,True
alpha+ (Positive Learning Rate) ~ LEC-5 Total Events,alpha_pos_mean,lec_total_events,154,-0.000,0.003,-0.07,0.947,0.000,"[-0.006, 0.006]",-0.005,0.978,False,0.300,0.0000,False,0.036,0.8493,True
alpha- (Negative Learning Rate) ~ IES-R Avoidance,alpha_neg_mean,ies_avoidance,154,-0.000,0.001,-0.50,0.616,0.002,"[-0.002, 0.001]",-0.041,0.840,False,0.083,0.0000,False,0.230,0.6313,True
alpha- (Negative Learning Rate) ~ IES-R Hyperarousal,alpha_neg_mean,ies_hyperarousal,154,0.001,0.001,0.65,0.519,0.003,"[-0.001, 0.003]",0.052,0.820,False,0.090,0.0000,False,0.494,0.4820,True
alpha- (Negative Learning Rate) ~ IES-R Intrusion,alpha_neg_mean,ies_intrusion,154,0.000,0.001,0.03,0.978,0.000,"[-0.002, 0.002]",0.002,0.978,False,0.067,0.0000,False,0.004,0.9522,True
alpha- (Negative Learning Rate) ~ IES-R Total Score,alpha_neg_mean,ies_total,154,0.000,0.000,0.03,0.975,0.000,"[-0.001, 0.001]",0.003,0.978,False,0.067,0.0000,False,0.005,0.9432,True
alpha- (Negative Learning Rate) ~ LEC-5 Personal Events,alpha_neg_mean,lec_personal_events,154,-0.001,0.003,-0.32,0.747,0.001,"[-0.006, 0.004]",-0.026,0.917,False,0.077,0.0000,False,0.150,0.6983,True
alpha- (Negative Learning Rate) ~ LEC-5 Total Events,alpha_neg_mean,lec_total_events,154,-0.001,0.002,-0.82,0.415,0.004,"[-0.005, 0.002]",-0.066,0.765,False,0.095,0.0000,False,0.689,0.4066,True
epsilon (Random Responding) ~ IES-R Avoidance,epsilon_mean,ies_avoidance,154,0.000,0.001,0.11,0.914,0.000,"[-0.001, 0.001]",0.009,0.978,False,0.855,0.0000,False,0.319,0.5723,True
epsilon (Random Responding) ~ IES-R Hyperarousal,epsilon_mean,ies_hyperarousal,154,-0.000,0.001,-0.23,0.815,0.000,"[-0.001, 0.001]",-0.019,0.917,False,0.857,0.0000,False,0.863,0.3530,True
epsilon (Random Responding) ~ IES-R Intrusion,epsilon_mean,ies_intrusion,154,-0.001,0.001,-1.29,0.198,0.011,"[-0.002, 0.000]",-0.104,0.593,False,0.875,0.0000,False,0.000,0.9982,True
epsilon (Random Responding) ~ IES-R Total Score,epsilon_mean,ies_total,154,-0.000,0.000,-0.48,0.630,0.002,"[-0.001, 0.000]",-0.039,0.840,False,0.861,0.0000,False,0.292,0.5892,True
epsilon (Random Responding) ~ LEC-5 Personal Events,epsilon_mean,lec_personal_events,154,-0.004,0.002,-2.49,0.014*,0.039,"[-0.007, -0.001]",-0.198,0.119,False,0.898,0.0000,False,3.559,0.0592,True
epsilon (Random Responding) ~ LEC-5 Total Events,epsilon_mean,lec_total_events,154,-0.004,0.001,-3.21,0.002**,0.064,"[-0.006, -0.001]",-0.252,0.069,False,0.903,0.0000,False,0.307,0.5796,True
kappa (Perseveration) ~ IES-R Avoidance,kappa_mean,ies_avoidance,154,0.000,0.001,0.53,0.599,0.002,"[-0.001, 0.002]",0.043,0.840,False,0.560,0.0000,False,1.025,0.3113,True
kappa (Perseveration) ~ IES-R Hyperarousal,kappa_mean,ies_hyperarousal,154,0.001,0.001,1.07,0.288,0.007,"[-0.001, 0.003]",0.086,0.617,False,0.575,0.0000,False,2.676,0.1018,True
kappa (Perseveration) ~ IES-R Intrusion,kappa_mean,ies_intrusion,154,0.001,0.001,0.54,0.591,0.002,"[-0.001, 0.003]",0.044,0.840,False,0.561,0.0000,False,1.582,0.2085,True
kappa (Perseveration) ~ IES-R Total Score,kappa_mean,ies_total,154,0.000,0.000,0.76,0.448,0.004,"[-0.000, 0.001]",0.062,0.768,False,0.567,0.0000,False,1.935,0.1643,True
kappa (Perseveration) ~ LEC-5 Personal Events,kappa_mean,lec_personal_events,154,-0.004,0.003,-1.37,0.173,0.012,"[-0.010, 0.002]",-0.110,0.554,False,0.579,0.0000,False,0.836,0.3604,True
kappa (Perseveration) ~ LEC-5 Total Events,kappa_mean,lec_total_events,154,0.006,0.002,2.97,0.004**,0.055,"[0.002, 0.010]",0.234,0.069,False,0.620,0.0000,False,4.990,0.0255,False
phi (WM Decay Rate) ~ IES-R Avoidance,phi_mean,ies_avoidance,154,0.004,0.003,1.41,0.161,0.013,"[-0.001, 0.009]",0.114,0.554,False,0.795,0.0000,False,1.039,0.3081,True
phi (WM Decay Rate) ~ IES-R Hyperarousal,phi_mean,ies_hyperarousal,154,0.008,0.003,2.90,0.004**,0.052,"[0.003, 0.014]",0.229,0.069,False,0.825,0.0000,False,4.039,0.0445,False
phi (WM Decay Rate) ~ IES-R Intrusion,phi_mean,ies_intrusion,154,0.005,0.003,1.88,0.063,0.023,"[-0.000, 0.011]",0.150,0.334,False,0.806,0.0000,False,2.315,0.1281,True
