Source,SS,DF1,DF2,MS,F,p-unc,np2,eps,sig
trauma_group,40925.61226616638,1,16,40925.61226616638,1.4779313765482907,0.24173200554337668,0.08455985692513725,,False
load,122581.68015087608,1,16,122581.68015087608,34.67758171087168,2.2874647013448347e-05,0.6842785417172427,1.0,True
Interaction,31.542349466122687,1,16,31.542349466122687,0.00892313108792482,0.9259147847120729,0.0005573848418696497,,False
