Source,SS,DF1,DF2,MS,F,p-unc,np2,eps,sig
trauma_group,12.983820245099498,1,16,12.983820245099498,0.04025625743794065,0.8435085996696877,0.002509701640163862,,False
load,1186.6517135439674,1,16,1186.6517135439674,29.35953386343598,5.685989970249764e-05,0.6472626890705883,1.0,True
Interaction,34.34493985874815,1,16,34.34493985874815,0.8497450543505471,0.3703162067088427,0.050430736584417685,,False
