Metric,N,Mean,SD,Median,IQR,Min,Max
Feedback Sensitivity,48,0.5338800841354011,0.06898096881022528,0.5239466586195131,0.06157895165884719,0.40946346280447665,0.7416380468866657
Perseveration Index,48,0.4061024518457696,0.11838512662543227,0.40913561076604554,0.16047163544572868,0.15625,0.7275747508305648
