parameter,pearson_r,p_value,rmse,bias,pass_fail
alpha_pos,0.5423381251345498,7.598225061051911e-13,0.287671704883093,-0.03337116547751646,FAIL
alpha_neg,0.3946897388697029,5.794901852689847e-07,0.331485148529018,-0.06141679817012283,FAIL
phi,0.5854642874182417,3.5838612044220454e-15,0.28846271030554627,0.04845283795907021,FAIL
rho,0.5769571418522852,1.0975498366781773e-14,0.27986012612224703,0.05215605978998248,FAIL
capacity,0.3927290552073852,6.664510892019107e-07,1.936733161815889,0.36208409387593,FAIL
kappa_s,0.9977813078028586,4.663988289229813e-176,0.01956756769556716,-0.0030658282285274483,PASS
epsilon,0.7436575222057347,1.1567605303946039e-27,0.23362123734251808,-0.12341258187033635,FAIL
