Trauma Group,N,Age (years),LESS Total,IES-R Total
No Ongoing Impact,27,34.0 ± nan (34-34),10.7 ± 2.8 (6-15),11.8 ± 8.0 (0-23)
Ongoing Impact,21,Not available,10.5 ± 3.7 (2-15),38.8 ± 10.8 (24-64)
