behavior,parameter,beta_std,SE,t,p,R²_adj,N
accuracy_overall,alpha_pos,0.130788938048773,0.06773048963200487,1.9310201175184027,0.06009026184200162,0.798648263753883,47
accuracy_overall,alpha_neg,0.08376690485758492,0.0701200873645572,1.1946206573029117,0.23878323013801026,0.798648263753883,47
accuracy_overall,epsilon,-0.8924795138056538,0.07020282897835602,-12.712871073625978,3.678718558044415e-16,0.798648263753883,47
mean_rt_overall,alpha_pos,0.025873600747922845,0.15562255681168338,0.16625867919155266,0.8687326929694141,-0.06299700551203657,47
mean_rt_overall,alpha_neg,-0.000916549294641758,0.1611130723964913,-0.005688857403117331,0.9954872843210718,-0.06299700551203657,47
mean_rt_overall,epsilon,-0.0704761132616966,0.16130318561675677,-0.43691705772719275,0.664357842568122,-0.06299700551203657,47
set_size_effect_accuracy,alpha_pos,-0.16303512934909373,0.11962172757782893,-1.3629223774837973,0.18000203423693684,0.3719313894366182,47
set_size_effect_accuracy,alpha_neg,-0.23190210701075187,0.12384209879523854,-1.8725627978429256,0.06793853051507456,0.3719313894366182,47
set_size_effect_accuracy,epsilon,0.6323678482365551,0.12398823231411561,5.100224726444159,7.285456541441731e-06,0.3719313894366182,47
set_size_effect_rt,alpha_pos,-0.24838412401421028,0.13739608516049032,-1.8077962244999666,0.07763639227293866,0.17141767377284245,47
set_size_effect_rt,alpha_neg,-0.06711825299235101,0.1422435530489541,-0.471854446501711,0.6394163896931151,0.17141767377284245,47
set_size_effect_rt,epsilon,-0.4297901677992854,0.14241140026041804,-3.0179477697245964,0.004265612722629785,0.17141767377284245,47
learning_slope,alpha_pos,0.3002124700315065,0.1503618251617576,1.9966003319562073,0.05237704275187365,0.04296038776712818,46
learning_slope,alpha_neg,0.19376792343137259,0.15318881565509396,1.2648960213103473,0.2128821214026509,0.04296038776712818,46
learning_slope,epsilon,0.0046259257151884114,0.1540939886645697,0.030020156887872386,0.9761931795464639,0.04296038776712818,46
feedback_sensitivity,alpha_pos,0.10897214920999547,0.1306041793753856,0.8343695410909108,0.4086843262423099,0.2513116110157916,47
feedback_sensitivity,alpha_neg,0.15687205960923153,0.13521202220352613,1.1601931326276735,0.25237144648385035,0.2513116110157916,47
feedback_sensitivity,epsilon,-0.5493171234071619,0.13537157221754645,-4.05784696453397,0.00020506343618960672,0.2513116110157916,47
perseveration_index,alpha_pos,0.023348951144052804,0.1480697218090713,0.15768889722208124,0.8754760121300957,0.10981531791683141,45
perseveration_index,alpha_neg,-0.06569391728035887,0.15370195546676316,-0.42741107021611485,0.6713164137403045,0.10981531791683141,45
perseveration_index,epsilon,0.4346417079210531,0.15315582926513494,2.837905093175561,0.0070299110150522535,0.10981531791683141,45
