participant_id,n_trials,n_blocks,fit_time_s,is_first_fit,memory_before_mb,memory_after_mb,nll,converged
10000,1121,21,62.420690610811306,False,1624.20703125,1659.12890625,1038.9573974609375,True
9187,1214,21,62.420690610811306,False,1624.20703125,1659.12890625,1170.679443359375,True
10002,1351,21,62.420690610811306,False,1624.20703125,1659.12890625,1132.4398193359375,False
10003,1338,21,62.420690610811306,False,1624.20703125,1659.12890625,1197.5767822265625,False
10004,1208,21,62.420690610811306,False,1624.20703125,1659.12890625,934.1380004882812,False
10005,1330,21,62.420690610811306,False,1624.20703125,1659.12890625,1043.096923828125,True
10006,1354,21,62.420690610811306,False,1624.20703125,1659.12890625,1096.5404052734375,True
10007,1195,21,62.420690610811306,False,1624.20703125,1659.12890625,1250.0147705078125,True
10016,1364,21,62.420690610811306,False,1624.20703125,1659.12890625,1057.7666015625,True
10017,1257,21,62.420690610811306,False,1624.20703125,1659.12890625,930.5210571289062,True
10018,1305,21,62.420690610811306,False,1624.20703125,1659.12890625,1150.8143310546875,False
10024,1173,21,62.420690610811306,False,1624.20703125,1659.12890625,964.4293823242188,False
10025,1229,21,62.420690610811306,False,1624.20703125,1659.12890625,872.460693359375,True
10027,1088,21,62.420690610811306,False,1624.20703125,1659.12890625,891.5491943359375,True
10028,1252,21,62.420690610811306,False,1624.20703125,1659.12890625,1290.46337890625,True
10029,1257,21,62.420690610811306,False,1624.20703125,1659.12890625,1100.95751953125,True
10030,1211,21,62.420690610811306,False,1624.20703125,1659.12890625,872.007080078125,True
10031,1252,21,62.420690610811306,False,1624.20703125,1659.12890625,1056.811279296875,False
10035,1172,21,62.420690610811306,False,1624.20703125,1659.12890625,903.68212890625,True
10036,1186,21,62.420690610811306,False,1624.20703125,1659.12890625,1073.70166015625,False
10039,1129,21,62.420690610811306,False,1624.20703125,1659.12890625,918.1298217773438,True
10041,1282,21,62.420690610811306,False,1624.20703125,1659.12890625,1280.356689453125,True
10043,1125,21,62.420690610811306,False,1624.20703125,1659.12890625,1055.90283203125,True
10047,1331,21,62.420690610811306,False,1624.20703125,1659.12890625,1167.3465576171875,True
10048,1225,21,62.420690610811306,False,1624.20703125,1659.12890625,1006.3120727539062,True
10050,1356,21,62.420690610811306,False,1624.20703125,1659.12890625,1216.0445556640625,False
10051,1156,21,62.420690610811306,False,1624.20703125,1659.12890625,981.7108154296875,False
10052,1195,21,62.420690610811306,False,1624.20703125,1659.12890625,1162.6661376953125,True
10055,1214,21,62.420690610811306,False,1624.20703125,1659.12890625,1023.2450561523438,True
10057,1316,21,62.420690610811306,False,1624.20703125,1659.12890625,1220.047119140625,True
10058,1367,21,62.420690610811306,False,1624.20703125,1659.12890625,1233.4996337890625,True
10059,1315,21,62.420690610811306,False,1624.20703125,1659.12890625,1065.6329345703125,False
10062,1347,21,62.420690610811306,False,1624.20703125,1659.12890625,833.9505615234375,True
10063,1199,21,62.420690610811306,False,1624.20703125,1659.12890625,1128.988037109375,True
10064,1247,21,62.420690610811306,False,1624.20703125,1659.12890625,1086.5220947265625,True
10065,1330,21,62.420690610811306,False,1624.20703125,1659.12890625,944.1498413085938,True
