source,overall_accuracy,accuracy_ss2,accuracy_ss3,accuracy_ss5,accuracy_ss6,accuracy_early,accuracy_late,learning_effect,post_reversal_accuracy
real,0.7354589955668482,0.8324618136782717,0.8102649006622517,0.7147064710760345,0.681410439927474,0.7334021182960982,0.7547583669426166,0.021356248646518305,0.4035930645498224
synthetic,0.5093074666336102,0.5370159966816354,0.5159864772300418,0.4911920269266075,0.48788919996606434,0.5121264886042101,0.5049920772887405,-0.0071344113154695465,0.44471243042671615
difference,-0.2261515289332381,-0.2954458169966363,-0.2942784234322099,-0.22351444414942695,-0.19352123996140963,-0.2212756296918882,-0.24976628965387604,-0.028490659961987852,0.04111936587689374
