dataset,subject,nll,converged,true_alpha_pos,recovered_alpha_pos,true_alpha_neg,recovered_alpha_neg,true_epsilon,recovered_epsilon
0,0,1333.4986572265625,True,0.7734081364588514,0.9598453640937805,0.43900068287254823,0.9856044054031372,0.8578807240715597,0.8430740833282471
0,1,1478.462158203125,True,0.6969732930012452,0.02561662718653679,0.09498899319187423,0.14878667891025543,0.9746711069334825,0.9254153966903687
0,2,649.263916015625,True,0.7606174225863722,0.7441776990890503,0.7854921766663999,0.7991419434547424,0.12885740541019478,0.12304073572158813
0,3,1295.9989013671875,True,0.450485166019776,0.8636289834976196,0.37105642818411605,0.4099738895893097,0.9259114588709046,0.9123191237449646
0,4,1146.750244140625,True,0.6435773898405032,0.8338955640792847,0.8221160900442883,0.8450867533683777,0.4435273704296765,0.4556176960468292
0,5,429.5144348144531,True,0.22778424434120734,0.19473785161972046,0.5544756174418032,0.5069552063941956,0.06468962159196698,0.05241283401846886
0,6,1213.0665283203125,True,0.8269759096485969,0.7778550386428833,0.6314010703238208,0.5506313443183899,0.757571564605203,0.7623477578163147
0,7,1468.1260986328125,True,0.3548169161936086,0.0069480412639677525,0.9697566283461134,0.9990000128746033,0.8923348790795533,0.8626464605331421
0,8,1187.3345947265625,True,0.7778267300796143,0.8398950099945068,0.19524943043626364,0.21886737644672394,0.46678756171958014,0.45780161023139954
0,9,1240.678466796875,True,0.04471615825565432,0.053214311599731445,0.15498091308341275,0.14139966666698456,0.6826828553359697,0.6537581086158752
0,10,845.5344848632812,True,0.7442726315960015,0.8302996158599854,0.9665747129693416,0.9754959940910339,0.3261737074218756,0.3214612603187561
0,11,778.1049194335938,True,0.37071878662279917,0.38281115889549255,0.4696166996532563,0.46573007106781006,0.19009241636611712,0.1949627846479416
0,12,924.9409790039062,True,0.1306616623248007,0.13086524605751038,0.4757535163734819,0.4481394588947296,0.22745553035278235,0.22615273296833038
0,13,1356.610595703125,True,0.6694743666931453,0.32194823026657104,0.43727761503458606,0.4127906262874603,0.8320128396657218,0.8060048222541809
0,14,1456.697509765625,True,0.6998645717982446,0.6019287109375,0.312741908099277,0.29567256569862366,0.8315952817924107,0.8346086740493774
0,15,836.025634765625,True,0.8041548287818082,0.7113572955131531,0.38770342227211413,0.3762032091617584,0.2887514477223836,0.27443307638168335
0,16,827.3931274414062,True,0.6821305129670255,0.6620916724205017,0.14047297864209118,0.1411927342414856,0.2005083860701581,0.24539335072040558
0,17,1342.5848388671875,True,0.0083475452115035,0.0168300773948431,0.7863505287471341,0.7910209894180298,0.6645211548788481,0.6685044169425964
0,18,1078.6004638671875,True,0.7047550478690824,0.7057645916938782,0.780167572959924,0.7367573380470276,0.4589979439872633,0.46808698773384094
0,19,535.7646484375,True,0.5686037135609879,0.5697078108787537,0.14051740413140212,0.14797402918338776,0.1153010133889015,0.10358992218971252
0,20,1220.22021484375,True,0.6680661558668907,0.6499509811401367,0.47115401373084626,0.43925952911376953,0.5651056342682265,0.5656769871711731
0,21,1182.7076416015625,True,0.7644688597011935,0.7565825581550598,0.6344488833605896,0.5855555534362793,0.5534722418566799,0.5259932279586792
0,22,348.2550048828125,True,0.5590887464239227,0.6221786737442017,0.304342197866487,0.3204363286495209,0.031756198898803524,0.03207112103700638
0,23,1069.0404052734375,True,0.4368439544538976,0.4445611834526062,0.21515550347389015,0.20820587873458862,0.40871158643718686,0.40830689668655396
0,24,415.85992431640625,True,0.8526962671216298,0.8904789090156555,0.23447160689361007,0.2297038733959198,0.059186136205687884,0.057074569165706635
0,25,1312.6136474609375,True,0.2818211242379525,0.3122518062591553,0.29400657025115023,0.3166115880012512,0.6615926816974412,0.6204601526260376
0,26,1392.2310791015625,True,0.5569180880365958,0.4534299969673157,0.7833304126882007,0.6001595854759216,0.6639849132467328,0.6398321986198425
0,27,815.8676147460938,True,0.4065740877171904,0.3024631440639496,0.8133923438967026,0.7976521849632263,0.1676389740678885,0.16867591440677643
0,28,1467.0953369140625,True,0.023666648987592756,0.02877606451511383,0.09086776505409047,0.06627009063959122,0.7219146318952574,0.7391605377197266
0,29,1161.2093505859375,True,0.4619534757908846,0.4631822109222412,0.16194923547553458,0.16175566613674164,0.5010426855531568,0.4986187517642975
0,30,1093.356201171875,True,0.15300747850774207,0.12504389882087708,0.6959277343275806,0.7459661960601807,0.4462639630228826,0.4210861325263977
0,31,1245.810791015625,True,0.3812591836442895,0.2421284168958664,0.30190906496958075,0.3247155249118805,0.6300220279326507,0.6462658643722534
0,32,558.5504150390625,True,0.3620889853322836,0.33983898162841797,0.0884746194774688,0.0784711092710495,0.11876989031627429,0.12169016897678375
0,33,1307.5230712890625,True,0.9609738692204155,0.9585837125778198,0.9077635293261919,0.9221853613853455,0.6993077195431281,0.7180498838424683
0,34,1224.1729736328125,True,0.26633822153660053,0.38589155673980713,0.9682380245930284,0.9777528047561646,0.778193402157863,0.7906373143196106
0,35,932.3944702148438,True,0.7164564087806776,0.7113337516784668,0.4494627791395011,0.44046878814697266,0.2726970787214687,0.25671952962875366
0,36,1102.4931640625,True,0.0971981802291923,0.08114422857761383,0.901797191750754,0.8997243642807007,0.45586473725394383,0.38666462898254395
0,37,1038.0882568359375,True,0.20295863806563985,0.15478146076202393,0.3063447109023512,0.3161708414554596,0.5790611298040121,0.5446353554725647
0,38,1238.5509033203125,True,0.17741923737335324,0.15782280266284943,0.8559010555241907,0.8726245164871216,0.7580024907755397,0.7261301279067993
0,39,1240.39794921875,True,0.7190240300390349,0.6807844638824463,0.4322288536955535,0.4101049304008484,0.6270542230210383,0.6681548953056335
0,40,541.6295166015625,True,0.5839297729749101,0.6989213228225708,0.6495469083517104,0.6669711470603943,0.08527543249760931,0.09389408677816391
0,41,956.7703247070312,True,0.4159757873662684,0.22808437049388885,0.042530945514168694,0.02790044993162155,0.49400283760602987,0.4821546673774719
0,42,548.9564819335938,True,0.33020148990811976,0.3269292414188385,0.14523514048831482,0.1466214954853058,0.10419616178710654,0.10572489351034164
0,43,1300.745361328125,True,0.5874692830333567,0.3638460636138916,0.17125178259981233,0.04561017081141472,0.9242698781400436,0.9504222273826599
0,44,1174.427734375,True,0.5808990174209941,0.5519667267799377,0.3471760649257674,0.3618505299091339,0.5907336604984539,0.5819882750511169
0,45,1139.366943359375,True,0.023758263287638103,0.028969185426831245,0.9576420948149624,0.9810528755187988,0.48233883006901446,0.48323333263397217
0,46,1042.00634765625,True,0.7821697567957856,0.8514856100082397,0.08356453992259369,0.05866256728768349,0.486685014176484,0.5287836194038391
0,47,1160.08203125,True,0.4907255803658119,0.4893849194049835,0.9369508020650329,0.9485576152801514,0.5715845962713232,0.532455563545227
0,48,999.8274536132812,True,0.4735424222548399,0.44172558188438416,0.2674417117657098,0.23816606402397156,0.3319058593478671,0.3192417025566101
0,49,375.22747802734375,True,0.5206310576665947,0.6193135976791382,0.43903363738443657,0.46265941858291626,0.022568855720569766,0.028957156464457512
1,0,1410.85302734375,True,0.6641074136585181,0.8409125804901123,0.4803422958378181,0.6120159029960632,0.8994462114936767,0.8864116072654724
1,1,1220.61767578125,True,0.3086207474810451,0.5987722873687744,0.27960185287274625,0.4291743338108063,0.8592744605083613,0.868442714214325
1,2,1414.609130859375,True,0.2653644040386732,0.5069978833198547,0.8863314679772147,0.9990000128746033,0.8998418402617222,0.9368662238121033
1,3,1177.1109619140625,True,0.6498736244973617,0.6210565567016602,0.5871936125082163,0.6016963720321655,0.8204042463474616,0.7879664897918701
1,4,1128.3734130859375,True,0.5689993859454137,0.7346871495246887,0.01896916068382376,0.011807721108198166,0.5418559664908246,0.49551883339881897
1,5,1391.63134765625,True,0.8917887591108522,0.8444917798042297,0.7430389985294513,0.8703124523162842,0.7197910622712809,0.7348167896270752
1,6,1326.5675048828125,True,0.01263751680494354,0.03172748535871506,0.37622314332027307,0.4563978314399719,0.8473160492257071,0.8392677307128906
1,7,984.418212890625,True,0.02891719137955148,0.023914068937301636,0.08058423218430433,0.07294353097677231,0.2536533525700423,0.1956649124622345
1,8,797.46630859375,True,0.6810843712499934,0.5935341119766235,0.778321202939079,0.8021124005317688,0.2034174073471856,0.17980580031871796
1,9,889.5637817382812,True,0.8383255924406395,0.8312633037567139,0.4828262261371888,0.49152687191963196,0.33317221560276755,0.3247433006763458
1,10,1285.5733642578125,True,0.2890467270113982,0.2691460847854614,0.5421555839036124,0.9746174812316895,0.8578913630338733,0.8165074586868286
1,11,286.0826721191406,True,0.46546022537020876,0.48933592438697815,0.22320937382748077,0.22432047128677368,0.012394422957972162,0.009665188379585743
1,12,499.3987121582031,True,0.9112483475688381,0.8311966061592102,0.9467927172633879,0.9507838487625122,0.01647179422146016,0.0085191885009408
1,13,1192.6026611328125,True,0.055442309906285854,0.0438186340034008,0.10666799674245489,0.08353567123413086,0.5317106840899171,0.5142215490341187
1,14,1294.1387939453125,True,0.9076050607836081,0.9072275161743164,0.23850174003385752,0.2377406805753708,0.6202545862332172,0.6496420502662659
1,15,403.6978759765625,True,0.8832922413457441,0.8775829672813416,0.7159112603060435,0.7176399827003479,0.03750284254533904,0.02815135195851326
1,16,1379.9930419921875,True,0.2081926459889241,0.1136622428894043,0.10410455123457256,0.06403813511133194,0.712060223314786,0.637151837348938
1,17,1338.611083984375,True,0.3472951297644991,0.28592196106910706,0.8205273133921043,0.8925621509552002,0.6537576519886842,0.662760853767395
1,18,1151.2711181640625,True,0.1265830289349912,0.09955985099077225,0.15648649747789678,0.13953201472759247,0.514096713848963,0.5056313276290894
1,19,641.1246948242188,True,0.6819206342044017,0.5590977668762207,0.6294912221500177,0.5864972472190857,0.16985043218823664,0.16951769590377808
1,20,1205.7193603515625,True,0.7882800138292405,0.6038365364074707,0.9602687617524799,0.942624568939209,0.41896688449988684,0.445529043674469
1,21,996.39990234375,True,0.5947481712861178,0.5944291353225708,0.8207335657293345,0.8662681579589844,0.3851915722323393,0.3876402974128723
1,22,1293.69970703125,True,0.7282119855255113,0.8808423280715942,0.8648501076822958,0.9348087310791016,0.6903017502465956,0.7028589844703674
1,23,1070.275390625,True,0.2612394750521237,0.2699756622314453,0.6283242254675412,0.6273024678230286,0.41121216151558454,0.37825408577919006
1,24,1312.128173828125,True,0.2441429220296785,0.17526797950267792,0.09215147671281292,0.10586019605398178,0.7915876345132005,0.794347882270813
1,25,1475.938232421875,True,0.6840328546661372,0.04400293156504631,0.14086571119752936,0.040626779198646545,0.9670019755718701,0.9029515981674194
1,26,993.70556640625,True,0.8748629790290753,0.8897921442985535,0.33553746809149976,0.3532388508319855,0.31773889910337827,0.3460228145122528
1,27,870.0880737304688,True,0.4268549144620434,0.244803324341774,0.996361478772475,0.9943549036979675,0.2448810385086398,0.22806458175182343
1,28,1286.8194580078125,True,0.18790504799640317,0.21817120909690857,0.8752543543435392,0.7921295166015625,0.6840598336294965,0.642955482006073
1,29,1180.8541259765625,True,0.47025812794670985,0.5325661897659302,0.7828247380999273,0.9211912751197815,0.5436369379116405,0.498504102230072
1,30,1518.2769775390625,True,0.38953443803789967,0.12613005936145782,0.25640352470768,0.42721810936927795,0.9432490466568283,0.9294046759605408
1,31,603.1251220703125,True,0.6115552633840847,0.49225541949272156,0.93149800056797,0.9159716367721558,0.06660944988599758,0.06793764978647232
1,32,1230.948974609375,True,0.04964012964609497,0.06570499390363693,0.6793431127927463,0.7082289457321167,0.4195446093233476,0.4556177854537964
1,33,1267.156005859375,True,0.14015265712912875,0.1616845428943634,0.44617031177474026,0.43520841002464294,0.5806101718083564,0.558808445930481
1,34,1250.135009765625,True,0.04494170283320061,0.04836985841393471,0.468535860029014,0.4241028428077698,0.6350457849270252,0.6523987054824829
1,35,477.5301513671875,True,0.18110399917651493,0.18707317113876343,0.814979555986855,0.8051357269287109,0.020698822836622114,0.01928471401333809
1,36,1323.725341796875,True,0.8490763839170867,0.0010000000474974513,0.5167272134371136,0.9990000128746033,0.9648794402504701,0.8589482307434082
1,37,345.8825378417969,True,0.7583863025511585,0.7648870348930359,0.04721950263066899,0.03862110525369644,0.052665294808455665,0.04202982410788536
1,38,832.3018798828125,True,0.9850305702287532,0.9645325541496277,0.6500932135130836,0.6790180206298828,0.2337282986488855,0.2195757031440735
1,39,1221.188720703125,True,0.5958038492605198,0.7352535724639893,0.06441709459780719,0.04719480127096176,0.6512507519822556,0.5805894732475281
1,40,1047.5054931640625,True,0.44664133321446636,0.4450017809867859,0.207155221511742,0.22175201773643494,0.352052775184799,0.35006919503211975
1,41,1347.364013671875,True,0.31054820331246386,0.25162073969841003,0.6297362183555304,0.6397483348846436,0.7240678790096172,0.7079551815986633
1,42,1150.0433349609375,True,0.018144151168708666,0.01658114418387413,0.2700473856381863,0.4040461778640747,0.30232165461778376,0.3161351680755615
1,43,1016.3502807617188,True,0.6774170460532248,0.6477901935577393,0.312381168002483,0.3164919316768646,0.5362023019366003,0.5192447900772095
1,44,1401.0927734375,True,0.8351610546349572,0.8505135774612427,0.8727105612569864,0.9100029468536377,0.7945149485248093,0.7917162179946899
1,45,1162.639892578125,True,0.37212974769549145,0.39149853587150574,0.6953287656975744,0.6790984869003296,0.6508071145814938,0.6467341780662537
1,46,1180.7786865234375,True,0.6394344116281828,0.6299041509628296,0.9822580256228067,0.973097026348114,0.4468807545572861,0.47448721528053284
1,47,1220.7935791015625,True,0.06099247265305589,0.07053859531879425,0.5326433129156631,0.4888068437576294,0.5410190971156709,0.5453421473503113
1,48,1295.746826171875,True,0.3330779187955817,0.34614700078964233,0.2877030022007904,0.8248507976531982,0.9571818174303417,0.9441708326339722
1,49,1188.9075927734375,True,0.6650465259808952,0.6792643666267395,0.4050198808144225,0.42113974690437317,0.506458967629819,0.5436659455299377
2,0,1223.248046875,True,0.765105432384414,0.8564791679382324,0.24750115952908114,0.26582497358322144,0.5606039207262733,0.5513900518417358
2,1,1247.7674560546875,True,0.8209465411255986,0.7726112008094788,0.4162355081255345,0.3871963322162628,0.6511299387119206,0.6410521268844604
2,2,872.8858642578125,True,0.4130066531834809,0.34233883023262024,0.06102123860358937,0.06617084890604019,0.292937504462702,0.2808813154697418
2,3,640.987548828125,True,0.9376115245440387,0.9468652606010437,0.6235850190736605,0.5846478939056396,0.11104495433784943,0.12454655766487122
2,4,1186.203369140625,True,0.7331248562258085,0.8663148283958435,0.9008024268365215,0.49806901812553406,0.7493223267125654,0.6907894611358643
2,5,1382.459228515625,True,0.30586717709037786,0.31422924995422363,0.26360172674570775,0.335648775100708,0.7808387445552278,0.7585522532463074
2,6,493.1851501464844,True,0.36311688902397393,0.391836941242218,0.7419396752928205,0.7486563324928284,0.044477082994023025,0.04169657826423645
2,7,1322.2481689453125,True,0.7872651601442284,0.023954592645168304,0.5923191834074265,0.317568302154541,0.9833257428696559,0.9420621991157532
2,8,769.1541137695312,True,0.27499041854071443,0.25086289644241333,0.21655456250147515,0.2041700780391693,0.211912719775891,0.206436887383461
2,9,552.1237182617188,True,0.3090696676962386,0.319854736328125,0.3760759730186122,0.3757830262184143,0.10074783694746214,0.09556658565998077
2,10,1255.0892333984375,True,0.6515156002044862,0.8952257633209229,0.7851501514188763,0.5185770988464355,0.7885576989257048,0.7358599901199341
2,11,1487.4124755859375,True,0.5899722470052516,0.5518967509269714,0.9152395698187383,0.9901213645935059,0.9165075266944268,0.8880635499954224
2,12,1414.5137939453125,True,0.22971559992455545,0.19158273935317993,0.698010948182525,0.7673003673553467,0.9154229975091903,0.9234308004379272
2,13,724.4656982421875,True,0.5939381183386233,0.5968026518821716,0.3368688912589907,0.3297796845436096,0.14105853699171986,0.14714699983596802
2,14,1305.5960693359375,True,0.7276539392269633,0.8650511503219604,0.692656830775509,0.8681445121765137,0.8042713141424231,0.8013313412666321
2,15,1102.6925048828125,True,0.9977693651100361,0.9919388294219971,0.8418359739339134,0.9059286713600159,0.43080205856570486,0.4185772240161896
2,16,1367.9859619140625,True,0.5183889760180219,0.5493946671485901,0.45065117535427296,0.2562428414821625,0.9668275080745894,0.9272445440292358
2,17,1039.6043701171875,True,0.09481710664942397,0.0899324119091034,0.47406968173105973,0.49960070848464966,0.3150657228403464,0.30910828709602356
2,18,722.6983032226562,True,0.6652614295095175,0.6210992336273193,0.06299241835023178,0.06328161805868149,0.17227751395083818,0.1710318624973297
2,19,1371.0355224609375,True,0.21038824486471952,0.9739805459976196,0.7679623265788879,0.9631866812705994,0.9149442064764111,0.8748091459274292
2,20,1331.4188232421875,True,0.43447714689307093,0.4189905822277069,0.5048309092286749,0.5170803666114807,0.654871679809029,0.6735290288925171
2,21,666.4436645507812,True,0.36318339490745694,0.3560585379600525,0.5998997978949244,0.5947452187538147,0.17106043237946958,0.15170158445835114
2,22,1188.784423828125,True,0.10306768567208772,0.09838300943374634,0.455312286078759,0.3771882653236389,0.7016128804018019,0.65568608045578
2,23,910.99609375,True,0.6638502309521223,0.6514425277709961,0.7826014443166804,0.8228883743286133,0.2479708218318562,0.25169965624809265
2,24,1103.5030517578125,True,0.4721430830651434,0.46318337321281433,0.9207079047275769,0.9339444041252136,0.3997731494221948,0.38722556829452515
2,25,1230.5433349609375,True,0.5566851640420085,0.5548121929168701,0.2969535181599367,0.27704089879989624,0.4528192640007735,0.45161712169647217
2,26,1152.76611328125,True,0.6137144339776508,0.5562785267829895,0.17900083788528623,0.19007998704910278,0.6292796200887765,0.6348785758018494
2,27,1317.46044921875,True,0.09273400262045216,0.10895590484142303,0.7656200922683005,0.753176212310791,0.7226172462141425,0.7338170409202576
2,28,998.7896728515625,True,0.08062626904291163,0.0770096704363823,0.8183639685495966,0.7760605812072754,0.29929413275809136,0.29044240713119507
2,29,1394.01025390625,True,0.5687177121679489,0.4401351809501648,0.1571666469698468,0.33265793323516846,0.8777867896266579,0.8765895962715149
