outcome,parameter,mean,sd,hdi_2.5%,hdi_97.5%,hdi_25%,hdi_75%,p_direction,interpretation
lec_total,intercept,9.5690613390289,2.3002431743236262,4.9264362526974335,13.9507841137052,8.06626715412794,11.121925002625535,,
lec_total,$\alpha_+$,-2.4699058007283656,2.4947281304886815,-7.242782880809745,2.4552512362904357,-4.190287512943573,-0.8562085094976319,0.8395,inconclusive (-)
lec_total,$\alpha_-$,-1.3961106458108343,2.359556937580811,-6.182209786658095,3.1643882076176237,-2.945298555099845,0.1204232514523504,0.727625,inconclusive (-)
lec_total,$\phi$,0.10672121774478169,2.193655877630794,-4.161961262003974,4.439938398111458,-1.3256396010017009,1.6207226844611835,0.516125,inconclusive (+)
lec_total,$\rho$,-0.7531566248238881,2.0592837759634017,-4.974573677843878,3.0450149357262033,-1.8958190270270527,0.8801396165723523,0.64175,inconclusive (-)
lec_total,$K$,0.6984104411081773,1.9977387536154103,-3.3238163323134744,4.470796144651559,-0.7364758683209309,1.9275888006821076,0.634875,inconclusive (+)
lec_total,$\kappa_{total}$,2.454568568830652,2.7987041512598134,-2.8791134426433396,7.985447116723214,0.6825357505454396,4.494369908464082,0.808125,inconclusive (+)
lec_total,$\kappa_{share}$,1.6214652586061793,1.582542087179449,-1.4362729691318423,4.7350317622225475,0.6902346285887108,2.7842405819941143,0.85225,inconclusive (+)
lec_total,$\varepsilon$,-1.339823082870855,2.940193222431686,-7.1510146444137135,4.365373443340305,-3.5007079259364158,0.4189877816384678,0.6796249999999999,inconclusive (-)
lec_total,sigma,3.841805782026004,0.33111726396892377,3.2226553611196644,4.498519110794797,,,,
lec_total,Bayesian_R2,0.09858706897364208,,0.0204570392885562,0.18629170066173104,,,,
ies_total,intercept,28.373228599802374,11.54046920003731,6.250644695271925,51.46497484519699,20.94299304892778,36.31164924519368,,
ies_total,$\alpha_+$,5.70634324319231,12.487053686483316,-18.476500980476438,30.379019390790454,-2.59292100198453,14.139044970079658,0.67575,inconclusive (+)
ies_total,$\alpha_-$,-11.268551628280706,12.189517078864442,-35.64211354040247,12.180481707008544,-19.001806406755147,-3.0668276839776754,0.826875,inconclusive (-)
ies_total,$\phi$,16.082147427862548,11.087446601654866,-5.607466956139286,37.81721863918012,7.920966241128947,22.75787486054226,0.9265,moderate evidence (+)
ies_total,$\rho$,2.9095383951037936,10.406188096177585,-16.278871971795304,24.544984677063027,-3.402072723595713,10.576535494730939,0.609125,inconclusive (+)
ies_total,$K$,0.6618920213456837,10.161691756469619,-19.28024378672235,20.201639684100524,-4.792266270693321,8.997937636139014,0.5305,inconclusive (+)
ies_total,$\kappa_{total}$,9.55939386491733,14.336050041025576,-18.26876084984448,38.00689995799209,-1.042218221262769,18.28147389721064,0.74425,inconclusive (+)
ies_total,$\kappa_{share}$,-8.962278687013653,8.01616531916141,-24.3665799121837,7.31578908295334,-13.44608170435466,-2.7859222541257203,0.871125,inconclusive (-)
ies_total,$\varepsilon$,7.461417066947886,14.925519148249622,-20.168777087410334,37.70723013131232,-2.113142689961856,17.932390791863604,0.694375,inconclusive (+)
ies_total,sigma,19.527340771208365,1.7043120153943276,16.574858480335628,23.090628536511304,,,,
ies_total,Bayesian_R2,0.10660836925306517,,0.024463846068370952,0.19503690864180653,,,,
