Parameter,Predictor,β,SE,95% CI,t,p
alpha_pos_mean,ies_intrusion,0.004,0.004,"[-0.005, 0.012]",0.82,0.414
alpha_pos_mean,ies_avoidance,0.000,0.003,"[-0.006, 0.006]",0.04,0.967
alpha_pos_mean,ies_hyperarousal,-0.005,0.004,"[-0.012, 0.003]",-1.14,0.259
alpha_neg_mean,ies_intrusion,-0.001,0.003,"[-0.006, 0.005]",-0.22,0.826
alpha_neg_mean,ies_avoidance,-0.000,0.002,"[-0.004, 0.004]",-0.03,0.978
alpha_neg_mean,ies_hyperarousal,-0.000,0.003,"[-0.005, 0.005]",-0.02,0.985
phi_mean,ies_intrusion,-0.007,0.006,"[-0.019, 0.005]",-1.20,0.235
phi_mean,ies_avoidance,0.002,0.004,"[-0.007, 0.011]",0.46,0.650
phi_mean,ies_hyperarousal,0.011,0.005,"[0.000, 0.021]",2.02,0.046*
rho_mean,ies_intrusion,0.009,0.007,"[-0.005, 0.022]",1.26,0.210
rho_mean,ies_avoidance,-0.004,0.005,"[-0.014, 0.006]",-0.77,0.442
rho_mean,ies_hyperarousal,-0.006,0.006,"[-0.019, 0.006]",-1.05,0.296
wm_capacity_mean,ies_intrusion,0.052,0.041,"[-0.029, 0.134]",1.27,0.207
wm_capacity_mean,ies_avoidance,-0.043,0.030,"[-0.102, 0.016]",-1.44,0.153
wm_capacity_mean,ies_hyperarousal,-0.019,0.037,"[-0.092, 0.054]",-0.53,0.600
kappa_mean,ies_intrusion,-0.002,0.004,"[-0.009, 0.005]",-0.53,0.598
kappa_mean,ies_avoidance,0.001,0.003,"[-0.004, 0.006]",0.44,0.657
kappa_mean,ies_hyperarousal,0.002,0.003,"[-0.005, 0.008]",0.51,0.609
epsilon_mean,ies_intrusion,0.003,0.003,"[-0.003, 0.009]",1.00,0.318
epsilon_mean,ies_avoidance,-0.002,0.002,"[-0.006, 0.003]",-0.73,0.465
epsilon_mean,ies_hyperarousal,-0.001,0.003,"[-0.007, 0.004]",-0.52,0.605
