,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_neg[0],0.443,0.198,0.064,0.756,0.018,0.019,127.0,52.0,
alpha_pos[0],0.71,0.158,0.443,0.976,0.017,0.013,78.0,76.0,
beta[0],6.41,1.385,4.316,9.4,0.154,0.105,81.0,100.0,
mu_alpha_neg,0.444,0.201,0.065,0.772,0.017,0.022,156.0,52.0,
mu_alpha_pos,0.697,0.164,0.414,0.969,0.018,0.015,81.0,77.0,
mu_beta,2.876,1.352,0.585,5.657,0.144,0.164,85.0,71.0,
sigma_alpha_neg,0.249,0.182,0.01,0.589,0.017,0.014,66.0,54.0,
sigma_alpha_pos,0.244,0.193,0.013,0.603,0.018,0.016,92.0,77.0,
sigma_beta,1.623,1.03,0.092,3.475,0.093,0.082,119.0,78.0,
z_alpha_neg[0],0.026,0.872,-1.2,1.829,0.077,0.073,136.0,77.0,
z_alpha_pos[0],0.094,0.859,-1.749,1.435,0.09,0.093,90.0,77.0,
z_beta[0],0.687,0.454,0.018,1.569,0.078,0.048,32.0,48.0,
