participant_id,alpha_pos,alpha_neg,phi,rho,capacity,kappa,v_scale,A,delta,t0,nll,aic,bic,aicc,pseudo_r2,grad_norm,hessian_condition,hessian_invertible,n_trials,converged,n_successful_starts,n_near_best,at_bounds
10000,0.0027497903655303,0.001,0.0010983431484766,0.6444095486478219,1.4975284120519028,3.802133636058713e-12,0.5606570624564705,0.2111351311250088,0.0964163975456611,0.0500000000171817,719.8452994706049,1459.6905989412098,1508.5865120247545,1459.9171694870388,0.3327582192656949,0.0003654991932345,,False,982,True,50,2,"['alpha_pos', 'alpha_neg', 'phi', 'kappa', 't0']"
9187,0.0040277651861275,0.0010000000000002,0.6015221729831617,0.4907680547965918,1.0000000000000049,1.3292251089188791e-53,0.6994315773195922,0.1857938990967019,0.0700788413119248,0.0500000000000069,466.4286929921242,952.8573859842484,1001.6714990206738,953.0858387360656,0.5641050382076821,0.0003597528083803,,False,974,True,50,1,"['alpha_pos', 'alpha_neg', 'capacity', 'kappa', 't0']"
10002,0.0043791852509269,0.001,0.1858051328317194,0.999,2.0,0.1389580054821528,0.510773853137788,0.1958889363950548,0.0719785825098093,0.05,379.10633613084633,778.2126722616927,826.6821036575465,778.4492314014776,0.6332864418607063,7.168383235088737,,False,941,False,50,2,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10003,0.0059084149667146,0.0010000000000001,0.3430362336284802,0.964155797249306,1.99999992976479,0.0756407418644626,0.4756462123200596,0.3061706730507279,0.0711026641338552,0.05,898.6510421585753,1817.3020843171505,1865.9818284068533,1817.533663264519,0.1488164103831186,0.000127731698708,,False,961,True,50,2,"['alpha_pos', 'alpha_neg', 't0']"
10004,0.0024987947221743,0.0012837456549206,0.1650035745135501,0.999,1.1535447515218311,0.0830165585773355,0.7309351504023397,0.1620691774184503,0.1135704783329509,0.05,-69.11870611461873,-118.23741222923746,-69.3618865125913,-118.01037404554292,1.0641985281624675,7.989196442242454e-05,,False,980,True,50,8,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10005,0.001,0.0010000000000025,0.1479599583204096,0.999,2.632048682562456,0.0778181648449619,0.4506281098881588,0.2331749463469432,0.0924471206725266,0.05,616.7791736192967,1253.5583472385931,1301.9638125314802,1253.7964424766883,0.3995544406473065,0.0005181143300493,,False,935,True,50,1,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10006,0.0026700394716101,0.001,0.2064345587851811,0.999,2.000000000655912,0.0807360033784826,0.5109410276140786,0.1380134066190602,0.1062301041635459,0.05,158.51617295191068,337.0323459038213,385.928258987366,337.2589164496504,0.8530675777234286,11.511926117858968,,False,982,False,50,1,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10007,0.0136770394036887,0.001,0.2750244915260894,0.2344821863005202,2.1345791006302104,0.2123404135780009,0.4919947711595458,0.2620569685744329,0.001,0.1453906780133912,374.8398225251685,769.679645050337,812.1986838819959,770.1127159164787,0.3425936220341998,0.0033663694603983,,False,519,True,50,1,"['alpha_neg', 'delta']"
10016,0.0032722199122239,0.001,0.2059638080589515,0.999,2.000000000000006,0.0965969308884413,0.5024364996366265,0.1459797575914702,0.0939626174739605,0.05,205.97242411604955,431.9448482320991,480.686833186632,432.1749737551117,0.8061177042049144,18.86739966572416,,False,967,False,50,2,"['alpha_pos', 'alpha_neg', 'rho', 't0']"
10017,0.0019926627465198,0.001,0.0101215773750152,0.6473301466217093,3.9709741271599706,0.1112780669628483,0.4447919117070928,0.1471193508624019,0.0931233918740365,0.0726009385918237,379.1096541715728,778.2193083431455,827.1457247548664,778.4451810330838,0.649664488913807,0.0001282289013359,,False,985,True,50,1,"['alpha_pos', 'alpha_neg', 'phi']"
