model,aggregate_aic,delta_aic,relative_likelihood,aggregate_bic,delta_bic,akaike_weight
M6b,143324.93173217773,0.0,1.0,148971.43123757554,0.0,1.0
M5,143897.82034301758,572.8886108398438,3.9702584936650265e-125,149544.31984841538,572.8886108398438,3.9702584936650265e-125
M6a,144771.58728027344,1446.6555480957031,7.29019464e-315,149712.2743474965,740.8431099209702,7.29019464e-315
M3,144865.9237060547,1540.9919738769531,0.0,149806.61077327776,835.1795357022202,0.0
M2,147328.1671142578,4003.235382080078,0.0,151563.04174330615,2591.610505730612,0.0
M1,152143.1145324707,8818.182800292969,0.0,154260.55184699487,5289.120609419333,0.0
