participant_id,M1_AIC,M2_AIC,delta_AIC,M1_BIC,M2_BIC,delta_BIC
9187,1788.7811279296875,1771.2677001953125,-17.513427734375,1803.4742427590727,1800.6539298540845,-2.8203129049882136
10000,1646.0753173828125,1614.712158203125,-31.3631591796875,1660.7623654760562,1644.086254389612,-16.67611108644428
10001,257.18443298339844,257.3852081298828,0.200775146484375,265.52180346273303,274.059949088552,8.53814562581897
10002,998.5880737304688,1020.822021484375,22.23394775390625,1013.2690427942766,1050.1839596119908,36.91491681771413
10003,1430.0455322265625,1431.379638671875,1.3341064453125,1444.6866844731203,1460.661943164991,15.97525869187075
10004,844.3372802734375,865.2998046875,20.9625244140625,859.0303951028234,894.6860343462718,35.65563924344838
10005,941.3514404296876,980.8414916992188,39.490051269531136,956.0293653532036,1010.1973415462512,54.16797619304759
10006,1023.629150390625,919.0576171875,-104.571533203125,1038.3131605089254,948.4256374241008,-89.88752308482458
10007,1961.6082763671875,1950.59521484375,-11.0130615234375,1976.292286485488,1979.9632350803508,3.670948594862921
10016,901.978515625,957.8352661132812,55.85675048828125,916.6625257433004,987.203286349882,70.54076060658156
10017,837.926025390625,931.0569458007812,93.13092041015625,852.6069944544329,960.418883928397,107.81188947396413
10018,1311.89111328125,1268.0386962890625,-43.8524169921875,1326.572082345058,1297.4006344166785,-29.17144792837962
10024,777.3333129882812,683.7796630859375,-93.55364990234375,791.0627216954259,711.2384805002268,-79.82424119519908
10025,586.0230102539062,628.0000610351562,41.97705078125,598.1006081753821,652.1552568781082,54.05464870272601
10027,645.0780029296875,726.8065795898438,81.72857666015625,658.8074116368322,754.2653970041331,95.45798536730092
10028,1480.1549072265625,1442.12060546875,-38.0343017578125,1493.8038594532638,1469.418509922153,-24.385349531110933
10029,664.27392578125,640.9390258789062,-23.33489990234375,678.0116794172803,668.4145331509669,-9.597146266313416
10030,564.847900390625,576.7318115234375,11.8839111328125,578.5689408915069,604.1738925252014,25.60495163369444
10031,819.9286499023438,827.6195678710938,7.69091796875,833.6622339755069,855.08673601742,21.424502041913115
10035,761.5775756835938,776.49169921875,14.91412353515625,775.3028032053926,803.9421542623477,28.639351056955093
10036,1191.72509765625,1169.1182861328125,-22.6068115234375,1205.433541917493,1196.5351746552983,-8.898367262194597
10039,826.3252563476562,839.5977172851562,13.2724609375,840.025273637066,866.9977518639757,26.972478226909743
10041,1408.0616455078125,1404.560302734375,-3.5013427734375,1421.6976944888158,1431.8324006963817,10.134706207565841
10043,1115.7393798828125,1125.722900390625,9.9835205078125,1129.4604203836943,1153.1649813923889,23.704561008694554
10047,1065.2435302734375,1060.7938232421875,-4.44970703125,1078.9687577952363,1088.2442782857852,9.275520490548843
10048,1383.87841796875,1360.7574462890625,-23.1209716796875,1397.5402181808274,1388.0810467132171,-9.459171467610304
10050,1028.4996337890625,1003.5433349609376,-24.956298828124886,1042.2248613108611,1030.9937900045352,-11.23107130632593
10051,781.0054931640625,766.6246337890625,-14.380859375,794.6970597436589,794.0077669482553,-0.6892927954036168
10052,1072.9185791015625,1052.6895751953125,-20.22900390625,1086.6101456811589,1080.0727083545053,-6.537437326653617
10053,190.9490509033203,194.0865173339844,3.137466430664091,199.6200982879856,211.4286121033149,11.808513815329292
10055,748.4703369140625,779.9598999023438,31.48956298828125,762.2039209872256,807.42706804867,45.223147061444365
10057,1142.2630615234375,1143.970458984375,1.7073974609375,1155.9672952576734,1171.3789264528468,15.411631195173413
10058,1108.8836669921875,1058.461181640625,-50.4224853515625,1122.5240232244691,1085.741894105188,-36.78212911928108
10059,762.332763671875,711.8778076171875,-50.4549560546875,776.0621723790197,739.3366250314768,-36.72554734754283
10062,384.44244384765625,398.7521057128906,14.309661865234375,398.1718525548009,426.21092312718,28.039070572379103
10063,1282.4390869140625,1276.1065673828125,-6.33251953125,1296.1475311753054,1303.5234559052983,7.375924729992903
10064,984.2841186523438,985.4360961914062,1.1519775390625,997.9883523865795,1012.844563659878,14.856211273298413
10065,586.00537109375,569.334716796875,-16.670654296875,599.7389551669131,596.8018849432012,-2.937070223711885
10066,631.952880859375,607.337890625,-24.614990234375,645.6317265718548,634.6955820499595,-10.936144521895244
10067,1353.6240234375,1350.5064697265625,-3.1175537109375,1367.3450639383818,1377.9485507283264,10.603486789944554
10071,708.8018188476562,692.3119506835938,-16.4898681640625,722.5395724836866,719.7874579556544,-2.752114528032166
10072,711.6400756835938,692.3038940429688,-19.336181640625,725.3694843907384,719.7627114572581,-5.606772933480329
10074,842.2050170898438,898.9953002929688,56.790283203125,855.9302446116426,926.4457553365664,70.51551072492384
10075,846.2649536132812,852.7696533203125,6.50469970703125,859.9901811350801,880.2201083639102,20.229927228830093
10076,1201.6842041015625,1161.4097900390625,-40.2744140625,1215.3799990116686,1188.801379859275,-26.578619152393685
10077,699.327880859375,706.18359375,6.855712890625,713.0614649325381,733.6507618963262,20.589296963788115
10078,797.9733276367188,795.6917114257812,-2.2816162109375,811.7069117098819,823.1588795721075,11.451967862225615
