behavior,parameter,beta_std,SE,t,p,R²_adj,N
accuracy_overall,alpha_pos,0.11845427119628155,0.08537510086736488,1.3874568813723225,0.1729844098503623,0.6844700904506983,47
accuracy_overall,alpha_neg,-0.022319329485610814,0.08956242559824289,-0.24920416498912568,0.8044781000636907,0.6844700904506983,47
accuracy_overall,phi,-0.18976278289669563,0.09427580071895178,-2.01284721476302,0.050895792505270696,0.6844700904506983,47
accuracy_overall,rho,-0.2299061660613326,0.08786560198658187,-2.6165662200373023,0.012473114132841577,0.6844700904506983,47
accuracy_overall,capacity,-0.10404595062646452,0.08956644048264124,-1.1616622260056158,0.25225775964281427,0.6844700904506983,47
accuracy_overall,epsilon,-0.7068940700661739,0.09151746287411577,-7.724144090822555,1.8771378594158984e-09,0.6844700904506983,47
mean_rt_overall,alpha_pos,-0.06647595384054486,0.14550444929704381,-0.4568654371856067,0.6502392422641419,0.08350390154492271,47
mean_rt_overall,alpha_neg,-0.26829426727185474,0.15264089039994616,-1.7576827976361789,0.08645275076534371,0.08350390154492271,47
mean_rt_overall,phi,0.19790756973257234,0.16067387711740364,1.2317345749238517,0.22524054225044945,0.08350390154492271,47
mean_rt_overall,rho,-0.07818877671823007,0.14974900057890192,-0.5221322106723032,0.6044579969447396,0.08350390154492271,47
mean_rt_overall,capacity,0.21096638944053636,0.1526477329516672,1.3820473148286754,0.17462691030021477,0.08350390154492271,47
mean_rt_overall,epsilon,-0.3505594266701715,0.1559728527553759,-2.2475669353818932,0.030186759746056783,0.08350390154492271,47
set_size_effect_accuracy,alpha_pos,-0.05203602755128326,0.12887613020803976,-0.4037677688434896,0.6885340513530764,0.2810096735529679,47
set_size_effect_accuracy,alpha_neg,-0.2712073046100086,0.1351970153578957,-2.006015472250362,0.0516501229404047,0.2810096735529679,47
set_size_effect_accuracy,phi,0.18405403706364276,0.14231198845432003,1.2933136488548278,0.20332204758915495,0.2810096735529679,47
set_size_effect_accuracy,rho,0.13470546597905855,0.13263561210923386,1.0156055665360826,0.31592123935166305,0.2810096735529679,47
set_size_effect_accuracy,capacity,0.2175984082274734,0.13520307593948488,1.6094190662116856,0.11538976905385516,0.2810096735529679,47
set_size_effect_accuracy,epsilon,0.35301420882289897,0.13814819943811593,2.555329785394946,0.0145159406473486,0.2810096735529679,47
set_size_effect_rt,alpha_pos,0.0023925878789267663,0.13760936119706552,0.017386810447440604,0.9862144691292118,0.1802639570987673,47
set_size_effect_rt,alpha_neg,-0.013672363824300926,0.14435857818757872,-0.09471112833028277,0.9250171488731703,0.1802639570987673,47
set_size_effect_rt,phi,0.11343725169325758,0.15195569412481827,0.7465153072847591,0.4597215752948115,0.1802639570987673,47
set_size_effect_rt,rho,-0.06622781703461761,0.14162360263976034,-0.46763262478979173,0.6425851360571457,0.1802639570987673,47
set_size_effect_rt,capacity,0.0010393242584124038,0.14436504946165893,0.007199278927192359,0.9942916425760583,0.1802639570987673,47
set_size_effect_rt,epsilon,-0.5576426253212454,0.14750974788361546,-3.7803781331198736,0.0005119963836168968,0.1802639570987673,47
learning_slope,alpha_pos,-0.06848725122682973,0.14969162790075233,-0.45752225550140824,0.6498344385434822,0.028946297605969118,46
learning_slope,alpha_neg,-0.27292374496081584,0.1589953744392223,-1.7165514778239281,0.09399508931580358,0.028946297605969118,46
learning_slope,phi,-0.2811665526104269,0.16454323185294933,-1.7087700870109483,0.09544168202100742,0.028946297605969118,46
learning_slope,rho,-0.2429968789312449,0.15576423153523644,-1.5600300308757018,0.1268317585782408,0.028946297605969118,46
learning_slope,capacity,0.16094441085873842,0.15771402574496007,1.020482548070913,0.31378851149310844,0.028946297605969118,46
learning_slope,epsilon,0.13111521294284734,0.1576708577364018,0.8315754402887129,0.4107113908229947,0.028946297605969118,46
feedback_sensitivity,alpha_pos,0.14211278822660284,0.12722345532220034,1.1170329234235499,0.27064511447771766,0.2993317367399413,47
feedback_sensitivity,alpha_neg,-0.20930212327600334,0.13346328304019064,-1.5682374845595164,0.1247035702912955,0.2993317367399413,47
feedback_sensitivity,phi,-0.07206277214343035,0.14048701552184092,-0.5129496977051737,0.6108079205907202,0.2993317367399413,47
feedback_sensitivity,rho,-0.2633539026027346,0.13093472657870917,-2.0113373242080583,0.05106167871217612,0.2993317367399413,47
feedback_sensitivity,capacity,0.19187347167399368,0.13346926590241498,1.4375854274517437,0.15832923763481996,0.2993317367399413,47
feedback_sensitivity,epsilon,-0.5393033747409625,0.1363766218824681,-3.954514837636498,0.0003048768495476407,0.2993317367399413,47
perseveration_index,alpha_pos,-0.23742938891196189,0.14237226313812681,-1.6676660444851712,0.10360371240109562,0.15042865668008543,45
perseveration_index,alpha_neg,0.1497329652487067,0.15194387616621816,0.9854491607474009,0.33063676723916324,0.15042865668008543,45
perseveration_index,phi,-0.0475744179346809,0.1629041377607899,-0.2920393465053642,0.7718450552324013,0.15042865668008543,45
perseveration_index,rho,0.22004190752203126,0.15021803106620787,1.4648168795731908,0.15119607460931186,0.15042865668008543,45
perseveration_index,capacity,-0.11609463365527853,0.1533074377575638,-0.7572668055340368,0.4535603030826991,0.15042865668008543,45
perseveration_index,epsilon,0.4453732471678504,0.15462060742682518,2.8804261901417316,0.006493169775017886,0.15042865668008543,45
