parameter,median,IQR,mean,SD,min,max
alpha_pos,0.5653381973320646,0.44054661199900447,0.5364168983518387,0.26203088103375066,0.0545452386391515,0.9573109128696108
alpha_neg,0.5056354907783377,0.4234424837868299,0.47663569532944555,0.24864984125124132,0.0123604499181817,0.9033388008191886
phi,0.3312612408374086,0.2642048285155486,0.36978627145851484,0.2013371648005762,0.0177858568947932,0.8446724097932976
rho,0.4563266678759434,0.5389039860136478,0.5040048637104829,0.2765266924258449,0.0543295228350551,0.9509516970353106
capacity,4.338192344356871,3.0981749130180516,3.9925354658485395,1.7673434127182002,1.1595374947018249,6.974650511962885
epsilon,0.2066029282050236,0.24103521693782637,0.27192572577069635,0.16964134719792373,0.0189314255872362,0.7040110611464606
