parameter,median,IQR,mean,SD,min,max
alpha_pos,0.6071322568590317,0.43829263027270615,0.541639144556494,0.25657519065738277,0.0623456377265371,0.909287044493632
alpha_neg,0.5604078853756429,0.5395616793011895,0.48980530692204277,0.2934364910294033,0.0123604499181817,0.9378559033904004
epsilon,0.240893530435947,0.22923649573538252,0.3152698541273673,0.17895276808682573,0.0584819991579581,0.7465769001378257
