Source,SS,DF1,DF2,MS,F,p-unc,np2,eps,sig
trauma_group,48653.94068367495,1,46,48653.94068367495,2.550045348780814,0.11713891442729998,0.05252405699029589,,False
load,425394.2832794878,1,46,425394.2832794878,126.04275076070574,9.04293640478315e-15,0.7326245959413809,1.0,True
Interaction,1.928018216509372,1,46,1.928018216509372,0.000571264657465859,0.9810348456007785,1.2418642676830523e-05,,False
