Source,SS,DF1,DF2,MS,F,p-unc,np2,eps,sig
trauma_group,11.194829829174873,1,46,11.194829829174873,0.057073988530283344,0.8122430446062409,0.0012392013557894848,,False
load,4165.466258650515,1,46,4165.466258650515,82.8109872408752,7.477432897330744e-12,0.6428876062103268,1.0,True
Interaction,0.001641581247895374,1,46,0.001641581247895374,3.263523344883955e-05,0.9954666327856905,7.094610933785032e-07,,False
