source,overall_accuracy,accuracy_ss2,accuracy_ss3,accuracy_ss5,accuracy_ss6,accuracy_early,accuracy_late,learning_effect,post_reversal_accuracy
real,0.7354589955668482,0.8324618136782717,0.8102649006622517,0.7147064710760345,0.681410439927474,0.7334021182960982,0.7547583669426166,0.021356248646518305,0.4035930645498224
synthetic,0.4944705214834683,0.51161994050302,0.505106982477767,0.4815621054464713,0.47658326069856927,0.49875965146206086,0.48917888158801637,-0.009580769874044492,0.45064935064935063
difference,-0.24098847408337992,-0.3208418731752517,-0.3051579181844847,-0.23314436562956314,-0.2048271792289047,-0.2346424668340374,-0.2655794853546002,-0.030937018520562798,0.04705628609952822
