,LEC-5 Total Events,IES-R Total,IES-R Intrusion,IES-R Avoidance,IES-R Hyperarousal
LEC-5 Total Events,1.0,0.12107237828403589,0.14956840378608752,0.06466244099976907,0.12736085894173108
IES-R Total,0.12107237828403589,1.0,0.9253745530933012,0.9135451283699104,0.9261113355332855
IES-R Intrusion,0.14956840378608752,0.9253745530933012,1.0,0.7489912786032773,0.8234786485445262
IES-R Avoidance,0.06466244099976907,0.9135451283699104,0.7489912786032773,1.0,0.752103084228777
IES-R Hyperarousal,0.12736085894173108,0.9261113355332855,0.8234786485445262,0.752103084228777,1.0
