,LESS Total,IES-R Total,IES-R Intrusion,IES-R Avoidance,IES-R Hyperarousal
LESS Total,,0.36679735422090465,0.2726518042862353,0.4959062486955834,0.3497966015955757
IES-R Total,0.36679735422090465,,7.964315751227436e-21,2.642558456786388e-19,3.2821688448103927e-18
IES-R Intrusion,0.2726518042862353,7.964315751227436e-21,,1.082224766046817e-09,6.861093534392569e-12
IES-R Avoidance,0.4959062486955834,2.642558456786482e-19,1.082224766046817e-09,,9.06567645273235e-10
IES-R Hyperarousal,0.3497966015955757,3.282168844810463e-18,6.861093534392569e-12,9.065676452732316e-10,
