,LESS Total,IES-R Total,IES-R Intrusion,IES-R Avoidance,IES-R Hyperarousal
LESS Total,1.0,0.1331922250799986,0.16155046620795696,0.10068987493518085,0.13794277944719752
IES-R Total,0.1331922250799986,1.0,0.9239626791015476,0.9109049186562611,0.900073925910471
IES-R Intrusion,0.16155046620795696,0.9239626791015476,1.0,0.7469465769320317,0.8026243726631775
IES-R Avoidance,0.10068987493518085,0.9109049186562611,0.7469465769320317,1.0,0.7491777308092675
IES-R Hyperarousal,0.13794277944719752,0.900073925910471,0.8026243726631775,0.7491777308092675,1.0
