Scale,N,Mean,SD,Median,Min,Max,Range,Skewness,Kurtosis,Floor_%,Ceiling_%
LESS Total,48,10.645833333333334,3.198999732850902,11.0,2.0,15.0,13.0,-0.529264997893702,-0.30046885330870987,2.083333333333333,14.583333333333334
IES-R Total,48,21.895833333333332,16.506916130575206,20.5,0.0,64.0,64.0,0.5556269736512813,-0.29562840313380034,8.333333333333332,2.083333333333333
IES-R Intrusion,48,8.125,6.0410827548597466,7.5,0.0,23.0,23.0,0.5768478529334089,-0.3884647526780616,8.333333333333332,2.083333333333333
IES-R Avoidance,48,8.916666666666666,7.058519323162684,9.0,0.0,23.0,23.0,0.4904396658667825,-0.678117004597206,18.75,4.166666666666666
IES-R Hyperarousal,48,4.854166666666667,5.198156724583564,3.0,0.0,19.0,19.0,1.130172548129752,0.46786115372650894,25.0,2.083333333333333
