participant_id,alpha_pos,alpha_neg,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10000,0.02486201748251915,0.0010000000474974513,0.16459837555885315,763.231201171875,1532.46240234375,1547.1494504369937,1532.4867925876524,0.29683909079740933,3.453728641034104e-05,988,True,50,18,['alpha_neg'],v4.0-phiapprox
9187,0.018455540761351585,0.0010000000474974513,0.126069575548172,824.5630493164062,1655.1260986328125,1669.8192134621984,1655.1504394036035,0.2418690582678461,7.53161339162034e-06,990,True,50,26,['alpha_neg'],v4.0-phiapprox
10002,0.09593135863542557,0.024111852049827576,0.12186609208583832,478.10943603515625,962.2188720703125,976.8998411341204,962.2433119888461,0.5586268120693367,9.950153071258683e-06,986,True,50,20,[],v4.0-phiapprox
10003,0.019978350028395653,0.0010000000474974513,0.033949755132198334,670.17626953125,1346.3525390625,1360.993691309058,1346.3773068643575,0.3730516656918973,4.071765488333767e-06,973,True,50,20,['alpha_neg'],v4.0-phiapprox
10004,0.1789935976266861,0.07744945585727692,0.10524892061948776,406.94873046875,819.8974609375,834.5905757668859,819.9218017082911,0.6258376790922744,6.831348400737625e-06,990,True,50,18,[],v4.0-phiapprox
10005,0.07616231590509415,0.001000000280328095,0.09218071401119232,447.56915283203125,901.1383056640625,915.8162305875787,901.1627704958668,0.5864010156996377,9.256985322281253e-06,985,True,50,5,['alpha_neg'],v4.0-phiapprox
10006,0.07983113080263138,0.006078488193452358,0.0603097602725029,389.732177734375,785.46435546875,800.1483655870504,785.4887705247012,0.6405779979204351,6.352257514663506e-06,987,True,50,5,['alpha_neg'],v4.0-phiapprox
10007,0.01175600104033947,0.0010000000474974513,0.0010000000474974513,907.6749877929688,1821.3499755859375,1836.033985704238,1821.3743906418886,0.16291653605147327,0.02824484370648861,987,False,50,17,"['alpha_neg', 'epsilon']",v4.0-phiapprox
10016,0.20951981842517853,0.467167466878891,0.1392650157213211,444.25,894.5,909.1840101183004,894.5244150559512,0.5903001251986095,1.9725352103705518e-05,987,True,50,22,[],v4.0-phiapprox
10017,0.9989985823631287,0.9990000128746033,0.12263092398643494,411.6437072753906,829.2874145507812,843.9683836145891,829.3118544693149,0.6199855479146493,5.704119303118205e-06,986,True,50,26,"['alpha_pos', 'alpha_neg']",v4.0-phiapprox
10018,0.03270431235432625,0.0010000000474974513,0.07849901169538498,589.9991455078125,1185.998291015625,1200.6792600794329,1186.0227309341585,0.4553343144852676,4.458157036424382e-06,986,True,50,36,['alpha_neg'],v4.0-phiapprox
10024,0.05937925726175308,0.02933601662516594,0.07710769027471542,312.2280578613281,630.4561157226562,644.1855244298009,630.4897291680344,0.6041751728149098,5.563656031881692e-06,718,True,50,21,[],v4.0-phiapprox
10025,0.07316311448812485,0.0010000000474974513,0.16781380772590637,259.9071044921875,525.814208984375,537.8918069058509,525.8727455697408,0.42855642080244116,9.383888937009033e-06,414,True,50,22,['alpha_neg'],v4.0-phiapprox
10027,0.06302942335605621,0.0035948893055319786,0.04299644008278847,299.33380126953125,604.6676025390625,618.3970112462072,604.7012159844406,0.6205217719068947,8.821708433970343e-06,718,True,50,12,['alpha_neg'],v4.0-phiapprox
