participant_id,alpha_pos,alpha_neg,phi,rho,capacity,kappa_total,kappa_share,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds,parameterization_version
10000,0.011083295568823814,0.0010000000474974513,0.3828795850276947,0.43789106607437134,2.2555794715881348,0.6731818914413452,7.79573972785547e-15,0.10324057191610336,699.9637451171875,1415.927490234375,1455.092951816358,1416.074579100565,0.35512706677905526,6.965613465581555e-06,988,True,50,6,"['alpha_neg', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
9187,0.01607944257557392,0.0010000000474974513,0.4901485741138458,0.14687809348106384,2.9999966621398926,0.4958312511444092,6.301616561898982e-09,0.16702108085155487,809.3886108398438,1634.7772216796875,1673.9588612247167,1634.924010670513,0.2558209462914852,0.523006796836853,990,False,48,7,"['alpha_neg', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10002,0.0875958725810051,0.0010000000474974513,0.4280926287174225,0.7172961235046387,3.0,1.0,0.8642551302909851,0.09789717942476273,449.19073486328125,914.3814697265625,953.5307205633836,914.5288596958562,0.5853235019169434,0.30738478899002075,986,False,47,18,"['alpha_neg', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10003,0.0076839253306388855,0.0010000000474974513,0.19738012552261353,0.188681498169899,2.046825885772705,0.6163378953933716,0.3358708918094635,0.00634380616247654,596.0025024414062,1208.0050048828125,1247.0480775403005,1208.1543824761734,0.44244105150059054,8.552648068871349e-05,973,True,48,15,"['alpha_pos', 'alpha_neg', 'epsilon']","v4.0-K[2,6]-phiapprox-stickbreaking"
10004,0.017268691211938858,0.0010000000474974513,0.06460284441709518,0.3870818018913269,2.643784999847412,1.0,1.0,0.09202522784471512,369.25616455078125,754.5123291015625,793.6939686465915,754.6591180923882,0.6604934892445502,6.788689006498316e-06,990,True,48,16,"['alpha_neg', 'kappa_total', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
10005,0.007153294049203396,0.0010000000474974513,0.1245306208729744,0.27533653378486633,2.0776588916778564,1.0,0.12621977925300598,0.025334080681204796,393.1300354003906,802.2600708007812,841.401203930158,802.4076117843878,0.6367082442775303,7.887077117629815e-06,985,True,47,12,"['alpha_pos', 'alpha_neg', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10006,0.007943605072796345,0.0010000000474974513,0.10401241481304169,0.4242217540740967,2.0,1.0,0.3234395980834961,0.034152090549468994,336.81695556640625,689.6339111328125,728.7912714482803,689.7811503966162,0.6893779076498769,7.83488303568447e-06,987,True,48,4,"['alpha_pos', 'alpha_neg', 'capacity', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10007,0.007208503317087889,0.0010000000474974513,0.1782480627298355,0.028828736394643784,2.000000476837158,1.0,0.7117834091186523,0.0010000000474974513,798.2064208984375,1612.412841796875,1651.570202112343,1612.5600810606786,0.2638715347039823,6.954408308956772e-05,987,True,45,4,"['alpha_pos', 'alpha_neg', 'capacity', 'kappa_total', 'epsilon']","v4.0-K[2,6]-phiapprox-stickbreaking"
10016,0.009641725569963455,0.0010000012116506696,0.10779634118080139,0.17300668358802795,4.904979705810547,0.9999995231628418,0.712821364402771,0.04623084142804146,388.28326416015625,792.5665283203125,831.7238886357803,792.7137675841162,0.6419142268679994,6.1710879890597425e-06,987,True,48,10,"['alpha_pos', 'alpha_neg', 'kappa_total']","v4.0-K[2,6]-phiapprox-stickbreaking"
10017,0.9990000128746033,0.9990000128746033,0.17752395570278168,0.9334862232208252,6.0,1.0,1.0,0.11391444504261017,382.8261413574219,781.6522827148438,820.8015335516649,781.7996726841375,0.6465888733856835,3.429948037592112e-06,986,True,49,2,"['alpha_pos', 'alpha_neg', 'capacity', 'kappa_total', 'kappa_share']","v4.0-K[2,6]-phiapprox-stickbreaking"
