,LEC-5 Total Events,IES-R Total,IES-R Intrusion,IES-R Avoidance,IES-R Hyperarousal
LEC-5 Total Events,1.0,0.13406902033018198,0.16662419665277983,0.07432073232152286,0.14585183083008277
IES-R Total,0.13406902033018198,1.0,0.9222353774426718,0.9137568126597404,0.9235373653396485
IES-R Intrusion,0.16662419665277983,0.9222353774426718,1.0,0.741971132727435,0.8283639042843967
IES-R Avoidance,0.07432073232152286,0.9137568126597404,0.741971132727435,1.0,0.7588805608319842
IES-R Hyperarousal,0.14585183083008277,0.9235373653396485,0.8283639042843967,0.7588805608319842,1.0
