Scale,N,Mean,SD,Median,Min,Max,Range,Skewness,Kurtosis,Floor_%,Ceiling_%
LEC-5 Total Events,154,9.88961038961039,3.5563837260184306,10.0,0.0,15.0,15.0,-0.492435484626192,-0.22835830095014487,0.6493506493506493,11.688311688311687
IES-R Total,154,31.57792207792208,19.92790353862816,30.5,0.0,76.0,76.0,0.2516771495919383,-0.792174473073493,4.545454545454546,0.6493506493506493
IES-R Intrusion,154,10.590909090909092,6.893791501028688,10.0,0.0,27.0,27.0,0.28947885483676633,-0.8731852443469363,5.844155844155844,0.6493506493506493
IES-R Avoidance,154,12.7012987012987,7.898978067541496,12.0,0.0,29.0,29.0,0.158281928842196,-0.8960830336466667,7.142857142857142,1.2987012987012987
IES-R Hyperarousal,154,8.285714285714286,6.837721485069151,8.0,0.0,25.0,25.0,0.497781839870919,-0.8216220518455941,16.883116883116884,0.6493506493506493
