,LEC-5 Total Events,IES-R Total,IES-R Intrusion,IES-R Avoidance,IES-R Hyperarousal
LEC-5 Total Events,,0.0973800279513937,0.03888834434190069,0.3596409694279771,0.07109168433894497
IES-R Total,0.0973800279513937,,1.2992841610120749e-64,2.440030803517826e-61,3.7857839346933858e-65
IES-R Intrusion,0.03888834434190063,1.2992841610120749e-64,,3.495801397311838e-28,4.343287562520722e-40
IES-R Avoidance,0.3596409694279771,2.440030803517826e-61,3.495801397311963e-28,,4.127521173694677e-30
IES-R Hyperarousal,0.07109168433894497,3.7857839346933858e-65,4.343287562520722e-40,4.127521173694677e-30,
