dataset,subject,nll,converged,true_alpha_pos,recovered_alpha_pos,true_alpha_neg,recovered_alpha_neg,true_phi,recovered_phi,true_rho,recovered_rho,true_capacity,recovered_capacity,true_kappa_s,recovered_kappa_s,true_epsilon,recovered_epsilon
0,0,210.55230712890625,True,0.7734081364588514,0.3565497398376465,0.43900068287254823,0.11267715692520142,0.8578807240715597,0.11922087520360947,0.6969732930012452,0.06439213454723358,1.5650640873258972,3.1336510181427,0.9756223516367559,0.9571025967597961,0.7606174225863722,0.3837466835975647
0,1,984.4326171875,True,0.7854921766663999,0.9990000128746033,0.12885740541019478,0.0010000000474974513,0.450485166019776,0.744490921497345,0.37105642818411605,0.8608579039573669,6.560589933091611,2.77571439743042,0.6438651200806645,0.6212902665138245,0.8221160900442883,0.7017809748649597
0,2,924.7081298828125,True,0.4435273704296765,0.9990000128746033,0.22778424434120734,0.5376228094100952,0.5544756174418032,0.9990000128746033,0.06468962159196698,0.7925130128860474,5.965787031955492,1.9922101497650146,0.6316643991220648,0.643992006778717,0.757571564605203,0.4248940348625183
0,3,922.0735473632812,True,0.3548169161936086,0.32516059279441833,0.9697566283461134,0.9669467806816101,0.8923348790795533,0.8189229369163513,0.7778267300796143,0.95871901512146,2.1678322471118054,1.9316794872283936,0.4667210037270342,0.48027196526527405,0.04471615825565432,0.10429958999156952
0,4,1230.2305908203125,True,0.15498091308341275,0.09494323283433914,0.6826828553359697,0.866804301738739,0.7442726315960015,0.956988513469696,0.9665747129693416,0.9990000128746033,2.9549521488289114,3.322418689727783,0.3704597060348689,0.3203808665275574,0.4696166996532563,0.0010000000474974513
0,5,1042.410400390625,True,0.19009241636611712,0.08997851610183716,0.1306616623248007,0.1689775586128235,0.4757535163734819,0.7939924597740173,0.22745553035278235,0.5476722121238708,5.0188839680950625,5.00154972076416,0.43715191887233074,0.4371424913406372,0.8320128396657218,0.6493302583694458
0,6,1138.0458984375,True,0.6998645717982446,0.37669816613197327,0.312741908099277,0.9990000128746033,0.8315952817924107,0.6994869709014893,0.8041548287818082,0.7616909146308899,3.3248702741810465,4.007683753967285,0.2883281039302441,0.32803788781166077,0.6821305129670255,0.7588220238685608
0,7,886.3604736328125,True,0.14047297864209118,0.8359478712081909,0.2005083860701581,0.32484546303749084,0.0083475452115035,0.1907862424850464,0.7863505287471341,0.46083343029022217,4.989105139552192,6.9670090675354,0.7051653786263351,0.6844407916069031,0.780167572959924,0.7690213918685913
0,8,1096.8359375,True,0.4589979439872633,0.4552731215953827,0.5686037135609879,0.5130610466003418,0.14051740413140212,0.9676278829574585,0.1153010133889015,0.46382126212120056,5.01041777074283,2.9986355304718018,0.4710962061431325,0.4536832571029663,0.5651056342682265,0.2718954086303711
0,9,1139.436279296875,True,0.7644688597011935,0.5089161992073059,0.6344488833605896,0.7987276911735535,0.5534722418566799,0.5639946460723877,0.5590887464239227,0.6335428357124329,2.823700588375673,2.9998836517333984,0.030817834567939406,0.04624469205737114,0.4368439544538976,0.4152306318283081
0,10,837.4183959960938,True,0.21515550347389015,0.21333831548690796,0.40871158643718686,0.39117780327796936,0.8526962671216298,0.6782640218734741,0.23447160689361007,0.21293354034423828,1.349816450134396,1.9582170248031616,0.28138389202199654,0.28314298391342163,0.29400657025115023,0.2954055964946747
0,11,564.5240478515625,True,0.6615926816974412,0.9990000128746033,0.5569180880365958,0.988331139087677,0.7833304126882007,0.9138961434364319,0.6639849132467328,0.6605725288391113,3.438321168640423,3.4800941944122314,0.8140203846660347,0.8138750195503235,0.1676389740678885,0.023546302691102028
0,12,1077.609375,True,0.023666648987592756,0.03057863935828209,0.09086776505409047,0.14068709313869476,0.7219146318952574,0.6760417222976685,0.4619534757908846,0.5045850872993469,1.9676306742016108,1.7973880767822266,0.5010447751033635,0.4989103078842163,0.15300747850774207,0.2105935513973236
0,13,746.6829223632812,True,0.6959277343275806,0.5744907855987549,0.4462639630228826,0.41676488518714905,0.3812591836442895,0.33044448494911194,0.30190906496958075,0.2651333212852478,4.781695558713331,6.026508331298828,0.3618126105533904,0.34492677450180054,0.0884746194774688,0.11032148450613022
0,14,229.4976348876953,True,0.11876989031627429,0.3914775848388672,0.9609738692204155,0.9990000128746033,0.9077635293261919,0.2071077972650528,0.6993077195431281,0.07509292662143707,2.5952197687571177,3.3949460983276367,0.9691763773477239,0.971736490726471,0.778193402157863,0.672268807888031
0,15,649.763916015625,True,0.7164564087806776,0.5231966972351074,0.4494627791395011,0.40651893615722656,0.2726970787214687,0.371900349855423,0.0971981802291923,0.14584198594093323,6.41561437926305,6.223690032958984,0.45577628983361107,0.4769768714904785,0.20295863806563985,0.17423637211322784
0,16,766.7523193359375,True,0.3063447109023512,0.3386845290660858,0.5790611298040121,0.6742046475410461,0.17741923737335324,0.2235633283853531,0.8559010555241907,0.7512258887290955,5.551117179011261,6.287434101104736,0.7194629559509368,0.6935479640960693,0.4322288536955535,0.34985116124153137
0,17,1159.612548828125,True,0.6270542230210383,0.5821662545204163,0.5839297729749101,0.5765233039855957,0.6495469083517104,0.9359850287437439,0.08527543249760931,0.2299659103155136,3.4948444130236576,6.6849565505981445,0.04161417386189248,0.0,0.49400283760602987,0.37302955985069275
0,18,328.0454406738281,True,0.33020148990811976,0.45592039823532104,0.14523514048831482,0.18511606752872467,0.10419616178710654,0.4648779034614563,0.5874692830333567,0.9990000128746033,2.0235578112213166,2.000135898590088,0.9251201183767972,0.9186456203460693,0.5808990174209941,0.44671866297721863
0,19,521.6392822265625,True,0.3471760649257674,0.4292203485965729,0.5907336604984539,0.66871577501297,0.023758263287638103,0.03841199353337288,0.9576420948149624,0.992676317691803,3.8938206216574014,3.587888717651367,0.7827352272502862,0.7835744619369507,0.08356453992259369,0.09211654216051102
0,20,1169.16943359375,True,0.486685014176484,0.4869404435157776,0.4907255803658119,0.46268966794013977,0.9369508020650329,0.9110850691795349,0.5715845962713232,0.6132412552833557,3.840936406341723,4.733330726623535,0.2669756630918936,0.2532283067703247,0.3319058593478671,0.18920953571796417
0,21,1214.4627685546875,True,0.5206310576665947,0.1466713398694992,0.43903363738443657,0.3772697150707245,0.022568855720569766,0.01743789203464985,0.8256393403459691,0.9990000128746033,6.3769646310386,4.916225910186768,0.14024908899861077,0.12000269442796707,0.5539280712519713,0.5393001437187195
0,22,551.1617431640625,True,0.10935858965317266,0.11050034314393997,0.6718956128537321,0.6873611807823181,0.2816713162713303,0.4853553771972656,0.659103789422518,0.9491748213768005,5.361967685721296,1.792008399963379,0.768647491917657,0.8091430068016052,0.10852546406398476,0.0010000000474974513
0,23,615.4156494140625,True,0.9151798214473327,0.6872801780700684,0.23075356291309104,0.22888712584972382,0.03833773106382742,0.0010000000474974513,0.5547427644527004,0.2832757830619812,3.2255337031746327,5.6459808349609375,0.8297897431324132,0.812836766242981,0.8076349691201732,0.7486274242401123
0,24,298.5218505859375,True,0.3175046150370699,0.12657447159290314,0.9519935962796054,0.21712234616279602,0.2913360024638384,0.23455147445201874,0.5150270149732511,0.8607361316680908,2.5357905434056165,1.9745334386825562,0.9360435700489633,0.9344547390937805,0.16527860194685412,0.0010000000474974513
0,25,445.8291931152344,True,0.04582079815354433,0.0845324844121933,0.4352268658830319,0.07103433459997177,0.9913908129277254,0.8705503344535828,0.8908939117224041,0.4801897704601288,5.491648116741695,6.7758564949035645,0.8907924908785249,0.8952398896217346,0.8926597464184675,0.5259636044502258
0,26,1482.90625,True,0.5188206436656762,0.4038781225681305,0.31629719372713144,0.3489260971546173,0.771468407246766,0.8552168607711792,0.6613379406414256,0.7938897609710693,3.2419463732422606,1.6352977752685547,0.09446666806151527,0.10759422928094864,0.7462960321263279,0.6783514618873596
0,27,995.0711059570312,True,0.262935594891019,0.32449233531951904,0.9359395242327117,0.9416462779045105,0.24148863385567337,0.2658672630786896,0.12351241654666305,0.1398218274116516,5.986676032749437,6.1839375495910645,0.15328431662449404,0.13305318355560303,0.1799097715414236,0.1699756383895874
0,28,241.1798095703125,True,0.5991840259378018,0.4922460913658142,0.8738129167557895,0.1390092372894287,0.1970417963831441,0.9193812012672424,0.3107030255542946,0.3530132472515106,5.664429029447065,6.497192859649658,0.9718264260609674,0.9541763067245483,0.5007397038299376,0.2558506429195404
0,29,1206.416015625,True,0.14460970754614827,0.11688783764839172,0.014908415132785142,0.008590761572122574,0.23019671793885754,0.12211992591619492,0.132558573350948,0.14354296028614044,5.065952041677145,5.006011962890625,0.12183250462853112,0.11140239983797073,0.5063172717573917,0.5031569004058838
0,30,629.6817626953125,True,0.6938739107716007,0.4083702266216278,0.5809543760024606,0.5435220003128052,0.2003761003567375,0.17303027212619781,0.8035162771298981,0.7797608971595764,5.29244277769481,6.17481803894043,0.7389840039155418,0.7154269814491272,0.1317956360541986,0.1455438882112503
0,31,900.8421020507812,True,0.12450629604304392,0.04497702047228813,0.9267074259044946,0.8707948923110962,0.39778303743729077,0.023394690826535225,0.3013467943973779,0.1846119910478592,3.9315042721092,6.020522117614746,0.6628642127635824,0.6570448279380798,0.954712010532876,0.841517448425293
0,32,799.7313232421875,True,0.2868733344282909,0.4142240881919861,0.9239588124534031,0.8984223008155823,0.025809772403483804,0.015113772824406624,0.555087646242171,0.5791623592376709,4.8038506700865105,5.330387115478516,0.1058974037507533,0.13470995426177979,0.1410589178697848,0.12477385997772217
0,33,1097.3878173828125,True,0.41927609067767124,0.24549968540668488,0.9652994483188954,0.23030205070972443,0.5958504681279041,0.8291597366333008,0.9321571751570108,0.7445926666259766,5.826165493677824,6.15510892868042,0.4673816015552915,0.4816416800022125,0.784193922353683,0.6621248722076416
0,34,986.8353271484375,True,0.01880111040903376,0.0010000000474974513,0.10992570877220346,0.9688913226127625,0.8287697576529709,0.8758128881454468,0.7962234541485114,0.842613697052002,2.3958444517986024,2.965937614440918,0.5307695905990535,0.5146840810775757,0.6058037890586109,0.47999516129493713
0,35,945.3623657226562,True,0.8670034758684592,0.023971866816282272,0.6029009430240482,0.6250587105751038,0.41274642613513296,0.47552528977394104,0.3744356753203683,0.6022801995277405,3.5552925182410595,5.76066780090332,0.6519310255799742,0.6843787431716919,0.8667556504888202,0.7770431041717529
0,36,733.6273803710938,True,0.4539890883121471,0.5378175377845764,0.2483438838254554,0.26621702313423157,0.237189038271586,0.23334160447120667,0.7455222516829595,0.7500145435333252,5.899412580543462,5.846139430999756,0.10527807985412496,0.12422933429479599,0.06742573924126781,0.045245733112096786
0,37,318.1676330566406,True,0.5942447964289389,0.8975927233695984,0.1468808977043129,0.15788991749286652,0.8240148620754286,0.9286438226699829,0.3107140045762263,0.4552629590034485,1.8632315978268559,6.056949138641357,0.9209704724874502,0.9215474724769592,0.1662006592898076,0.0010000000474974513
0,38,465.91278076171875,True,0.2851506421732597,0.3024802505970001,0.15430616840167452,0.1578630656003952,0.11625908353802426,0.20509657263755798,0.022105720303767156,0.02946009300649166,1.3323724549855607,6.683232307434082,0.1746414709358527,0.16111958026885986,0.05427516876192104,0.05507846921682358
0,39,461.8485412597656,True,0.5909615284787493,0.2581574022769928,0.6803530977459074,0.8266931772232056,0.3938431959183642,0.7165181636810303,0.3183551147581453,0.7633481025695801,4.027157422133381,6.024802207946777,0.8750049422346086,0.8790495991706848,0.8504293635685616,0.36293354630470276
0,40,805.1126708984375,True,0.04438811188876636,0.04160172864794731,0.18213541277733103,0.16174477338790894,0.23727138136218723,0.17411059141159058,0.2498888006805474,0.27497777342796326,4.427395910456636,6.037461280822754,0.4162624257031923,0.4230213463306427,0.0501556116877388,0.06272280216217041
0,41,261.1612854003906,True,0.37386691018265245,0.3399448096752167,0.5237054428202019,0.4541046917438507,0.10246855909790854,0.8718668818473816,0.8327916366809825,0.7135369777679443,1.3117711987906255,1.1694821119308472,0.9248418690180621,0.9348363876342773,0.09991491529671574,0.0010000000474974513
0,42,923.921142578125,True,0.8428878016945572,0.6130308508872986,0.9018478376397618,0.16997893154621124,0.9786115392254195,0.9922590255737305,0.8014218285130463,0.9990000128746033,5.676865244627973,5.010319232940674,0.6424832759955477,0.6228896975517273,0.7784383618689728,0.24865862727165222
0,43,1104.8699951171875,True,0.1352831039963208,0.2672784924507141,0.535995899875742,0.473201721906662,0.5141944244500336,0.32386404275894165,0.8568569998343124,0.6107419729232788,3.776796193561095,2.9999001026153564,0.3850894961003535,0.404882550239563,0.6392841446946359,0.7374297976493835
0,44,919.7357788085938,True,0.26693039086584436,0.241092711687088,0.14048887413204894,0.13759158551692963,0.47792151947569833,0.4355085790157318,0.41705558985769525,0.519432544708252,2.395419643173242,2.7263333797454834,0.367511810115128,0.39419519901275635,0.3666596649265949,0.3044913411140442
0,45,285.9833984375,True,0.32784057328372035,0.4394311308860779,0.37970515156747514,0.7852662205696106,0.6853718587650335,0.26749876141548157,0.29728272162214275,0.7710065245628357,6.693147560292043,1.9413167238235474,0.9163480195381779,0.9370277523994446,0.4809486074434784,0.2112531065940857
0,46,943.416259765625,True,0.32870448259467944,0.9990000128746033,0.5353639202503432,0.9990000128746033,0.8478633677960773,0.6438031196594238,0.6522821658789818,0.5624004006385803,5.8263509676824645,7.0,0.5327222760657402,0.5015159249305725,0.6326517940090854,0.6412248015403748
0,47,1198.2041015625,True,0.2885793029540968,0.09565535932779312,0.7344233759856702,0.8020980954170227,0.2029997839394669,0.2070694863796234,0.6944085325608612,0.6084699630737305,6.164314409955365,5.096186637878418,0.13210283730154393,0.13264130055904388,0.614150981060836,0.5726374983787537
0,48,261.325927734375,True,0.09590555673347474,0.6238713264465332,0.725264197014884,0.03525734320282936,0.0853242323858732,0.020132968202233315,0.9350679430552248,0.6257052421569824,1.824447580226813,6.567903518676758,0.9588802459090804,0.9496376514434814,0.8002824077329265,0.39963626861572266
0,49,842.1888427734375,True,0.5934946404574214,0.9990000128746033,0.7820588564202878,0.5209253430366516,0.7945246093051197,0.7680768370628357,0.9451350086916956,0.8951178193092346,2.520300123035123,2.533607244491577,0.5900758953583092,0.5761876702308655,0.09585909916927242,0.06920228898525238
1,0,485.6402587890625,True,0.6641074136585181,0.22603090107440948,0.4803422958378181,0.2835521101951599,0.8994462114936767,0.7487179040908813,0.3086207474810451,0.38591447472572327,2.6749610393151078,3.001178503036499,0.8599944494071756,0.8568432331085205,0.2653644040386732,0.12561015784740448
1,1,699.9987182617188,True,0.8863314679772147,0.9593921303749084,0.8998418402617222,0.6257737874984741,0.6498736244973617,0.6946732997894287,0.5871936125082163,0.5788788795471191,5.926278034153076,6.402815341949463,0.5691376612679495,0.5545179843902588,0.01896916068382376,0.0010000000474974513
1,2,1259.3841552734375,True,0.5418559664908246,0.5583162903785706,0.8917887591108522,0.6352670192718506,0.7430389985294513,0.5069884061813354,0.7197910622712809,0.48865407705307007,1.0699650308914441,6.745804309844971,0.37597509350728764,0.3601972162723541,0.8473160492257071,0.8574401140213013
1,3,1154.5167236328125,True,0.02891719137955148,0.2997615933418274,0.08058423218430433,0.8802855014801025,0.2536533525700423,0.9594579935073853,0.6810843712499934,0.9128775000572205,5.673273765164804,2.945643186569214,0.2028230534540938,0.22874127328395844,0.8383255924406395,0.6790075302124023
