Variable,No Trauma,Trauma - No Ongoing Impact,Trauma - Ongoing Impact
IES-R Avoidance,16.00 ± nan,5.14 ± 4.06,17.43 ± 5.84
IES-R Hyperarousal,22.00 ± nan,1.78 ± 2.43,11.93 ± 5.68
IES-R Intrusion,16.00 ± nan,3.97 ± 2.95,14.45 ± 5.47
IES-R Total,54.00 ± nan,10.89 ± 7.34,43.81 ± 14.23
LEC-5 Total Events,0.00 ± nan,9.94 ± 3.39,10.17 ± 3.44
