parameter,mean,sd,se,ci_lower,ci_upper,n
alpha_pos,0.17642864166307695,0.2954154392311138,0.02999489333445751,0.11688924896838929,0.23596803435776462,97
alpha_neg,0.08529997095297638,0.2089901965177536,0.021219739458482257,0.04317912103329506,0.12742082087265771,97
phi,0.6487785215362349,0.3965916030094973,0.04026777632398878,0.5688476172732218,0.7287094257992481,97
rho,0.12590388364648236,0.19162235381516424,0.019456302210010455,0.0872834289993719,0.1645243382935928,97
capacity,4.057469449092433,2.524780050211127,0.25635257417877344,3.548613611129171,4.566325287055695,97
epsilon,0.15113724874495768,0.15065342320307523,0.015296537551349463,0.12077386168491486,0.1815006358050005,97
nll,967.3429231938627,187.7865954306485,19.066839953400738,,,97
aic,1946.6858463877254,375.573190861297,38.133679906801476,,,97
bic,1977.4949573804524,375.61208525547636,38.137629034198994,,,97
