participant_id,alpha_pos,alpha_neg,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds
10000,0.021436937153339386,0.0013760387664660811,0.13376374542713165,1036.7696533203125,2079.539306640625,2094.6052359098417,2079.5607927641704,0.15815485510396476,7.5583179750537965e-06,1121,True,50,21,['alpha_neg']
9187,0.016580261290073395,0.0019607641734182835,0.08797212690114975,1159.504638671875,2325.00927734375,2340.3143052586083,2325.029112054494,0.13062058848853553,7.187286882981425e-06,1214,True,50,21,['alpha_neg']
10002,0.7729195952415466,0.0295476745814085,0.19926051795482635,798.6448364257812,1603.2896728515625,1618.9154738654431,1603.3074902235,0.461911281822561,1.644549411139451e-05,1351,True,50,28,[]
10003,0.018048584461212158,0.0010000000474974513,0.019051166251301765,1121.50390625,2249.0078125,2264.6046062220644,2249.0258035044976,0.23704271428701262,0.00018011977954301983,1338,False,50,24,['alpha_neg']
10004,0.22873373329639435,0.07098575681447983,0.11903968453407288,576.085205078125,1158.17041015625,1173.4605742917342,1158.1903437110673,0.5659144440881825,1.1029541383322794e-05,1208,True,50,26,[]
10005,0.07181932032108307,0.02098224312067032,0.1565762609243393,867.7879638671875,1741.575927734375,1757.1547303980224,1741.5940272818864,0.406094251799589,2.8417518478818238e-05,1330,True,50,35,[]
10006,0.0829581469297409,0.0010624222923070192,0.11058264970779419,731.0419311523438,1468.0838623046875,1483.7163176651043,1468.1016400824653,0.508550190514107,4.283342150301905e-06,1354,True,50,10,['alpha_neg']
10007,0.010369661264121532,0.0010000000474974513,0.030620604753494263,1239.5152587890625,2485.030517578125,2500.288221971222,2485.0506687116263,0.055853212926928575,5.445642727863742e-06,1195,True,50,11,"['alpha_pos', 'alpha_neg']"
10016,0.2899957597255707,0.48265960812568665,0.18368010222911835,785.1671142578125,1576.334228515625,1591.9887590308351,1576.3518755744485,0.47603379262840406,3.0464912924799137e-05,1364,True,50,48,[]
10017,0.9940015077590942,0.9990000128746033,0.1787227839231491,918.7838745117188,1843.5677490234375,1858.9771986492083,1843.5869030537647,0.33467531951252505,3.2733976240706397e-06,1257,True,50,28,"['alpha_pos', 'alpha_neg']"
10018,0.03798982501029968,0.0010000000474974513,0.16609396040439606,1011.064208984375,2028.12841796875,2043.6502929280205,2028.1468653169436,0.29478137650880265,0.00015322634135372937,1305,False,50,22,['alpha_neg']
10024,0.042528219521045685,0.0018600038019940257,0.1366385519504547,894.9273071289062,1795.8546142578125,1811.0642366431882,1795.8750920735122,0.30731467693175707,6.840723926870851e-06,1176,True,50,26,['alpha_neg']
10025,0.07441834360361099,0.0010000000474974513,0.1792045682668686,828.132080078125,1662.26416015625,1677.6060284849482,1662.2837519929847,0.3866571976280011,6.707365173497237e-06,1229,True,50,28,['alpha_neg']
10027,0.07045837491750717,0.007679035421460867,0.0912623330950737,641.336181640625,1288.67236328125,1303.6486525634978,1288.6945035026522,0.4634472886173058,8.656807040097192e-06,1088,True,50,29,['alpha_neg']
10028,0.011488289572298527,0.0010726493783295155,0.26257601380348206,1305.3880615234375,2616.776123046875,2632.173615701855,2616.795353816106,0.050946150503993426,7.037126579234609e-06,1252,True,50,8,['alpha_neg']
10029,0.07891292124986649,0.022105591371655464,0.09866486489772797,611.1419677734375,1228.283935546875,1243.1848369627169,1228.3066413179251,0.4756970856688998,4.090668517164886e-05,1061,True,50,15,[]
10030,0.05031993240118027,0.048442382365465164,0.06788964569568634,732.3092651367188,1470.6185302734375,1485.9161355040967,1470.6384142833795,0.44956513695316724,5.920698822592385e-05,1211,True,50,44,[]
10031,0.26794666051864624,0.025175029411911964,0.22432367503643036,836.3597412109375,1678.719482421875,1694.2733698800268,1678.7377333724453,0.42282983773944993,7.332976110774325e-06,1319,True,50,29,[]
