participant_id,alpha_pos,alpha_neg,phi,rho,capacity,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds
10000,0.017798738554120064,0.0010000000474974513,0.27342531085014343,0.6052335500717163,3.164029598236084,0.04416939243674278,914.5138549804688,1841.0277099609375,1871.1595684993704,1841.1031139106683,0.2574251702971012,8.10631081549218e-06,1121,True,50,2,['alpha_neg']
9187,0.017008360475301743,0.004287755582481623,0.7770154476165771,0.16222859919071198,6.770650863647461,0.009336907416582108,1142.428955078125,2296.85791015625,2327.4679659859667,2296.927504191047,0.14342368324018262,5.409752247942379e-06,1214,True,50,20,"['alpha_neg', 'epsilon']"
10002,0.9388771057128906,0.010811368003487587,0.0010000000474974513,0.925449788570404,3.996102809906006,0.26498615741729736,1120.4449462890625,2252.889892578125,2284.1414946058862,2252.952392578125,0.24509774878748747,7.695721251366194e-06,1351,True,50,2,"['alpha_neg', 'phi']"
10003,0.019480228424072266,0.0010000000474974513,0.3572130799293518,0.8568519353866577,2.099515438079834,0.04580921679735184,1044.284423828125,2100.56884765625,2131.762435100379,2100.631958099526,0.2895750027475599,0.0668749138712883,1338,False,50,17,['alpha_neg']
10004,0.03590470552444458,0.003837201278656721,0.09699761867523193,0.9692909717559814,2.9700891971588135,0.09115446358919144,728.0421142578125,1468.084228515625,1498.6645567865935,1468.1541702308623,0.45141350079983544,1.6583486285526305e-05,1208,True,50,13,['alpha_neg']
10005,0.014291942119598389,0.0010000000474974513,0.10682851821184158,0.9687662720680237,2.6940395832061768,0.03045017458498478,822.0733642578125,1656.146728515625,1687.3043338429197,1656.210220579117,0.43738088472740333,0.04487746208906174,1330,False,50,16,['alpha_neg']
10006,0.02957550436258316,0.003704845905303955,0.1798594892024994,0.9525156021118164,2.9514498710632324,0.06732013076543808,839.4822998046875,1690.964599609375,1722.2295103302083,1691.0269604111568,0.4356501334260432,9.740330824570265e-06,1354,True,50,13,['alpha_neg']
10007,0.039952635765075684,0.0010000000474974513,0.5538095235824585,0.15608973801136017,6.892847537994385,0.4521203935146332,1207.675048828125,2427.35009765625,2457.865506442444,2427.420804726957,0.08010610672649332,7.25718427929678e-06,1195,True,50,3,['alpha_neg']
10016,0.004725644364953041,0.0010000000474974513,0.17864927649497986,0.86736661195755,4.466211795806885,0.0010000000474974513,823.1690063476562,1658.3380126953125,1689.647073725733,1658.399913948076,0.4506739591487736,9.00947634363547e-06,1364,True,50,1,"['alpha_pos', 'alpha_neg', 'epsilon']"
10017,0.004346523899585009,0.0023581176064908504,0.10704515874385834,0.9394958019256592,4.800748348236084,0.0822998508810997,720.8510131835938,1453.7020263671875,1484.520925618729,1453.7692263671875,0.47800567322720244,9.033239621203393e-06,1257,True,49,4,"['alpha_pos', 'alpha_neg']"
10018,0.01565006747841835,0.0014676740393042564,0.21943801641464233,0.9990000128746033,2.000000238418579,0.05658777803182602,916.0375366210938,1844.0750732421875,1875.1188231607282,1844.1397881882583,0.3610626062106226,2.4974899291992188,1305,False,50,6,"['alpha_neg', 'rho']"
10024,0.025166209787130356,0.0010000000474974513,0.24107423424720764,0.9825796484947205,2.4121360778808594,0.0738501101732254,823.1603393554688,1658.3206787109375,1688.7245978028584,1658.3927198773183,0.3612337334315372,9.085081728699151e-06,1173,True,49,10,['alpha_neg']
10025,0.049158982932567596,0.0046007572673261166,0.6051444411277771,0.2697828412055969,6.849486351013184,0.09661132842302322,982.9387817382812,1977.8775634765625,2008.5613001339586,1977.94630324743,0.27200208583321506,8.773528861638624e-06,1229,True,50,10,['alpha_neg']
10027,0.06329114735126495,0.0010000000474974513,0.001154738594777882,0.7030925750732422,3.7861440181732178,0.07569541782140732,774.1975708007812,1560.3951416015625,1590.3477201660578,1560.4728474294996,0.35229320027382427,5.750300715590129e-06,1088,True,50,12,"['alpha_neg', 'phi']"
10028,0.024313725531101227,0.0047349887900054455,0.8598072528839111,0.6517143845558167,3.906299114227295,0.06584419310092926,1213.4517822265625,2438.903564453125,2469.6985497630853,2438.9710343326433,0.1177864122980321,8.101742423605174e-06,1252,True,50,3,['alpha_neg']
10029,0.8579214811325073,0.02499564178287983,0.22549600899219513,0.636920690536499,4.127772808074951,0.16590473055839539,917.719482421875,1847.43896484375,1878.2578640952916,1847.50616484375,0.3354460843754423,7.0648429755237885e-06,1257,True,50,35,[]
10030,0.03172801062464714,0.01548232976347208,0.0015540795866400003,0.9409217238426208,2.7330636978149414,0.05674699693918228,836.484619140625,1684.96923828125,1715.5644487425686,1685.0390057231104,0.371262499742521,0.025539550930261612,1211,False,50,3,['phi']
10031,0.017823515459895134,0.0010000000474974513,0.21902887523174286,0.7691351175308228,3.3893790245056152,0.03842117264866829,972.283935546875,1956.56787109375,1987.675646010054,1956.631895483994,0.32902882672184586,4.265583265805617e-05,1319,True,50,7,['alpha_neg']
10035,0.021493107080459595,0.0010000000474974513,0.19620200991630554,0.9990000128746033,2.536064386367798,0.0012937731808051467,648.8829956054688,1309.7659912109375,1340.1647930317592,1309.8380942152294,0.49604201698700745,2.734362169576343e-05,1172,True,50,14,"['alpha_neg', 'rho', 'epsilon']"
10036,0.8578948378562927,0.02331375889480114,0.4127626121044159,0.46098795533180237,6.993451118469238,0.19776375591754913,948.8978271484375,1909.795654296875,1940.265703774221,1909.8669011162135,0.2717335376631702,6.277679403865477e-06,1186,True,50,40,['capacity']
10039,0.008655069395899773,0.003847633022814989,0.18952889740467072,0.9990000128746033,2.5962562561035156,0.020929191261529922,711.2618408203125,1434.523681640625,1464.698207025523,1434.5985479507854,0.42655586544068924,9.623640835343394e-06,1129,True,50,3,"['alpha_pos', 'alpha_neg', 'rho']"
10041,0.014887713827192783,0.0010000000474974513,0.4987790286540985,0.7853826880455017,1.708180546760559,0.11659519374370575,1224.562255859375,2461.12451171875,2492.061571543634,2461.190394071691,0.13054243312803993,4.451527729543159e-06,1282,True,50,1,['alpha_neg']
10043,0.04734766110777855,0.015367523767054081,0.4158114492893219,0.4784606099128723,4.946297645568848,0.12081599980592728,900.15673828125,1812.3134765625,1842.4667064503312,1812.3886107306573,0.2716818015146121,8.139779311022721e-06,1125,True,50,23,[]
10047,0.01872502826154232,0.005476279184222221,0.291098952293396,0.9913232326507568,2.089156150817871,0.03105558268725872,905.0543212890625,1822.108642578125,1853.2707574884957,1822.1720866868864,0.38105488695309286,9.763502930582035e-06,1331,True,50,5,"['alpha_neg', 'rho']"
10048,0.029496019706130028,0.0010000000474974513,0.9306979775428772,0.22306135296821594,7.0,0.001000000862404704,1026.3712158203125,2064.742431640625,2095.406608378498,2064.8113971578664,0.23735237410585475,8.524337317794561e-06,1225,True,50,5,"['alpha_neg', 'capacity', 'epsilon']"
10050,0.024535583332180977,0.0029112377669662237,0.13820777833461761,0.27248701453208923,5.598591327667236,0.044107213616371155,1067.73095703125,2147.4619140625,2178.735680873502,2147.5241824094237,0.28326651875098985,9.876698641164694e-06,1356,True,50,35,['alpha_neg']
10051,0.04680309444665909,0.0031061265617609024,0.0010000000474974513,0.7755665183067322,2.4410159587860107,0.08253706991672516,849.9915161132812,1711.9830322265625,1742.2993585219565,1712.0561392761708,0.33071313125750335,8.394127689825837e-06,1156,True,50,2,"['alpha_neg', 'phi']"
10052,0.0140845263376832,0.0010000000474974513,0.1648016721010208,0.4035477638244629,5.117130756378174,0.06966110318899155,1066.853271484375,2145.70654296875,2176.221951754944,2145.777250039457,0.18737096505418505,8.816205081529915e-06,1195,True,50,9,['alpha_neg']
10055,0.9417288303375244,0.010505501180887222,0.16792255640029907,0.9040184617042542,3.7494781017303467,0.18488195538520813,866.6099853515625,1745.219970703125,1775.8300265328417,1745.289564737922,0.35022866321787394,0.027733175083994865,1214,False,50,12,['alpha_neg']
10057,0.023820066824555397,0.0033989213407039642,0.30112504959106445,0.6142660975456238,2.627122163772583,0.11666025221347809,1096.24853515625,2204.4970703125,2235.5911829838114,2204.5612414354946,0.24175652064481135,8.413848263444379e-06,1316,True,50,14,['alpha_neg']
10058,0.011695620603859425,0.0010000000474974513,0.2225709855556488,0.9726793169975281,2.12923002243042,0.0010000633774325252,946.244384765625,1904.48876953125,1935.8110125515936,1904.5505342371323,0.3699277564088881,7.373102107521845e-06,1367,True,50,27,"['alpha_neg', 'epsilon']"
10059,0.01837366633117199,0.005354521330446005,0.24383708834648132,0.8282425403594971,4.384265899658203,0.03885909542441368,866.4360961914062,1744.8721923828125,1775.9617440504837,1744.9364125662987,0.4002554204419455,8.993335541163106e-06,1315,True,50,3,['alpha_neg']
10062,0.004036069381982088,0.06128289923071861,0.0019175559282302856,0.9807648658752441,4.240205764770508,0.0010000000474974513,795.0453491210938,1602.0906982421875,1633.3245093006497,1602.1533848093518,0.46274575819061003,9.7855945568881e-06,1347,True,50,2,"['alpha_pos', 'phi', 'epsilon']"
10063,0.030634822323918343,0.01125643216073513,0.4438615143299103,0.13945578038692474,6.57344913482666,0.1832558512687683,1044.6220703125,2101.244140625,2131.779599555165,2101.3146104236575,0.20695914478851063,6.1856353568146005e-06,1199,True,50,3,[]
10064,0.020595848560333252,0.0010000000474974513,0.01310664601624012,0.6255223751068115,3.471933126449585,0.10231532156467438,999.2061767578125,2010.412353515625,2041.1833291897053,2010.4800954511088,0.27063620082374495,1.2589000107254833e-05,1247,True,50,2,['alpha_neg']
