participant_id,alpha_pos,alpha_neg,phi,rho,capacity,epsilon,nll,aic,bic,aicc,pseudo_r2,grad_norm,n_trials,converged,n_successful_starts,n_near_best,at_bounds
10000,0.02054273709654808,0.0010000000474974513,0.0010547003475949168,0.713273286819458,6.57344913482666,0.0010000000474974513,820.025634765625,1652.05126953125,1682.681062220869,1652.1206336930998,0.3871761087001282,8.44959868118167e-06,1218,True,50,1,"['alpha_neg', 'phi', 'epsilon']"
9187,0.019625544548034668,0.00856155063956976,0.5285646319389343,0.9979199767112732,1.0463862419128418,0.0010000000474974513,1016.666015625,2045.33203125,2076.203208059983,2045.3986450485725,0.2701819496843154,0.00037883807090111077,1268,False,50,7,"['alpha_neg', 'rho', 'epsilon']"
10002,0.019905434921383858,0.0010000000474974513,0.17688137292861938,0.9860571026802063,4.125792503356934,0.0010000000474974513,533.1373901367188,1078.2747802734375,1108.9731451379982,1078.343351702009,0.6061018135682652,9.788289025891572e-05,1232,True,49,9,"['alpha_neg', 'epsilon']"
10003,0.028684016317129135,0.0010000000474974513,0.2987411618232727,0.9649394750595093,3.8539249897003174,0.0010000000474974513,554.5155029296875,1121.031005859375,1151.0275406644228,1121.108140845601,0.5394691947634029,9.171421879727859e-06,1096,True,49,17,"['alpha_neg', 'epsilon']"
10004,0.015880849212408066,0.0010000000474974513,0.11039792001247406,0.9756320714950562,4.037292957305908,0.002958858385682106,584.5755004882812,1181.1510009765625,1212.5948991420953,1181.211519708551,0.6185637623874913,6.8144786382617895e-06,1395,True,50,5,"['alpha_neg', 'epsilon']"
10005,0.007722772657871246,0.9990000128746033,0.11428087949752808,0.9990000128746033,5.488595962524414,0.004338552709668875,324.7663879394531,661.5327758789062,692.6360001692809,661.5968491054509,0.7757093279268594,9.443274393561296e-06,1318,True,49,13,"['alpha_pos', 'alpha_neg', 'rho', 'epsilon']"
10006,0.02544594742357731,0.017603138461709023,0.14910653233528137,0.9974609017372131,5.57288122177124,0.0010000000474974513,331.7790222167969,675.5580444335938,705.9465986003446,675.6302714327339,0.7418818114584398,0.0006979143945500255,1170,False,47,4,"['rho', 'epsilon']"
10007,0.01927606202661991,0.0010000000474974513,0.4673961102962494,0.25286781787872314,2.7088470458984375,0.05354258045554161,1260.9801025390625,2533.960205078125,2565.4979885162693,2534.01977954621,0.18998337803317833,6.987395408941666e-06,1417,True,50,9,['alpha_neg']
10016,0.9788069725036621,0.0273070577532053,0.16401132941246033,0.9990000128746033,4.394536018371582,0.0066047850996255875,399.1114501953125,810.222900390625,840.7282589232125,810.293726697539,0.6954845785719223,9.985074939322658e-06,1193,True,50,12,"['rho', 'epsilon']"
10017,0.3551233112812042,0.010543475858867168,0.015936339274048805,0.9779378175735474,5.730591297149658,0.002788037061691284,463.8377685546875,939.675537109375,970.3739019739357,939.7441085379464,0.6573024904792721,9.938110451912507e-06,1232,True,50,3,"['alpha_neg', 'epsilon']"
