parameter,mean,sd,se,ci_lower,ci_upper,n
alpha_pos,0.7959370635195889,0.37933791378200116,0.036168450947360806,0.7242523695877912,0.8676217574513867,110
alpha_neg,0.7529803004105237,0.4182308540724912,0.039876747302635296,0.6739458836602635,0.8320147171607838,110
epsilon,0.3771604036065665,0.15987379844614824,0.015243368581899246,0.34694854264317165,0.40737226456996134,110
nll,1100.5291165438566,133.87715127840417,12.76468552987311,,,110
aic,2207.0582330877132,267.75430255680834,25.52937105974622,,,110
bic,2222.4446771731677,267.8140609250184,25.535068796594484,,,110
