Parameter,Predictor,β,SE,95% CI,t,p
alpha_pos_mean,ies_intrusion,0.015,0.006,"[0.003, 0.028]",2.37,0.019*
alpha_pos_mean,ies_avoidance,-0.005,0.005,"[-0.015, 0.004]",-1.07,0.285
alpha_pos_mean,ies_hyperarousal,-0.010,0.007,"[-0.024, 0.003]",-1.57,0.119
alpha_neg_mean,ies_intrusion,0.006,0.006,"[-0.005, 0.017]",0.99,0.322
alpha_neg_mean,ies_avoidance,-0.006,0.004,"[-0.015, 0.002]",-1.52,0.131
alpha_neg_mean,ies_hyperarousal,-0.001,0.006,"[-0.012, 0.011]",-0.11,0.916
epsilon_mean,ies_intrusion,0.001,0.003,"[-0.005, 0.007]",0.40,0.691
epsilon_mean,ies_avoidance,-0.001,0.002,"[-0.005, 0.003]",-0.38,0.706
epsilon_mean,ies_hyperarousal,0.003,0.003,"[-0.003, 0.009]",1.13,0.262
