parameter,mean,sd,se,ci_lower,ci_upper,n
alpha_pos,0.8511472356738523,0.3299102162338313,0.03011654456377941,0.7915134695038027,0.9107810018439019,120
alpha_neg,0.8064442579479267,0.38549581714212117,0.03519079247877108,0.7367629741082903,0.8761255417875632,120
epsilon,0.3771367865925034,0.15397923472955788,0.014056316708126956,0.3493038756153016,0.4049696975697052,120
nll,1091.3844217936198,137.1658868628286,12.521475059162123,,,120
aic,2188.7688435872396,274.3317737256572,25.042950118324246,,,120
bic,2204.1542105277067,274.40236108627255,25.049393833271544,,,120
