dataset,subject,nll,converged,true_alpha_pos,recovered_alpha_pos,true_alpha_neg,recovered_alpha_neg,true_phi,recovered_phi,true_rho,recovered_rho,true_capacity,recovered_capacity,true_epsilon,recovered_epsilon
0,0,1348.159912109375,True,0.7734081364588514,0.9970546364784241,0.43900068287254823,0.9990000128746033,0.8578807240715597,0.6496317982673645,0.6969732930012452,0.4251016080379486,1.5650640873258972,7.0,0.9746711069334825,0.9157311916351318
0,1,1472.7882080078125,True,0.7606174225863722,0.3154570758342743,0.7854921766663999,0.5675392150878906,0.12885740541019478,0.7223374843597412,0.450485166019776,0.4858493506908417,3.2247881453954874,3.182462692260742,0.9259114588709046,0.8687253594398499
0,2,662.306640625,True,0.6435773898405032,0.6423525214195251,0.8221160900442883,0.8097546100616455,0.4435273704296765,0.5221651792526245,0.22778424434120734,0.2582876980304718,4.327508722095009,2.9999020099639893,0.06468962159196698,0.0537896566092968
0,3,1294.73876953125,True,0.8269759096485969,0.8721495270729065,0.6314010703238208,0.39126232266426086,0.757571564605203,0.01376815140247345,0.3548169161936086,0.4604277014732361,6.824188146369419,5.944647789001465,0.8923348790795533,0.8957769274711609
0,4,1306.2281494140625,True,0.7778267300796143,0.7479218244552612,0.19524943043626364,0.2410992532968521,0.46678756171958014,0.959150493144989,0.04471615825565432,0.3273410499095917,1.925736952405287,3.0013253688812256,0.6826828553359697,0.5515528321266174
0,5,812.4117431640625,True,0.7442726315960015,0.6567404270172119,0.9665747129693416,0.965244710445404,0.3261737074218756,0.42261016368865967,0.37071878662279917,0.35747870802879333,3.8173348676548473,3.0001063346862793,0.19009241636611712,0.15869060158729553
0,6,1241.77001953125,True,0.1306616623248007,0.3093039393424988,0.4757535163734819,0.6433457732200623,0.22745553035278235,0.16167528927326202,0.6694743666931453,0.7584103345870972,3.6229115132339844,1.9826767444610596,0.8320128396657218,0.8366459012031555
0,7,1307.0631103515625,True,0.6998645717982446,0.5440208315849304,0.312741908099277,0.3026511073112488,0.8315952817924107,0.8460736274719238,0.8041548287818082,0.8127347230911255,3.3248702741810465,3.57163667678833,0.2887514477223836,0.2864917814731598
0,8,1395.741455078125,True,0.6821305129670255,0.6336849331855774,0.14047297864209118,0.15632309019565582,0.2005083860701581,0.30787232518196106,0.0083475452115035,0.20024044811725616,5.72154626501283,3.6633734703063965,0.6645211548788481,0.6572140455245972
0,9,758.194091796875,True,0.7047550478690824,0.5093152523040771,0.780167572959924,0.795557975769043,0.4589979439872633,0.49909839034080505,0.5686037135609879,0.8483614325523376,1.8387819887659447,1.2797305583953857,0.1153010133889015,0.10768730938434601
0,10,1061.42431640625,True,0.6680661558668907,0.9352242946624756,0.47115401373084626,0.989801824092865,0.5651056342682265,0.5449742078781128,0.7644688597011935,0.5934455990791321,4.808309920003545,7.0,0.5534722418566799,0.533458948135376
0,11,1165.0826416015625,True,0.5590887464239227,0.6005154252052307,0.304342197866487,0.3187175393104553,0.031756198898803524,0.0314607210457325,0.4368439544538976,0.8950257301330566,2.287508036917175,1.0,0.40871158643718686,0.4359315037727356
0,12,1416.493896484375,True,0.8526962671216298,0.7824114561080933,0.23447160689361007,0.22407440841197968,0.059186136205687884,0.13402843475341797,0.2818211242379525,0.3042411506175995,2.7615625466001017,2.8496952056884766,0.6615926816974412,0.6281496286392212
0,13,964.533203125,True,0.5569180880365958,0.48312604427337646,0.7833304126882007,0.8071323037147522,0.6639849132467328,0.6812981367111206,0.4065740877171904,0.36264315247535706,5.884122307996208,5.353747844696045,0.1676389740678885,0.1612636297941208
0,14,1364.6385498046875,True,0.023666648987592756,0.03490237519145012,0.09086776505409047,0.11727239191532135,0.7219146318952574,0.7203797698020935,0.4619534757908846,0.3688289523124695,1.9676306742016108,4.998237133026123,0.5010426855531568,0.4867139756679535
0,15,1253.5140380859375,True,0.15300747850774207,0.17800387740135193,0.6959277343275806,0.7156776189804077,0.4462639630228826,0.4870239496231079,0.3812591836442895,0.35741186141967773,2.8090725348872594,6.040696620941162,0.6300220279326507,0.6533520817756653
0,16,1343.6817626953125,True,0.3620889853322836,0.9990000128746033,0.0884746194774688,0.9990000128746033,0.11876989031627429,0.26254692673683167,0.9609738692204155,0.7455458045005798,6.451484144245642,3.381157398223877,0.6993077195431281,0.6869698166847229
0,17,1202.322998046875,True,0.26633822153660053,0.2416052222251892,0.9682380245930284,0.9596315622329712,0.778193402157863,0.7922133803367615,0.7164564087806776,0.6307932138442993,3.696169012862732,6.027060508728027,0.2726970787214687,0.2228509783744812
