dataset,subject,nll,converged,true_alpha_pos,recovered_alpha_pos,true_alpha_neg,recovered_alpha_neg,true_phi,recovered_phi,true_rho,recovered_rho,true_capacity,recovered_capacity,true_kappa_total,recovered_kappa_total,true_kappa_share,recovered_kappa_share,true_epsilon,recovered_epsilon
0,0,246.24058532714844,True,0.7734081364588514,0.9990000128746033,0.43900068287254823,0.8244115114212036,0.8578807240715597,0.6342962980270386,0.6969732930012452,0.8986110091209412,1.5650640873258972,1.8401247262954712,0.9756223516367559,0.963833749294281,0.761139701990353,0.7546498775482178,0.7854921766663999,0.2163461297750473
0,1,687.2676391601562,True,0.12885740541019478,0.35105079412460327,0.450485166019776,0.8527688980102539,0.37105642818411605,0.3237506151199341,0.9259114588709046,0.9990000128746033,4.8631907204839875,3.0069892406463623,0.82276161327083,0.8287263512611389,0.44341419882733113,0.4533417820930481,0.22778424434120734,0.15887649357318878
0,2,1267.0111083984375,True,0.5544756174418032,0.33628013730049133,0.06468962159196698,0.0010000000474974513,0.8269759096485969,0.7313745021820068,0.6314010703238208,0.8539360165596008,5.5485264405122425,5.915416240692139,0.35452596812986836,0.36909186840057373,0.9706980243949033,1.0,0.8923348790795533,0.867393434047699
0,3,873.576904296875,True,0.7778267300796143,0.12928719818592072,0.19524943043626364,0.17432816326618195,0.46678756171958014,0.493867963552475,0.04471615825565432,0.23164720833301544,1.925736952405287,5.183583736419678,0.6830489532424546,0.6695453524589539,0.7447621559078171,0.7985157370567322,0.9665747129693416,0.8244550228118896
0,4,1201.06201171875,True,0.3261737074218756,0.3276134431362152,0.37071878662279917,0.4482072591781616,0.4696166996532563,0.9530025124549866,0.19009241636611712,0.611693263053894,1.7795290320128299,3.001255750656128,0.47570492622593374,0.4388540983200073,0.2269093490508841,0.2621859312057495,0.6694743666931453,0.4750068783760071
0,5,661.0245971679688,True,0.43727761503458606,0.2899637818336487,0.8320128396657218,0.4734750986099243,0.6998645717982446,0.5092736482620239,0.312741908099277,0.423022598028183,5.993558808371207,6.024091720581055,0.8047643574968019,0.8090082406997681,0.38747837903017446,0.3973204493522644,0.2887514477223836,0.32634449005126953
0,6,796.4755859375,True,0.6821305129670255,0.6008597612380981,0.14047297864209118,0.1238001361489296,0.2005083860701581,0.16615404188632965,0.0083475452115035,0.12736347317695618,5.72154626501283,1.462977409362793,0.6648508565920321,0.6999473571777344,0.7051653786263351,0.697007954120636,0.780167572959924,0.6449117660522461
0,7,1252.5260009765625,True,0.4589979439872633,0.25344422459602356,0.5686037135609879,0.2831350564956665,0.14051740413140212,0.40472277998924255,0.1153010133889015,0.1782040297985077,5.01041777074283,6.7467474937438965,0.4710962061431325,0.46774324774742126,0.5652361064811888,0.6391417384147644,0.7644688597011935,0.7728129029273987
0,8,1148.328369140625,True,0.6344488833605896,0.8137667775154114,0.5534722418566799,0.5453329086303711,0.5590887464239227,0.9680760502815247,0.304342197866487,0.5752389430999756,1.1849070074076364,4.138415813446045,0.43671738923236236,0.39938727021217346,0.2145846728195292,0.16833941638469696,0.40871158643718686,0.0010000000474974513
0,9,926.9747314453125,True,0.8526962671216298,0.028682269155979156,0.23447160689361007,0.016010815277695656,0.059186136205687884,0.3140285015106201,0.2818211242379525,0.47226178646087646,2.7615625466001017,2.355381727218628,0.6619165147268951,0.6706272959709167,0.5570321523412783,0.5191734433174133,0.7833304126882007,0.6067661046981812
