Model,N_params,AIC_mean,AIC_sd,BIC_mean,BIC_sd,AICc_mean,AICc_sd,AIC_wins,BIC_wins,Delta_AIC_mean,Delta_BIC_mean
Q-learning,3,957.3740620515784,364.8990646731862,971.057200673239,365.53559960050757,957.412955443658,364.8833083176469,23,29,15.034550880899232,8.73451302193171
WM-RL,6,953.5782735396405,356.7847290492755,980.9445507829615,358.08259630736575,953.7155647259838,356.72728097489556,26,20,11.238762368961254,18.62186313165429
