participant_id,aic_ql,bic_ql,aicc_ql,aic_wmrl,bic_wmrl,aicc_wmrl,delta_aic_ql,delta_aic_wmrl,delta_bic_ql,delta_bic_wmrl,delta_aicc_ql,delta_aicc_wmrl
64040,1646.0753173828125,1660.7623654760562,1646.099707626715,1614.712158203125,1644.086254389612,1614.79778511444,31.3631591796875,0.0,16.67611108644428,0.0,31.301922512274814,0.0
9187,1788.7811279296875,1803.4742427590731,1788.8054687004783,1771.2677001953125,1800.6539298540845,1771.3531528911417,17.513427734375,0.0,2.8203129049886684,0.0,17.452315809336596,0.0
27556,257.18443298339844,265.52180346273303,257.39312863557234,257.3852081298828,274.059949088552,258.1352081298828,0.0,0.200775146484375,0.0,8.53814562581897,0.0,0.7420794943104738
13249,998.5880737304688,1013.2690427942766,998.6125136490024,1020.822021484375,1050.1839596119908,1020.9078233229858,0.0,22.23394775390625,0.0,36.91491681771413,0.0,22.29530967398341
61254,1430.0455322265625,1444.6866844731203,1430.07030002842,1431.379638671875,1460.661943164991,1431.4665951936142,0.0,1.3341064453125,0.0,15.97525869187075,0.0,1.3962951651942603
39017,844.3372802734375,859.0303951028234,844.3616210442286,865.2998046875,894.6860343462718,865.3852573833291,0.0,20.9625244140625,0.0,35.65563924344838,0.0,21.02363633910045
29034,941.3514404296876,956.0293653532036,941.3759052614918,980.8414916992188,1010.1973415462512,980.9273812697708,0.0,39.490051269531136,0.0,54.16797619304759,0.0,39.551476008278996
77770,1023.629150390625,1038.3131605089254,1023.6535654465762,919.0576171875,948.4256374241008,919.1433314732144,104.571533203125,0.0,89.88752308482458,0.0,104.51023397336178,0.0
95434,1961.6082763671875,1976.292286485488,1961.6326914231383,1950.59521484375,1979.9632350803508,1950.680929129464,11.0130615234375,0.0,0.0,3.670948594862921,10.951762293674392,0.0
65099,901.978515625,916.6625257433004,902.0029306809512,957.8352661132812,987.203286349882,957.9209803989957,0.0,55.85675048828125,0.0,70.54076060658156,0.0,55.91804971804447
51978,837.926025390625,852.6069944544329,837.9504653091586,931.0569458007812,960.418883928397,931.142747639392,0.0,93.13092041015625,0.0,107.81188947396413,0.0,93.19228233023341
17429,1311.89111328125,1326.572082345058,1311.9155531997835,1268.0386962890625,1297.4006344166785,1268.1244981276734,43.8524169921875,0.0,29.17144792837962,0.0,43.79105507211011,0.0
88951,777.3333129882812,791.0627216954259,777.3669264336594,683.7796630859375,711.2384805002268,683.8978065458531,93.55364990234375,0.0,79.82424119519908,0.0,93.4691198878063,0.0
94162,586.0230102539062,598.1006081753821,586.081546839272,628.0000610351562,652.1552568781082,628.2064492415444,0.0,41.97705078125,0.0,54.05464870272601,0.0,42.12490240227237
8297,645.0780029296875,658.8074116368322,645.1116163750656,726.8065795898438,754.2653970041331,726.9247230497593,0.0,81.72857666015625,0.0,95.45798536730092,0.0,81.8131066746937
75,1480.1549072265625,1493.8038594532638,1480.1894396006633,1442.12060546875,1469.418509922153,1442.241992751987,38.0343017578125,0.0,24.385349531110933,0.0,37.947446848676236,0.0
31035,664.27392578125,678.0116794172803,664.3074453343227,640.9390258789062,668.4145331509669,641.0568379406174,23.33489990234375,0.0,9.597146266313416,0.0,23.25060739370531,0.0
99156,564.847900390625,578.5689408915069,564.8816082557936,576.7318115234375,604.1738925252014,576.8502882512231,0.0,11.8839111328125,0.0,25.60495163369444,0.0,11.968679995429511
5423,819.9286499023438,833.6622339755069,819.9622163359102,827.6195678710938,855.08673601742,827.7375453991837,0.0,7.69091796875,0.0,21.424502041913115,0.0,7.775329063273489
47544,761.5775756835938,775.3028032053926,761.6112362726541,776.49169921875,803.9421542623477,776.6100090779049,0.0,14.91412353515625,0.0,28.639351056955093,0.0,14.998772805250837
79988,1191.72509765625,1205.433541917493,1191.758948149903,1169.1182861328125,1196.5351746552983,1169.237266302784,22.6068115234375,0.0,8.898367262194597,0.0,22.521681847118998,0.0
43359,826.3252563476562,840.025273637066,826.3592025994243,839.5977172851562,866.9977518639757,839.7170354669744,0.0,13.2724609375,0.0,26.972478226909743,0.0,13.357832867550087
12026,1408.0616455078125,1421.6976944888158,1408.0963275887373,1404.560302734375,1431.8324006963817,1404.682218554404,3.5013427734375,0.0,0.0,10.134706207565841,3.4141090343332507,0.0
59025,1115.7393798828125,1129.4604203836943,1115.773087747981,1125.722900390625,1153.1649813923889,1125.8413771184107,0.0,9.9835205078125,0.0,23.704561008694554,0.0,10.068289370429738
97618,1121.7945556640625,1135.5155961649443,1121.828263529231,1091.5782470703125,1119.0203280720764,1091.6967237980982,30.21630859375,0.0,16.495268092867946,0.0,30.13153973113276,0.0
8968,1065.2435302734375,1078.9687577952363,1065.2771908624975,1060.7938232421875,1088.2442782857852,1060.9121331013423,4.44970703125,0.0,0.0,9.275520490548843,4.365057761155185,0.0
8932,1383.87841796875,1397.5402181808274,1383.9128019229047,1360.7574462890625,1388.0810467132171,1360.878309598415,23.1209716796875,0.0,9.459171467610304,0.0,23.034492324489747,0.0
81766,1028.4996337890625,1042.2248613108611,1028.5332943781227,1003.5433349609376,1030.9937900045352,1003.6616448200924,24.956298828124886,0.0,11.23107130632593,0.0,24.8716495580303,0.0
78002,781.0054931640625,794.6970597436589,781.039535717254,766.6246337890625,794.0077669482553,766.7442919087206,14.380859375,0.0,0.6892927954036168,0.0,14.295243808533428,0.0
9175,1072.9185791015625,1086.6101456811589,1072.952621654754,1052.6895751953125,1080.0727083545053,1052.8092333149707,20.22900390625,0.0,6.537437326653617,0.0,20.143388339783314,0.0
8959,190.9490509033203,199.6200982879856,191.1350974149482,194.0865173339844,211.4286121033149,194.75318400065103,0.0,3.137466430664091,0.0,11.808513815329292,0.0,3.6180865857028266
63897,748.4703369140625,762.2039209872256,748.5039033476289,779.9598999023438,807.42706804867,780.0778774304337,0.0,31.48956298828125,0.0,45.223147061444365,0.0,31.57397408280474
46443,1142.2630615234375,1155.9672952576734,1142.2969598285222,1143.970458984375,1171.3789264528468,1144.0896079205452,0.0,1.7073974609375,0.0,15.411631195173413,0.0,1.7926480920230006
92898,1108.8836669921875,1122.5240232244691,1108.9182990268196,1058.461181640625,1085.741894105188,1058.58292077106,50.4224853515625,0.0,36.78212911928108,0.0,50.33537825575968,0.0
64162,762.332763671875,776.0621723790197,762.3663771172531,711.8778076171875,739.3366250314768,711.9959510771031,50.4549560546875,0.0,36.72554734754283,0.0,50.37042604015005,0.0
33198,384.44244384765625,398.1718525548009,384.4760572930344,398.7521057128906,426.21092312718,398.8702491728062,0.0,14.309661865234375,0.0,28.039070572379103,0.0,14.394191879771824
8944,1282.4390869140625,1296.1475311753054,1282.4729374077156,1276.1065673828125,1303.5234559052983,1276.225547552784,6.33251953125,0.0,0.0,7.375924729992903,6.247389854931498,0.0
24085,984.2841186523438,997.9883523865795,984.3180169574284,985.4360961914062,1012.844563659878,985.5552451275764,0.0,1.1519775390625,0.0,14.856211273298413,0.0,1.2372281701480006
74265,586.00537109375,599.7389551669131,586.0389375273164,569.334716796875,596.8018849432012,569.4526943249649,16.670654296875,0.0,2.937070223711885,0.0,16.58624320235151,0.0
96709,631.952880859375,645.6317265718548,631.987068893563,607.337890625,634.6955820499595,607.4580622988198,24.614990234375,0.0,10.936144521895244,0.0,24.529006594743237,0.0
55472,1353.6240234375,1367.3450639383818,1353.6577313026685,1350.5064697265625,1377.9485507283264,1350.6249464543482,3.1175537109375,0.0,0.0,10.603486789944554,3.0327848483202615,0.0
44829,708.8018188476562,722.5395724836866,708.8353384007289,692.3119506835938,719.7874579556544,692.4297627453049,16.4898681640625,0.0,2.752114528032166,0.0,16.40557565542406,0.0
41414,711.6400756835938,725.3694843907384,711.6736891289719,692.3038940429688,719.7627114572581,692.4220375028843,19.336181640625,0.0,5.606772933480329,0.0,19.25165162608755,0.0
7818,689.9797973632812,703.7092060704259,690.0134108086594,704.07275390625,731.5315713205393,704.1908973661656,0.0,14.09295654296875,0.0,27.82236525011342,0.0,14.1774865575062
72374,842.2050170898438,855.9302446116426,842.2386776789041,898.9953002929688,926.4457553365664,899.1136101521237,0.0,56.790283203125,0.0,70.51551072492384,0.0,56.87493247321959
68976,846.2649536132812,859.9901811350801,846.2986142023416,852.7696533203125,880.2201083639102,852.8879631794674,0.0,6.50469970703125,0.0,20.229927228830093,0.0,6.589348977125837
17800,1201.6842041015625,1215.3799990116686,1201.71819843584,1161.4097900390625,1188.801379859275,1161.5292779480242,40.2744140625,0.0,26.578619152393685,0.0,40.18892048781572,0.0
76131,699.327880859375,713.0614649325381,699.3614472929414,706.18359375,733.6507618963262,706.3015712780899,0.0,6.855712890625,0.0,20.589296963788115,0.0,6.940123985148489
41308,797.9733276367188,811.7069117098819,798.0068940702852,795.6917114257812,823.1588795721075,795.8096889538712,2.2816162109375,0.0,0.0,11.451967862225615,2.197205116414011,0.0
