==========================================
Posterior Predictive Check (GPU)
==========================================
Job ID: 54605114
Model: wmrl_m6b
Skip model recovery: false
Start time: Thu Apr  9 03:09:59 PM AEST 2026
==========================================
[GPU 15:09:59] util=0% mem=0/81920MB temp=37C

============================================================
POSTERIOR PREDICTIVE CHECK: WMRL_M6B
============================================================
Loading fitted parameters from: output/mle/wmrl_m6b_individual_fits.csv
  Found 154 participants
[GPU 15:14:59] util=6% mem=61301/81920MB temp=37C
Saved synthetic data to: output/ppc/wmrl_m6b/synthetic_trials.csv
Loading real data from: output/task_trials_long.csv
Saved comparison to: output/ppc/wmrl_m6b/behavioral_comparison.csv
Saved comparison plots to: figures/ppc/wmrl_m6b

Fitting qlearning to synthetic data...
[GPU 22:50:01] util=100% mem=80851/81920MB temp=35C
[GPU 22:55:01] util=99% mem=80851/81920MB temp=35C
[GPU 23:00:01] util=100% mem=80851/81920MB temp=35C
[GPU 23:05:01] util=100% mem=80851/81920MB temp=35C
[GPU 23:10:01] util=100% mem=80851/81920MB temp=35C
[GPU 23:15:01] util=100% mem=80851/81920MB temp=35C
[GPU 23:20:01] util=100% mem=80851/81920MB temp=35C
[GPU 23:25:01] util=99% mem=80851/81920MB temp=34C
[GPU 23:30:01] util=100% mem=80851/81920MB temp=35C
[GPU 23:35:02] util=99% mem=80851/81920MB temp=35C
[GPU 23:40:02] util=100% mem=80851/81920MB temp=35C
[GPU 23:45:02] util=100% mem=80851/81920MB temp=35C
[GPU 23:50:02] util=100% mem=80851/81920MB temp=35C
[GPU 23:55:02] util=99% mem=80851/81920MB temp=35C
[GPU 00:00:02] util=100% mem=80851/81920MB temp=35C
[GPU 00:05:02] util=100% mem=80851/81920MB temp=35C
[GPU 00:10:02] util=100% mem=80851/81920MB temp=35C
[GPU 00:15:02] util=100% mem=80851/81920MB temp=35C
[GPU 00:20:02] util=100% mem=80851/81920MB temp=35C
[GPU 00:25:02] util=100% mem=80851/81920MB temp=35C
[GPU 00:30:02] util=100% mem=80851/81920MB temp=35C
[GPU 00:35:02] util=100% mem=80851/81920MB temp=35C
[GPU 00:40:02] util=100% mem=80851/81920MB temp=35C
[GPU 00:45:02] util=99% mem=80851/81920MB temp=37C
[GPU 00:50:02] util=100% mem=80851/81920MB temp=45C
[GPU 00:55:02] util=100% mem=80851/81920MB temp=38C
