==========================================
Posterior Predictive Check (GPU)
==========================================
Job ID: 54605104
Model: qlearning
Skip model recovery: false
Start time: Wed Apr  8 04:54:10 PM AEST 2026
==========================================
[GPU 16:54:10] util=0% mem=0/46068MB temp=42C

============================================================
POSTERIOR PREDICTIVE CHECK: QLEARNING
============================================================
Loading fitted parameters from: output/mle/qlearning_individual_fits.csv
  Found 154 participants
Saved synthetic data to: output/ppc/qlearning/synthetic_trials.csv
Loading real data from: output/task_trials_long.csv
Saved comparison to: output/ppc/qlearning/behavioral_comparison.csv
Saved comparison plots to: figures/ppc/qlearning

Fitting qlearning to synthetic data...
[GPU 00:39:13] util=100% mem=44642/46068MB temp=61C
[GPU 00:44:13] util=100% mem=44642/46068MB temp=60C
[GPU 00:49:13] util=100% mem=44642/46068MB temp=60C
[GPU 00:54:13] util=100% mem=44642/46068MB temp=60C
[GPU 00:59:13] util=100% mem=44642/46068MB temp=61C
[GPU 01:04:13] util=100% mem=44642/46068MB temp=61C
[GPU 01:09:13] util=100% mem=44642/46068MB temp=61C
[GPU 01:14:13] util=100% mem=44642/46068MB temp=60C
[GPU 01:19:13] util=100% mem=44642/46068MB temp=60C

Fitting wmrl_m3 to synthetic data...
[GPU 01:24:13] util=100% mem=44646/46068MB temp=57C
[GPU 01:29:13] util=100% mem=44646/46068MB temp=61C
[GPU 01:34:13] util=100% mem=44646/46068MB temp=61C
[GPU 01:39:14] util=100% mem=44646/46068MB temp=61C
[GPU 01:44:14] util=100% mem=44646/46068MB temp=61C
[GPU 01:49:14] util=100% mem=44646/46068MB temp=61C
[GPU 01:54:14] util=100% mem=44646/46068MB temp=61C
[GPU 01:59:14] util=100% mem=44646/46068MB temp=61C
[GPU 02:04:14] util=100% mem=44646/46068MB temp=61C
[GPU 02:09:14] util=100% mem=44646/46068MB temp=61C
[GPU 02:14:14] util=100% mem=44646/46068MB temp=61C
[GPU 02:19:14] util=100% mem=44646/46068MB temp=61C
[GPU 02:24:14] util=100% mem=44646/46068MB temp=61C
[GPU 02:29:14] util=100% mem=44646/46068MB temp=61C
[GPU 02:34:14] util=100% mem=44646/46068MB temp=61C
[GPU 02:39:14] util=100% mem=44646/46068MB temp=61C
[GPU 02:44:14] util=100% mem=44646/46068MB temp=61C
[GPU 02:49:14] util=100% mem=44646/46068MB temp=61C
[GPU 02:54:14] util=100% mem=44646/46068MB temp=61C
[GPU 02:59:14] util=100% mem=44646/46068MB temp=61C
[GPU 03:04:14] util=100% mem=44646/46068MB temp=61C
[GPU 03:09:14] util=100% mem=44646/46068MB temp=61C
[GPU 03:14:14] util=100% mem=44646/46068MB temp=61C
[GPU 03:19:14] util=100% mem=44646/46068MB temp=61C
[GPU 03:24:14] util=100% mem=44646/46068MB temp=61C
[GPU 03:29:14] util=100% mem=44646/46068MB temp=61C
[GPU 03:34:14] util=100% mem=44646/46068MB temp=61C
[GPU 03:39:14] util=100% mem=44646/46068MB temp=60C
[GPU 03:44:14] util=100% mem=44646/46068MB temp=60C
