==========================================
Posterior Predictive Check (GPU)
==========================================
Job ID: 54605106
Model: wmrl
Skip model recovery: false
Start time: Thu Apr  9 12:51:24 AM AEST 2026
==========================================
[GPU 00:51:24] util=0% mem=0/46068MB temp=30C

============================================================
POSTERIOR PREDICTIVE CHECK: WMRL
============================================================
Loading fitted parameters from: output/mle/wmrl_individual_fits.csv
  Found 154 participants
Saved synthetic data to: output/ppc/wmrl/synthetic_trials.csv
Loading real data from: output/task_trials_long.csv
Saved comparison to: output/ppc/wmrl/behavioral_comparison.csv
Saved comparison plots to: figures/ppc/wmrl

Fitting qlearning to synthetic data...
[GPU 08:36:26] util=100% mem=44642/46068MB temp=44C
[GPU 08:41:26] util=100% mem=44642/46068MB temp=44C
[GPU 08:46:26] util=100% mem=44642/46068MB temp=44C
[GPU 08:51:26] util=100% mem=44642/46068MB temp=44C
[GPU 08:56:26] util=100% mem=44642/46068MB temp=44C
[GPU 09:01:26] util=100% mem=44642/46068MB temp=44C
[GPU 09:06:26] util=100% mem=44642/46068MB temp=44C
[GPU 09:11:26] util=100% mem=44642/46068MB temp=44C
[GPU 09:16:26] util=100% mem=44642/46068MB temp=44C

Fitting wmrl_m3 to synthetic data...
[GPU 09:21:26] util=100% mem=44646/46068MB temp=44C
[GPU 09:26:26] util=100% mem=44646/46068MB temp=44C
[GPU 09:31:26] util=100% mem=44646/46068MB temp=44C
[GPU 09:36:26] util=100% mem=44646/46068MB temp=45C
[GPU 09:41:26] util=100% mem=44646/46068MB temp=47C
[GPU 09:46:26] util=100% mem=44646/46068MB temp=43C
[GPU 09:51:26] util=100% mem=44646/46068MB temp=44C
[GPU 09:56:26] util=100% mem=44646/46068MB temp=44C
[GPU 10:01:26] util=100% mem=44646/46068MB temp=44C
[GPU 10:06:26] util=100% mem=44646/46068MB temp=44C
[GPU 10:11:26] util=100% mem=44646/46068MB temp=45C
[GPU 10:16:26] util=100% mem=44646/46068MB temp=44C
[GPU 10:21:26] util=100% mem=44646/46068MB temp=44C
[GPU 10:26:26] util=100% mem=44646/46068MB temp=45C
[GPU 10:31:26] util=100% mem=44646/46068MB temp=44C
[GPU 10:36:26] util=100% mem=44646/46068MB temp=45C
[GPU 10:41:26] util=100% mem=44646/46068MB temp=45C
[GPU 10:46:26] util=100% mem=44646/46068MB temp=44C
[GPU 10:51:26] util=100% mem=44646/46068MB temp=44C
[GPU 10:56:26] util=100% mem=44646/46068MB temp=44C
[GPU 11:01:26] util=100% mem=44646/46068MB temp=44C
[GPU 11:06:26] util=100% mem=44646/46068MB temp=45C
[GPU 11:11:26] util=100% mem=44646/46068MB temp=45C
[GPU 11:16:26] util=100% mem=44646/46068MB temp=45C
[GPU 11:21:26] util=100% mem=44646/46068MB temp=44C
[GPU 11:26:26] util=100% mem=44646/46068MB temp=45C
[GPU 11:31:26] util=100% mem=44646/46068MB temp=45C
[GPU 11:36:26] util=100% mem=44646/46068MB temp=45C
[GPU 11:41:26] util=100% mem=44646/46068MB temp=44C
[GPU 11:46:26] util=100% mem=44646/46068MB temp=45C
[GPU 11:51:26] util=100% mem=44646/46068MB temp=45C
[GPU 11:56:26] util=100% mem=44646/46068MB temp=45C
[GPU 12:01:26] util=100% mem=44646/46068MB temp=45C
[GPU 12:06:26] util=100% mem=44646/46068MB temp=44C
[GPU 12:11:26] util=100% mem=44646/46068MB temp=44C
[GPU 12:16:26] util=100% mem=44646/46068MB temp=46C
[GPU 12:21:26] util=100% mem=44646/46068MB temp=45C
[GPU 12:26:27] util=100% mem=44646/46068MB temp=44C
[GPU 12:31:27] util=100% mem=44646/46068MB temp=44C
[GPU 12:36:27] util=100% mem=44646/46068MB temp=45C
[GPU 12:41:27] util=100% mem=44646/46068MB temp=44C
[GPU 12:46:27] util=100% mem=44646/46068MB temp=45C
[GPU 12:51:27] util=100% mem=44646/46068MB temp=45C
