==========================================
Posterior Predictive Check (GPU)
==========================================
Job ID: 54605110
Model: wmrl_m5
Skip model recovery: false
Start time: Thu Apr  9 06:12:41 AM AEST 2026
==========================================
[GPU 06:12:41] util=0% mem=0/46068MB temp=28C

============================================================
POSTERIOR PREDICTIVE CHECK: WMRL_M5
============================================================
Loading fitted parameters from: output/mle/wmrl_m5_individual_fits.csv
  Found 154 participants
[GPU 06:17:41] util=5% mem=34549/46068MB temp=38C
Saved synthetic data to: output/ppc/wmrl_m5/synthetic_trials.csv
Loading real data from: output/task_trials_long.csv
Saved comparison to: output/ppc/wmrl_m5/behavioral_comparison.csv
Saved comparison plots to: figures/ppc/wmrl_m5

Fitting qlearning to synthetic data...
[GPU 13:57:43] util=100% mem=44642/46068MB temp=47C
[GPU 14:02:43] util=100% mem=44642/46068MB temp=47C
[GPU 14:07:43] util=100% mem=44642/46068MB temp=47C
[GPU 14:12:43] util=100% mem=44642/46068MB temp=47C
[GPU 14:17:43] util=100% mem=44642/46068MB temp=47C
[GPU 14:22:43] util=100% mem=44642/46068MB temp=47C
[GPU 14:27:43] util=100% mem=44642/46068MB temp=47C
[GPU 14:32:43] util=100% mem=44642/46068MB temp=47C
[GPU 14:37:43] util=100% mem=44642/46068MB temp=47C

Fitting wmrl_m3 to synthetic data...
[GPU 14:42:43] util=100% mem=44646/46068MB temp=44C
[GPU 14:47:43] util=100% mem=44646/46068MB temp=47C
[GPU 14:52:43] util=100% mem=44646/46068MB temp=49C
[GPU 14:57:43] util=100% mem=44646/46068MB temp=45C
[GPU 15:02:43] util=100% mem=44646/46068MB temp=47C
[GPU 15:07:43] util=100% mem=44646/46068MB temp=47C
[GPU 15:12:43] util=100% mem=44646/46068MB temp=47C
[GPU 15:17:43] util=100% mem=44646/46068MB temp=47C
[GPU 15:22:43] util=100% mem=44646/46068MB temp=47C
[GPU 15:27:43] util=100% mem=44646/46068MB temp=48C
[GPU 15:32:43] util=100% mem=44646/46068MB temp=47C
[GPU 15:37:43] util=100% mem=44646/46068MB temp=47C
[GPU 15:42:43] util=100% mem=44646/46068MB temp=47C
[GPU 15:47:43] util=100% mem=44646/46068MB temp=49C
[GPU 15:52:43] util=100% mem=44646/46068MB temp=48C
[GPU 15:57:43] util=100% mem=44646/46068MB temp=47C
[GPU 16:02:43] util=100% mem=44646/46068MB temp=47C
[GPU 16:07:43] util=100% mem=44646/46068MB temp=47C
[GPU 16:12:43] util=100% mem=44646/46068MB temp=47C
[GPU 16:17:43] util=100% mem=44646/46068MB temp=47C
[GPU 16:22:43] util=100% mem=44646/46068MB temp=47C
[GPU 16:27:43] util=100% mem=44646/46068MB temp=47C
[GPU 16:32:43] util=100% mem=44646/46068MB temp=47C
[GPU 16:37:43] util=100% mem=44646/46068MB temp=47C
[GPU 16:42:43] util=100% mem=44646/46068MB temp=47C
[GPU 16:47:43] util=100% mem=44646/46068MB temp=48C
[GPU 16:52:43] util=100% mem=44646/46068MB temp=48C
[GPU 16:57:43] util=100% mem=44646/46068MB temp=48C
[GPU 17:02:43] util=100% mem=44646/46068MB temp=48C
[GPU 17:07:43] util=100% mem=44646/46068MB temp=47C
[GPU 17:12:43] util=100% mem=44646/46068MB temp=47C
[GPU 17:17:43] util=100% mem=44646/46068MB temp=47C
[GPU 17:22:43] util=100% mem=44646/46068MB temp=47C
[GPU 17:27:43] util=100% mem=44646/46068MB temp=47C
[GPU 17:32:43] util=100% mem=44646/46068MB temp=47C
[GPU 17:37:44] util=100% mem=44646/46068MB temp=47C
[GPU 17:42:44] util=100% mem=44646/46068MB temp=47C
[GPU 17:47:44] util=100% mem=44646/46068MB temp=47C
[GPU 17:52:44] util=100% mem=44646/46068MB temp=48C
[GPU 17:57:44] util=100% mem=44646/46068MB temp=48C
[GPU 18:02:44] util=100% mem=44646/46068MB temp=47C
[GPU 18:07:44] util=100% mem=44646/46068MB temp=47C
[GPU 18:12:44] util=100% mem=44646/46068MB temp=47C
