Section,Parameter,Predictor,N,β,SE,t,p,R²,95% CI,r,p_fdr,sig_fdr,shapiro_w,shapiro_p,residuals_normal,bp_stat,bp_p,homoscedastic
A_mean ~ IES-R Avoidance,A_mean,ies_avoidance,154,0.001,0.001,1.34,0.182,0.012,"[-0.000, 0.002]",0.108,0.409,False,0.978,0.0134,False,0.912,0.3397,True
A_mean ~ IES-R Hyperarousal,A_mean,ies_hyperarousal,154,0.001,0.001,1.00,0.318,0.007,"[-0.001, 0.002]",0.081,0.546,False,0.974,0.0056,False,1.000,0.3172,True
A_mean ~ IES-R Intrusion,A_mean,ies_intrusion,154,0.001,0.001,1.08,0.280,0.008,"[-0.001, 0.002]",0.088,0.514,False,0.975,0.0060,False,0.680,0.4097,True
A_mean ~ IES-R Total Score,A_mean,ies_total,154,0.000,0.000,1.25,0.213,0.010,"[-0.000, 0.001]",0.101,0.456,False,0.976,0.0080,False,1.043,0.3071,True
A_mean ~ LEC-5 Personal Events,A_mean,lec_personal_events,154,0.001,0.002,0.24,0.812,0.000,"[-0.004, 0.005]",0.019,0.886,False,0.975,0.0072,False,0.453,0.5007,True
A_mean ~ LEC-5 Total Events,A_mean,lec_total_events,154,-0.001,0.001,-0.56,0.578,0.002,"[-0.004, 0.002]",-0.045,0.771,False,0.975,0.0061,False,1.019,0.3128,True
K (WM Capacity) ~ IES-R Avoidance,wm_capacity_mean,ies_avoidance,154,0.035,0.021,1.63,0.105,0.017,"[-0.007, 0.077]",0.131,0.314,False,0.788,0.0000,False,3.657,0.0558,True
K (WM Capacity) ~ IES-R Hyperarousal,wm_capacity_mean,ies_hyperarousal,154,0.069,0.024,2.86,0.005**,0.051,"[0.021, 0.117]",0.226,0.112,False,0.843,0.0000,False,17.328,0.0000,False
K (WM Capacity) ~ IES-R Intrusion,wm_capacity_mean,ies_intrusion,154,0.065,0.024,2.71,0.007**,0.046,"[0.018, 0.113]",0.215,0.112,False,0.826,0.0000,False,7.037,0.0080,False
K (WM Capacity) ~ IES-R Total Score,wm_capacity_mean,ies_total,154,0.021,0.008,2.57,0.011*,0.042,"[0.005, 0.038]",0.204,0.134,False,0.827,0.0000,False,8.887,0.0029,False
K (WM Capacity) ~ LEC-5 Personal Events,wm_capacity_mean,lec_personal_events,154,-0.021,0.070,-0.29,0.769,0.001,"[-0.159, 0.118]",-0.024,0.871,False,0.746,0.0000,False,0.006,0.9403,True
K (WM Capacity) ~ LEC-5 Total Events,wm_capacity_mean,lec_total_events,154,0.019,0.048,0.40,0.692,0.001,"[-0.075, 0.113]",0.032,0.830,False,0.749,0.0000,False,0.484,0.4868,True
alpha+ (Positive Learning Rate) ~ IES-R Avoidance,alpha_pos_mean,ies_avoidance,154,-0.000,0.002,-0.08,0.932,0.000,"[-0.004, 0.003]",-0.007,0.945,False,0.229,0.0000,False,0.048,0.8262,True
alpha+ (Positive Learning Rate) ~ IES-R Hyperarousal,alpha_pos_mean,ies_hyperarousal,154,0.002,0.002,0.89,0.377,0.005,"[-0.002, 0.006]",0.072,0.612,False,0.263,0.0000,False,0.487,0.4853,True
alpha+ (Positive Learning Rate) ~ IES-R Intrusion,alpha_pos_mean,ies_intrusion,154,0.000,0.002,0.24,0.811,0.000,"[-0.004, 0.005]",0.019,0.886,False,0.231,0.0000,False,0.002,0.9649,True
alpha+ (Positive Learning Rate) ~ IES-R Total Score,alpha_pos_mean,ies_total,154,0.000,0.001,0.35,0.725,0.001,"[-0.001, 0.002]",0.029,0.837,False,0.237,0.0000,False,0.028,0.8669,True
